 Jets,1,0,0,2,0,0,12,231,19.3
 Chiefs,1,0,1,2,0,0,19,333,14.5
 Eagles,1,1,1,2,0,0,16,334,14.4
 Steelers,0,1,1,1,0,0,15,290,13.6
 Ravens,1,0,0,1,0,0,20,285,13.6
 Seahawks,0,0,1,2,0,0,19,290,13.3
 Panthers,0,0,1,3,0,0,20,274,13
 Raiders,1,1,1,2,0,0,17,331,12.9
 Dolphins,1,0,0,1,0,0,18,338,12.8
 Vikings,1,1,1,2,0,0,17,327,12.7
 Titans,1,0,0,2,0,0,19,277,12.6
 Rams,1,0,0,3,0,0,19,326,11.8
 Giants,1,0,1,1,0,0,16,325,11.6
 Browns,1,0,1,2,0,0,19,363,11.5
 Lions,1,0,1,2,0,0,20,344,11.5
 Bills,1,0,1,2,0,0,15,300,11.4
 Bengals,0,0,0,3,0,0,14,283,11.2
 Bears,0,0,1,2,0,0,20,304,10.3
 Jaguars,1,0,1,2,0,0,24,319,10.2
 Chargers,1,0,0,2,0,0,21,305,10.1
 Colts,0,0,1,2,0,0,21,337,9.4
 Patriots,0,0,1,2,0,0,21,392,9.4
 Cardinals,0,0,1,2,0,0,24,301,9
 49ers,0,0,1,2,0,0,23,327,9
 Texans,0,0,1,2,0,0,21,306,8.8
 Cowboys,0,0,0,2,0,0,23,368,8.2
 Buccaneers,0,0,1,2,0,0,25,388,7.8
