Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
David Johnson,17,71,4.0,0,5,50,9.8,0,0,17
Le'Veon Bell,19,88,4.5,0,5,43,8.4,0,0,16.6
LeSean McCoy,17,83,4.9,0,3,23,7.5,0,0,15.4
Devonta Freeman,13,64,4.8,0,3,33,9.5,0,0,12.4
Todd Gurley,17,73,4.2,0,2,19,8.2,0,0,11.4
Dalvin Cook,13,55,4.3,0,2,21,7.5,0,0,11
DeMarco Murray,15,65,4.2,0,2,22,7.9,0,0,10.8
Tevin Coleman,9,41,4.6,0,1,25,13.3,0,0,9.6
Bilal Powell,10,51,4.7,0,4,31,7.8,0,0,9.6
Lamar Miller,17,59,3.4,0,2,14,6.2,0,0,9.4
Carlos Hyde,15,71,4.5,0,1,9,6.0,0,0,9.2
Marshawn Lynch,12,45,3.7,0,1,11,6.3,0,0,9
Mark Ingram,11,52,4.4,0,3,20,6.5,0,0,9
Isaiah Crowell,14,56,3.9,0,2,19,7.8,0,0,8.2
Ameer Abdullah,12,41,3.3,0,1,15,8.4,0,0,7.6
Mike Gillislee,10,45,4.5,0,0,5,7.7,0,0,7.4
Ty Montgomery,9,37,4.0,0,2,22,7.7,0,0,7.2
Terrance West,11,47,4.2,0,1,12,6.4,0,0,6.8
Jeremy Hill,12,42,3.4,0,1,9,7.4,0,0,6.8
Frank Gore,13,48,3.6,0,1,11,6.3,0,0,6.6
Latavius Murray,8,31,3.7,0,1,11,7.1,0,0,6
Jonathan Stewart,10,47,4.4,0,0,7,8.0,0,0,5.6
Dion Lewis,7,32,4.5,0,1,10,8.1,0,0,5.4
James White,3,13,3.9,0,3,28,9.6,0,0,5.2
Darren Sproles,6,28,4.8,0,3,28,7.9,0,0,5
Chris Thompson,4,21,4.7,0,3,23,7.7,0,0,5
Theo Riddick,6,19,3.3,0,2,21,7.3,0,0,4.6
Alvin Kamara,5,21,4.3,0,2,15,7.1,0,0,4.6
