Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Kareem Hunt,15,74,4.8,0,2,22,10.0,0,0,14
Le'Veon Bell,18,77,4.2,0,4,34,7.6,0,0,14
Devonta Freeman,14,61,4.3,0,3,32,8.2,0,0,13
LeSean McCoy,16,73,4.6,0,3,20,6.7,0,0,12.4
Todd Gurley,17,65,3.8,0,2,27,9.5,0,0,12
Melvin Gordon,16,66,3.9,0,2,27,9.5,0,0,11.8
Carlos Hyde,16,84,5.1,0,2,12,5.7,0,0,11.6
Ty Montgomery,12,61,4.9,0,3,25,8.1,0,0,11.6
Marshawn Lynch,14,61,4.4,0,1,11,8.4,0,0,10.4
Samaje Perine,15,68,4.4,0,2,17,8.2,0,0,10.4
Isaiah Crowell,15,65,4.3,0,2,23,10.0,0,0,10.2
C.J. Anderson,16,67,4.1,0,2,17,8.5,0,0,9.8
Jay Ajayi,17,69,3.9,0,1,10,5.6,0,0,9.8
Christian McCaffrey,10,44,4.2,0,3,32,9.8,0,0,9.6
Mike Gillislee,15,57,3.6,0,0,5,7.3,0,0,9.6
Leonard Fournette,17,64,3.6,0,1,12,7.5,0,0,9.2
Ameer Abdullah,15,64,4.2,0,1,10,5.7,0,0,9.2
Lamar Miller,16,64,3.9,0,2,14,7.4,0,0,9.2
Dalvin Cook,15,57,3.7,0,2,13,5.9,0,0,8.8
Jonathan Stewart,14,59,4.1,0,1,8,8.0,0,0,8.6
Jacquizz Rodgers,17,67,3.9,0,1,11,7.7,0,0,8.6
Tevin Coleman,9,38,4.1,0,2,24,9.7,0,0,8.4
Chris Carson,12,50,4.0,0,2,17,8.6,0,0,8.2
Frank Gore,15,59,3.9,0,1,11,7.3,0,0,8.2
Jordan Howard,13,58,4.2,0,1,14,8.9,0,0,7.6
Matt Forte,12,46,3.8,0,1,11,8.6,0,0,7.2
Chris Thompson,6,30,5.0,0,3,27,8.0,0,0,7.2
Tarik Cohen,8,37,4.4,0,3,27,7.2,0,0,7
Joe Mixon,10,43,4.0,0,2,17,7.8,0,0,6.6
Bilal Powell,8,35,4.3,0,3,20,6.5,0,0,6.6
Mark Ingram,9,34,3.5,0,3,22,6.3,0,0,6.4
Duke Johnson,4,20,4.7,0,3,43,11.5,0,0,6.4
DeMarco Murray,10,37,3.5,0,2,14,7.0,0,0,5.6
Javorius Allen,10,35,3.6,0,1,12,6.8,0,0,5.6
Darren Sproles,7,29,3.8,0,3,28,7.9,0,0,5.6
Derrick Henry,11,43,3.9,0,1,8,7.1,0,0,5.6
Jalen Richard,6,28,4.7,0,1,16,9.3,0,0,5.2
LeGarrette Blount,8,30,3.6,0,0,5,5.9,0,0,5.2
Terrance West,9,34,3.6,0,1,8,7.4,0,0,4.6
James White,4,14,3.4,0,3,29,9.1,0,0,4.6
Charles Sims,5,20,3.5,0,2,21,8.8,0,0,4.4
Paul Perkins,9,34,3.6,0,1,13,9.0,0,0,4.4
Adrian Peterson,9,32,3.4,0,1,5,5.5,0,0,4.2
Jamaal Williams,8,39,4.7,0,1,7,7.1,0,0,4
Jerick McKinnon,6,20,3.3,0,2,13,6.5,0,0,4
Mike Tolbert,6,27,4.2,0,0,4,5.7,0,0,3.6
Charcandrick West,5,24,4.3,0,0,6,8.0,0,0,3.6
Robert Turbin,6,20,3.4,0,1,8,5.6,0,0,3.6
Theo Riddick,5,19,3.9,0,3,19,6.1,0,0,3.6
Jamaal Charles,8,33,4.2,0,1,9,8.2,0,0,3.4
Giovani Bernard,6,24,4.0,0,1,16,10.6,0,0,3.4
Dion Lewis,6,25,4.1,0,1,8,7.6,0,0,3.4
D'Onta Foreman,8,34,4.0,0,1,6,6.6,0,0,3.4
Shane Vereen,3,15,4.1,0,2,20,7.4,0,0,3.2
Alex Collins,6,21,3.4,0,1,11,6.5,0,0,3.2
Matt Breida,5,27,4.9,0,0,4,6.3,0,0,3
Orleans Darkwa,7,26,3.8,0,1,9,6.5,0,0,3
Thomas Rawls,7,26,3.7,0,0,6,7.6,0,0,3
Branden Oliver,6,24,3.9,0,0,6,7.2,0,0,2.4
Alvin Kamara,4,14,3.4,0,2,17,6.8,0,0,2.4
Wendell Smallwood,7,24,3.4,0,1,6,5.8,0,0,2.4
James Conner,3,15,4.0,0,0,5,8.4,0,0,2.2
Kyle Juszczyk,0,1,3.0,0,1,12,7.4,0,0,2.2
Kenyan Drake,3,10,3.3,0,0,6,7.8,0,0,1.4
DeAndre Washington,3,15,4.7,0,0,4,6.7,0,0,1.4
Elijah McGuire,3,12,4.0,0,0,6,7.7,0,0,1.4
Jeremy Hill,5,19,3.7,0,0,4,6.7,0,0,1.4
C.J. Prosise,1,4,4.1,0,1,17,11.4,0,0,0.8
Alfred Blue,2,12,4.2,0,0,3,5.2,0,0,0.6
Zach Zenner,1,6,4.4,0,0,2,9.0,0,0,0.6
Matt Jones,1,7,3.7,0,0,2,11.0,0,0,0.6
Cameron Artis-Payne,2,8,4.0,0,0,1,11.0,0,0,0.6
Aaron Ripkowski,0,3,5.4,0,0,1,6.5,0,0,0.6
Malcolm Brown,2,7,3.1,0,0,7,8.2,0,0,0.4
Raheem Mostert,2,9,4.6,0,0,1,5.3,0,0,0.4
Kerwynn Williams,7,30,3.9,0,1,6,6.1,0,0,0
Brian Hill,0,2,3.5,0,0,1,11.0,0,0,0
D.J. Foster,0,2,3.0,0,0,0,7.0,0,0,0
Keith Smith,0,0,2.0,0,0,0,8.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,3.0,0,0,0,7.0,0,0,0
Wayne Gallman,0,1,3.2,0,0,0,7.4,0,0,0
Anthony Sherman,0,0,0.0,0,0,0,6.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Chris Johnson,12,45,3.8,0,1,8,7.3,0,0,0
Damien Williams,0,0,3.0,0,0,2,12.5,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
