Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,22,92,4.2,0,5,38,6.7,0,0,16.6
Ezekiel Elliott,22,96,4.3,0,2,30,11.9,0,0,16
LeSean McCoy,18,78,4.3,0,4,32,7.6,0,0,13.6
Jordan Howard,21,97,4.6,0,1,10,7.5,0,0,12.8
Devonta Freeman,15,61,4.0,0,3,28,8.8,0,0,12
Melvin Gordon,14,54,3.7,0,3,30,8.3,0,0,11.8
Kareem Hunt,16,65,4.1,0,3,29,9.4,0,0,11.6
Mark Ingram,16,66,4.1,0,3,25,6.7,0,0,11.2
Joe Mixon,14,58,4.1,0,2,20,8.3,0,0,11
Carlos Hyde,14,60,4.1,0,2,12,5.8,0,0,9.2
Alvin Kamara,7,35,4.9,0,4,32,6.9,0,0,8.8
Christian McCaffrey,7,24,3.4,0,5,50,8.5,0,0,8.8
Doug Martin,17,59,3.5,0,1,16,9.0,0,0,8.6
Lamar Miller,16,60,3.7,0,2,18,7.9,0,0,8.6
Jay Ajayi,18,72,4.0,0,1,9,5.8,0,0,8.4
LeGarrette Blount,14,58,4.1,0,1,8,7.3,0,0,8.4
Chris Thompson,5,24,4.4,0,3,42,11.2,0,0,8
Ameer Abdullah,15,56,3.6,0,1,12,6.3,0,0,7.6
Tarik Cohen,8,40,4.8,0,3,35,9.7,0,0,7.6
Javorius Allen,11,46,4.1,0,4,20,5.1,0,0,7.6
Tevin Coleman,7,33,4.2,0,1,23,12.5,0,0,7.2
Bilal Powell,10,48,4.6,0,2,18,6.8,0,0,7.2
Matt Forte,11,51,4.4,0,1,11,7.4,0,0,7
Jerick McKinnon,12,41,3.3,0,3,18,6.1,0,0,7
C.J. Anderson,11,51,4.3,0,1,9,8.1,0,0,6.6
Frank Gore,13,49,3.6,0,1,15,8.3,0,0,6.6
Isaiah Crowell,14,50,3.4,0,2,15,7.6,0,0,6.4
DeAndre Washington,10,35,3.5,0,3,17,5.7,0,0,6.2
Mike Gillislee,9,41,4.4,0,0,4,6.8,0,0,6
Jalen Richard,8,34,3.9,0,2,23,10.6,0,0,6
Giovani Bernard,5,24,4.9,0,2,29,12.3,0,0,5.6
Dion Lewis,9,47,5.0,0,1,9,7.8,0,0,5.6
Alex Collins,12,54,4.5,0,1,7,5.3,0,0,5.4
Jonathan Stewart,14,49,3.3,0,1,8,7.7,0,0,5.2
Rob Kelley,11,44,3.9,0,1,6,6.5,0,0,5
Marlon Mack,8,31,3.8,0,2,19,9.3,0,0,5
Duke Johnson,4,15,3.9,0,4,38,8.5,0,0,5
Latavius Murray,12,39,3.2,0,0,5,6.6,0,0,4.6
Wendell Smallwood,6,25,3.8,0,1,11,8.1,0,0,4.6
James White,3,14,4.2,0,3,29,7.9,0,0,4.6
Thomas Rawls,8,33,3.8,0,1,8,7.7,0,0,4.2
Eddie Lacy,9,35,3.6,0,1,7,6.9,0,0,4
Mike Tolbert,6,26,4.1,0,0,6,7.3,0,0,3.6
Charcandrick West,4,14,3.6,0,1,11,6.7,0,0,3.6
Devontae Booker,5,20,4.0,0,1,18,12.9,0,0,3.4
D'Onta Foreman,9,35,3.8,0,0,7,8.4,0,0,3.2
Rex Burkhead,4,16,4.2,0,1,10,9.3,0,0,3
Austin Ekeler,3,13,3.4,0,1,13,7.3,0,0,3
Theo Riddick,3,9,3.1,0,3,26,6.9,0,0,3
Jamaal Charles,6,29,4.5,0,1,7,7.1,0,0,2.6
Matt Breida,6,25,3.9,0,1,8,6.2,0,0,2.4
Jeremy Hill,5,19,4.0,0,0,5,7.3,0,0,2
Kyle Juszczyk,0,1,4.0,0,1,14,8.4,0,0,1.6
Darren McFadden,2,10,4.4,0,0,3,10.0,0,0,1.6
Samaje Perine,5,18,3.5,0,0,6,6.9,0,0,1.6
Branden Oliver,3,12,3.6,0,0,5,6.3,0,0,1.4
Kenyan Drake,4,13,3.4,0,0,5,6.4,0,0,1.4
James Conner,3,14,3.8,0,0,4,7.3,0,0,1.4
Alfred Morris,4,17,4.5,0,0,5,7.4,0,0,1.4
Jacquizz Rodgers,3,10,3.5,0,0,4,6.9,0,0,1.4
Corey Clement,2,10,3.8,0,0,1,9.0,0,0,1.4
Benny Cunningham,1,6,4.1,0,1,12,12.1,0,0,1.4
Jamize Olawale,1,6,4.7,0,0,8,11.9,0,0,0.6
Kenjon Barner,2,7,3.5,0,0,1,7.0,0,0,0.4
Daniel Lasco,0,1,3.4,0,0,0,6.0,0,0,0
Brian Hill,0,2,3.3,0,0,1,11.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
Alfred Blue,1,4,4.3,0,0,0,4.0,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
D.J. Foster,0,2,4.0,0,0,0,8.0,0,0,0
Andre Williams,0,0,0.0,0,0,0,0.0,0,0,0
Keith Smith,0,0,2.3,0,0,0,4.5,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,2,4.0,0,0,0,7.0,0,0,0
Zach Line,0,0,2.0,0,0,1,9.5,0,0,0
Taiwan Jones,0,0,4.0,0,0,1,10.0,0,0,0
Anthony Sherman,0,0,0.0,0,0,1,5.5,0,0,0
Zach Zenner,0,2,3.1,0,0,0,9.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
De'Angelo Henderson,0,1,3.0,0,0,0,7.0,0,0,0
Andy Janovich,0,0,6.0,0,0,0,9.0,0,0,0
Ka'Deem Carey,0,2,4.3,0,0,0,9.4,0,0,0
Bobby Rainey,0,0,0.0,0,0,0,0.0,0,0,0
Josh Ferguson,0,0,0.0,0,0,0,0.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Peyton Barber,0,2,3.8,0,0,0,5.3,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
Akeem Hunt,0,1,5.0,0,0,0,4.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,0,3.0,0,0,1,9.0,0,0,0
C.J. Spiller,0,0,0.0,0,0,0,0.0,0,0,0
Patrick DiMarco,0,0,-2.3,0,0,1,7.5,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,4,3.8,0,0,1,17.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Michael Burton,0,0,5.0,0,0,0,7.0,0,0,0
Travaris Cadet,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,1.0,0,0,1,12.0,0,0,0
Terron Ward,0,2,4.2,0,0,0,9.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,2.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Matt Dayes,0,1,2.5,0,0,0,5.0,0,0,0
Cameron Artis-Payne,1,6,3.5,0,0,1,14.0,0,0,0
Danny Vitale,0,0,3.5,0,0,1,7.0,0,0,0
Jay Prosch,0,0,4.0,0,0,0,7.0,0,0,0
Elijah McGuire,1,4,4.3,0,0,1,11.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,4.5,0,0,1,8.0,0,0,0
Dwayne Washington,2,6,2.9,0,0,4,5.2,0,0,-0.2
Damien Williams,1,6,3.3,0,1,8,8.1,0,0,-0.2
Charles Sims,1,4,3.0,0,1,9,8.4,0,0,-0.4
Raheem Mostert,1,4,3.7,0,0,1,6.0,0,0,-0.8
