Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,22,87,3.8,0,5,42,7.9,0,0,16.2
Alvin Kamara,9,52,5.4,0,5,53,9.1,0,0,15.2
Todd Gurley,18,71,3.8,0,3,36,10.8,0,0,15
Melvin Gordon,17,74,4.2,0,3,24,7.8,0,0,14.2
LeSean McCoy,19,88,4.5,0,3,24,7.1,0,0,14
Devonta Freeman,14,69,4.9,0,2,23,8.1,0,0,12
Lamar Miller,18,69,3.8,0,2,22,9.2,0,0,11.4
Kareem Hunt,14,63,4.3,0,3,29,8.7,0,0,11.4
Kenyan Drake,18,87,4.7,0,2,17,6.1,0,0,11
Carlos Hyde,16,71,4.3,0,2,15,5.9,0,0,10.8
Leonard Fournette,18,68,3.7,0,2,16,8.0,0,0,10.4
Samaje Perine,17,75,4.2,0,1,13,9.0,0,0,10
Giovani Bernard,16,62,3.7,0,1,17,9.7,0,0,9.8
Mark Ingram,14,74,5.2,0,3,17,5.7,0,0,9.8
Tevin Coleman,10,47,4.8,0,1,20,11.9,0,0,8.8
Marshawn Lynch,12,53,4.4,0,1,12,9.6,0,0,8.8
Dion Lewis,12,60,5.0,0,1,7,7.2,0,0,8.8
Mike Davis,12,46,3.6,0,2,30,11.2,0,0,8.6
Christian McCaffrey,7,25,3.5,0,5,40,7.9,0,0,8.2
Frank Gore,15,59,3.9,0,1,15,8.4,0,0,8.2
Tion Green,12,43,3.5,0,1,15,8.0,0,0,7.8
Alex Collins,16,67,4.1,0,1,8,6.4,0,0,7.8
Jordan Howard,17,67,3.9,0,1,8,6.5,0,0,7.6
Rex Burkhead,7,32,4.3,0,2,19,8.2,0,0,7.4
DeMarco Murray,11,42,3.6,0,2,18,7.2,0,0,7.2
C.J. Anderson,11,47,4.0,0,1,12,8.1,0,0,7.2
Alfred Morris,14,61,4.3,0,1,8,7.0,0,0,7
Marlon Mack,7,28,4.1,0,2,21,10.9,0,0,6.8
Orleans Darkwa,13,51,3.7,0,1,7,5.4,0,0,6.6
Matt Forte,9,32,3.4,0,1,12,7.6,0,0,6.2
Latavius Murray,13,49,3.5,0,1,5,5.6,0,0,6.2
Isaiah Crowell,12,45,3.8,0,1,16,8.9,0,0,6
Jay Ajayi,11,51,4.6,0,1,7,5.8,0,0,6
Doug Martin,11,44,3.8,0,1,10,8.6,0,0,6
Theo Riddick,5,18,3.5,0,4,34,8.4,0,0,5.6
Austin Ekeler,5,19,3.7,0,2,23,11.0,0,0,5.6
LeGarrette Blount,10,49,4.6,0,0,2,6.0,0,0,5.6
Devontae Booker,7,28,3.7,0,2,23,10.1,0,0,5.6
Aaron Jones,11,46,3.9,0,0,3,5.8,0,0,5.6
Kerwynn Williams,11,37,3.2,0,0,3,7.8,0,0,5.2
Peyton Barber,8,33,4.0,0,1,8,7.2,0,0,5.2
Jonathan Stewart,12,45,3.6,0,0,5,7.2,0,0,5
Tarik Cohen,5,20,3.7,0,3,28,8.2,0,0,5
Derrick Henry,9,40,4.1,0,1,6,6.5,0,0,5
Jamaal Williams,13,47,3.6,0,0,3,9.5,0,0,5
Andre Ellington,6,22,3.6,0,2,24,9.2,0,0,5
Duke Johnson,4,19,4.1,0,4,38,9.1,0,0,5
Jerick McKinnon,8,30,3.4,0,3,19,6.4,0,0,4.8
Matt Breida,6,28,4.6,0,1,11,7.3,0,0,4.6
DeAndre Washington,4,20,4.3,0,2,15,6.7,0,0,4.6
Jalen Richard,4,22,5.0,0,1,16,9.9,0,0,4.6
James White,4,18,4.2,0,2,22,8.2,0,0,4.6
Charcandrick West,4,17,4.0,0,2,14,6.1,0,0,4.2
Bilal Powell,8,28,3.5,0,2,14,7.0,0,0,4
Rod Smith,9,37,3.8,0,0,5,8.1,0,0,4
Danny Woodhead,4,15,3.6,0,3,22,6.7,0,0,4
Travaris Cadet,3,16,4.2,0,1,13,7.8,0,0,3
D.J. Foster,4,12,3.0,0,1,10,9.0,0,0,2.4
Byron Marshall,4,17,4.2,0,1,12,6.7,0,0,2.4
T.J. Yeldon,4,17,4.3,0,1,10,6.8,0,0,2.4
Jamaal Charles,4,17,4.2,0,1,10,6.7,0,0,2.2
Wayne Gallman,7,28,3.7,0,0,3,4.3,0,0,2.2
Corey Clement,4,16,4.1,0,0,1,9.0,0,0,2
Brian Hill,4,14,3.5,0,0,7,7.8,0,0,1.4
Alfred Blue,3,14,3.9,0,0,2,7.7,0,0,1.4
Mike Tolbert,3,16,4.2,0,0,4,5.6,0,0,1.4
Javorius Allen,3,12,3.6,0,1,9,5.3,0,0,1.4
Elijah McGuire,5,18,3.1,0,1,9,9.0,0,0,1.4
Cameron Artis-Payne,3,10,3.4,0,0,2,7.7,0,0,1.4
Kyle Juszczyk,0,2,5.0,0,1,14,8.1,0,0,1.2
Chris Ivory,4,13,3.1,0,0,5,8.5,0,0,1
Shane Vereen,2,8,3.2,0,1,10,6.4,0,0,0.8
Senorise Perry,4,17,4.4,0,0,2,7.3,0,0,0.8
Benny Cunningham,1,4,3.5,0,1,11,10.7,0,0,0.8
Malcolm Brown,2,8,3.2,0,0,2,6.8,0,0,0.4
Dwayne Washington,2,5,3.0,0,0,5,7.0,0,0,0.4
James Conner,2,9,3.4,0,0,3,8.0,0,0,0.4
Charles Sims,1,5,3.6,0,1,9,8.0,0,0,0.4
Elijhaa Penny,2,6,3.0,0,0,1,10.0,0,0,0.4
Corey Grant,2,9,3.3,0,0,4,6.6,0,0,0.4
Terrance West,0,0,0.0,0,0,0,0.0,0,0,0
Keith Smith,0,0,2.3,0,0,0,6.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,1.5,0,0,0,5.0,0,0,0
Branden Oliver,0,3,3.8,0,0,0,7.0,0,0,0
Anthony Sherman,0,0,0.0,0,0,1,8.5,0,0,0
Zach Zenner,0,2,3.0,0,0,1,10.0,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Jonathan Williams,0,0,0.0,0,0,0,0.0,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Jacquizz Rodgers,0,3,4.2,0,0,0,7.0,0,0,0
C.J. Spiller,0,0,0.0,0,0,0,0.0,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,5,4.1,0,0,1,19.0,0,0,0
Derek Watt,0,0,7.0,0,0,0,9.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,5.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Jay Prosch,0,0,3.0,0,0,0,8.0,0,0,0
Paul Perkins,1,4,3.4,0,0,1,5.5,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Terrence Magee,0,0,0.0,0,0,0,0.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,4.4,0,0,2,7.3,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Jeremy McNichols,0,0,0.0,0,0,0,0.0,0,0,0
Stevan Ridley,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,2,3.8,0,0,0,6.0,0,0,0
Zach Line,0,0,3.0,0,0,0,8.0,0,0,0
Wendell Smallwood,0,3,4.3,0,0,1,6.0,0,0,0
Thomas Rawls,1,4,3.8,0,0,1,12.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Jamize Olawale,0,2,5.0,0,0,2,11.0,0,0,0
De'Angelo Henderson,0,1,3.2,0,0,0,7.0,0,0,0
Andy Janovich,0,0,5.0,0,0,0,5.0,0,0,0
