Stephen Gostkowski,2,2,2,9.5
Mason Crosby,2,2,3,9.2
Matt Bryant,2,2,2,9.2
Blair Walsh,2,2,2,8.9
Jake Elliott,2,2,2,8.9
Dan Bailey,1,2,2,8.6
Wil Lutz,1,2,2,7.9
Brandon McManus,1,2,2,7.8
Ka'imi Fairbairn,1,2,2,7.7
Phil Dawson,1,2,2,7.5
Chandler Catanzaro,1,2,2,7.4
Ryan Succop,1,1,2,7.4
Matt Prater,1,2,1,7.3
Nick Folk,1,1,2,7.1
Younghoe Koo,1,2,2,7.1
Kai Forbath,1,1,2,6.8
Randy Bullock,1,1,2,6.6
Graham Gano,1,1,1,6.6
Giorgio Tavecchio,1,1,2,6.5
Jason Myers,1,1,1,6.4
Justin Tucker,1,1,1,6.3
Adam Vinatieri,1,1,1,6.2
Cody Parkey,1,1,2,6.2
Greg Zuerlein,1,1,2,6.2
Chris Boswell,1,1,1,6.1
Connor Barth,1,1,1,6.1
Aldrick Rosas,1,1,2,5.9
Stephen Hauschka,1,1,1,5.7
Robbie Gould,1,1,1,5.5
Zane Gonzalez,1,1,1,4.9
Devon Bell,0,0,0,0
Nick Novak,0,0,0,0
Patrick Murray,0,0,0,0
Marshall Koehn,0,0,0,0
Mike Meyer,0,0,0,0
Andrew Franks,0,0,0,0
Dustin Hopkins,1,2,1,0
Roberto Aguayo,0,0,0,0
Shayne Graham,0,0,0,0
Josh Lambo,0,0,0,0
Jordan Gay,0,0,0,0
John Lunsford,0,0,0,0
Zach Hocker,0,0,0,0
Nick Rose,0,0,0,0
Mike Nugent,0,0,0,0
Jon Brown,0,0,0,0
