 Steelers,1,1,1,2,0,0,13,321,15.4
 Ravens,1,1,1,2,0,0,15,268,15
 Jaguars,1,0,1,2,0,0,20,289,14.5
 Rams,0,1,1,3,0,0,17,284,14.3
 Colts,1,1,1,3,0,0,15,333,14.2
 Eagles,1,0,1,2,0,0,13,303,14.1
 Patriots,0,1,1,2,0,0,14,269,13.8
 Browns,0,0,0,2,0,0,18,296,13.1
 Vikings,1,0,1,2,0,0,20,371,13
 Buccaneers,0,1,1,2,0,0,17,268,12.8
 Broncos,0,0,0,2,0,0,17,267,12.5
 Raiders,1,1,1,1,0,0,20,338,12.4
 Bills,1,0,1,2,0,0,19,335,12.1
 49ers,0,0,0,1,0,0,18,283,11.9
 Packers,0,0,1,2,0,0,15,308,11.5
 Titans,1,0,0,2,0,0,20,334,11.1
 Panthers,0,0,1,2,0,0,19,330,10.9
 Giants,1,0,1,2,0,0,20,307,10.8
 Dolphins,0,0,1,1,0,0,17,322,10.4
 Chiefs,1,0,1,2,0,0,22,335,10.3
 Jets,0,0,0,2,0,0,18,308,10.3
 Seahawks,0,0,0,2,0,0,18,303,10.3
 Falcons,0,0,0,2,0,0,21,299,10.1
 Bengals,0,0,0,2,0,0,25,369,8.2
 Bears,0,0,0,1,0,0,24,351,7.1
 Lions,0,0,0,2,0,0,24,383,7
 Saints,0,1,1,1,0,0,29,382,7
 Chargers,0,0,1,2,0,0,27,336,6.8
 Texans,0,0,1,1,0,0,27,348,5.6
 Redskins,0,0,1,1,0,0,27,368,5.3
 Cowboys,1,0,1,2,0,0,19,334,0
