Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Harrison Butker K KC (10),,@HOUW 42-34 ,21,,5,5,5/5,3,3,3/3,,50%
Adam Vinatieri K IND (11),,SFW 26-23 ,20,,4,4,4/4,2,2,2/2,,57%
Stephen Gostkowski K NE (9),,@TBW 19-14 ,15,,4,4,4/4,1,1,1/1,,96%
Robbie Gould K SF (11),,@INDL 23-26 ,13,,3,3,3/3,2,2,2/2,,38%
Justin Tucker K BAL (10),,@OAKW 30-17 ,13,,3,3,3/3,3,3,3/3,,88%
Blair Walsh K SEA (6),,@LAW 16-10 ,12,,3,3,3/3,1,1,1/1,,30%
Stephen Hauschka K BUF (6),,@CINL 16-20 ,10,,3,3,3/3,1,1,1/1,,63%
Graham Gano K CAR (11),,@DETW 27-24 ,10,,2,3,2/3,3,3,3/3,,35%
Jake Elliott K PHI (10),,ARIW 34-7 ,10,,2,2,2/2,4,4,4/4,,58%
IRNick Novak K LAC (9),,@NYGW 27-22 ,9,,2,2,2/2,3,3,3/3,,4%
Chris Boswell K PIT (9),,JACL 9-30 ,9,,3,3,3/3,0,0,0/0,,70%
Dan Bailey K DAL (6),,GBL 31-35 ,8,,1,1,1/1,4,4,4/4,,47%
Kai Forbath K MIN (9),,@CHIW 20-17 ,8,,2,2,2/2,2,2,2/2,,51%
Randy Bullock K CIN (6),,BUFW 20-16 ,8,,2,2,2/2,2,2,2/2,,3%
Chandler Catanzaro K NYJ (11),,@CLEW 17-14 ,8,,1,1,1/1,2,2,2/2,,18%
Jason Myers K JAC (8),,@PITW 30-9 ,7,,1,1,1/1,3,4,3/4,,2%
Matt Prater K DET (7),,CARL 24-27 ,6,,1,1,1/1,3,3,3/3,,82%
Mason Crosby K GB (8),,@DALW 35-31 ,5,,1,1,1/1,2,4,2/4,,49%
Ryan Succop K TEN (8),,@MIAL 10-16 ,5,,1,1,1/1,1,1,1/1,,62%
Giorgio Tavecchio K OAK (10),,BALL 17-30 ,5,,1,1,1/1,2,2,2/2,,15%
Cody Parkey K MIA (1),,TENW 16-10 ,5,,1,1,1/1,1,2,1/2,,3%
IRGreg Zuerlein K LA (8),,SEAL 10-16 ,4,,1,2,1/2,1,1,1/1,,60%
IRNick Folk K TB (1),,NEL 14-19 ,2,,0,3,0/3,2,2,2/2,,3%
Ka'imi Fairbairn K HOU (7),,KCL 34-42 ,2,,0,0,0/0,2,2,2/2,,10%
Aldrick Rosas K NYG (8),,LACL 22-27 ,2,,0,0,0/0,2,2,2/2,,2%
Zane Gonzalez K CLE (9),,NYJL 14-17 ,2,,0,2,0/2,2,2,2/2,,2%
Phil Dawson K ARI (8),,@PHIL 7-34 ,1,,0,1,0/1,1,1,1/1,,12%
Connor Barth K CHI (9),,MINL 17-20 ,1,,0,0,0/0,1,1,1/1,,2%
