Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Denver Broncos D/ST DEN (5),,NYJW 23-0 ,23,,32,1,4,1,1,0,,0,100,,73%
Carolina Panthers D/ST CAR (11),,MINW 31-24 ,21,,49,2,6,2,1,0,,24,356,,73%
Detroit Lions D/ST DET (7),,@TBW 24-21 ,19,,54,2,3,3,3,0,,21,400,,57%
Philadelphia Eagles D/ST PHI (10),,@LAW 43-35 ,16,,34,0,2,2,2,1,,35,307,,73%
Tennessee Titans D/ST TEN (8),,@ARIL 7-12 ,16,,59,0,8,0,0,0,,12,261,,16%
Washington Redskins D/ST WAS (5),,@LACL 13-30 ,16,,55,1,2,0,0,1,,30,488,,23%
Kansas City Chiefs D/ST KC (10),,OAKW 26-15 ,13,,31,2,3,1,1,0,,15,268,,74%
Los Angeles Rams D/ST LA (8),,PHIL 35-43 ,12,,56,1,2,0,0,1,,43,455,,87%
Chicago Bears D/ST CHI (9),,@CINW 33-7 ,11,,29,1,3,1,1,0,,7,234,,48%
Arizona Cardinals D/ST ARI (8),,TENW 12-7 ,10,,42,2,3,0,0,0,,7,204,,56%
Jacksonville Jaguars D/ST JAC (8),,SEAW 30-24 ,10,,40,3,2,0,0,0,,24,401,,91%
New Orleans Saints D/ST NO (5),,@ATLL 17-20 ,10,,45,3,1,1,0,0,,20,343,,58%
Oakland Raiders D/ST OAK (10),,@KCL 15-26 ,10,,51,1,4,0,0,0,,26,408,,13%
San Francisco 49ers D/ST SF (11),,@HOUW 26-16 ,9,,38,0,3,1,1,0,,16,311,,6%
Baltimore Ravens D/ST BAL (10),,@PITL 38-39 ,8,,57,0,3,1,0,0,,39,545,,88%
Green Bay Packers D/ST GB (8),,@CLEW 27-21 ,8,,39,2,2,0,0,0,,21,345,,29%
Miami Dolphins D/ST MIA (1),,NEW 27-20 ,8,,29,2,2,0,0,0,,20,248,,11%
Pittsburgh Steelers D/ST PIT (9),,BALW 39-38 ,8,,49,1,1,2,0,0,,38,413,,73%
Tampa Bay Buccaneers D/ST TB (1),,DETL 21-24 ,7,,57,2,0,1,1,0,,24,434,,14%
Atlanta Falcons D/ST ATL (5),,NOW 20-17 ,6,,39,1,2,0,0,0,,17,306,,22%
Dallas Cowboys D/ST DAL (6),,@NYGW 30-10 ,6,,65,2,0,1,0,0,,10,330,,22%
Houston Texans D/ST HOU (7),,SFL 16-26 ,6,,46,1,2,0,0,0,,26,416,,73%
Minnesota Vikings D/ST MIN (9),,@CARL 24-31 ,6,,30,1,2,0,0,0,,31,345,,81%
Los Angeles Chargers D/ST LAC (9),,WASW 30-13 ,6,,44,1,2,0,0,0,,13,201,,62%
Indianapolis Colts D/ST IND (11),,@BUFL 7-13 ,5,,58,1,0,1,1,0,,13,319,,4%
Cincinnati Bengals D/ST CIN (6),,CHIL 7-33 ,4,,55,0,2,0,0,0,,33,482,,32%
New England Patriots D/ST NE (9),,@MIAL 20-27 ,4,,52,0,2,0,0,0,,27,362,,68%
New York Jets D/ST NYJ (11),,@DENL 0-23 ,4,,51,0,2,0,0,0,,23,273,,9%
Seattle Seahawks D/ST SEA (6),,@JACL 24-30 ,3,,48,0,0,1,1,0,,30,424,,87%
Buffalo Bills D/ST BUF (6),,INDW 13-7 ,2,,60,0,1,0,0,0,,7,227,,33%
Cleveland Browns D/ST CLE (9),,GBL 21-27 ,2,,46,0,1,0,0,0,,27,341,,4%
New York Giants D/ST NYG (8),,DALL 10-30 ,0,,51,0,0,0,0,0,,30,454,,36%
