Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
IRGreg Zuerlein K LA (8),,HOUW 33-7 ,18,,4,4,4/4,3,3,3/3,,60%
Mason Crosby K GB (8),,@CHIW 23-16 ,15,,3,4,3/4,2,2,2/2,,49%
Nick Rose K WAS (5),,MINL 30-38 ,15,,3,3,3/3,3,3,3/3,,3%
Wil Lutz K NO (5),,@BUFW 47-10 ,14,,2,2,2/2,5,6,5/6,,83%
Connor Barth K CHI (9),,GBL 16-23 ,13,,3,3,3/3,1,1,1/1,,2%
Matt Bryant K ATL (5),,DALW 27-7 ,12,,2,2,2/2,3,3,3/3,,83%
Stephen Gostkowski K NE (9),,@DENW 41-16 ,11,,2,2,2/2,5,5,5/5,,96%
Kai Forbath K MIN (9),,@WASW 38-30 ,11,,1,1,1/1,5,5,5/5,,51%
Graham Gano K CAR (11),,MIAW 45-21 ,10,,1,1,1/1,6,6,6/6,,35%
Brandon McManus K DEN (5),,NEL 16-41 ,10,,3,3,3/3,1,1,1/1,,28%
Patrick Murray K TB (1),,NYJW 15-10 ,10,,3,3,3/3,0,0,0/0,,3%
Matt Prater K DET (7),,CLEW 38-24 ,9,,1,1,1/1,5,5,5/5,,82%
Blair Walsh K SEA (6),,@ARIW 22-16 ,9,,2,2,2/2,2,2,2/2,,30%
Aldrick Rosas K NYG (8),,@SFL 21-31 ,9,,2,3,2/3,1,1,1/1,,2%
Robbie Gould K SF (11),,NYGW 31-21 ,8,,1,1,1/1,4,4,4/4,,38%
IRNick Novak K LAC (9),,@JACL 17-20 ,8,,1,1,1/1,2,2,2/2,,4%
Ryan Succop K TEN (8),,CINW 24-20 ,7,,1,2,1/2,3,3,3/3,,62%
Chris Boswell K PIT (9),,@INDW 20-17 ,7,,2,3,2/3,0,1,0/1,,70%
Adam Vinatieri K IND (11),,PITL 17-20 ,6,,1,1,1/1,2,2,2/2,,57%
Josh Lambo K JAC (8),,LACW 20-17 ,6,,2,2,2/2,0,1,0/1,,18%
Zane Gonzalez K CLE (9),,@DETL 24-38 ,6,,1,1,1/1,3,3,3/3,,2%
Phil Dawson K ARI (8),,SEAL 16-22 ,5,,1,1,1/1,1,2,1/2,,12%
Chandler Catanzaro K NYJ (11),,@TBL 10-15 ,5,,1,1,1/1,1,1,1/1,,18%
Stephen Hauschka K BUF (6),,NOL 10-47 ,4,,1,1,1/1,1,1,1/1,,63%
Cody Parkey K MIA (1),,@CARL 21-45 ,3,,0,0,0/0,3,3,3/3,,3%
Randy Bullock K CIN (6),,@TENL 20-24 ,2,,0,0,0/0,2,3,2/3,,3%
Mike Nugent K DAL (6),,@ATLL 7-27 ,1,,0,1,0/1,1,1,1/1,,4%
Ka'imi Fairbairn K HOU (7),,@LAL 7-33 ,1,,0,1,0/1,1,1,1/1,,10%
