Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Robbie Gould K SF (11),,TENW 25-23 ,25,,6,6,6/6,1,1,1/1,,38%
Phil Dawson K ARI (8),,@WASL 15-20 ,16,,5,5,5/5,0,0,0/0,,12%
Ryan Succop K TEN (8),,@SFL 23-25 ,15,,3,3,3/3,2,2,2/2,,62%
Harrison Butker K KC (10),,LACW 30-13 ,15,,3,4,3/4,3,3,3/3,,50%
Kai Forbath K MIN (9),,CINW 34-7 ,13,,2,2,2/2,4,4,4/4,,51%
Cody Parkey K MIA (1),,@BUFL 16-24 ,11,,3,3,3/3,1,1,1/1,,3%
IRGreg Zuerlein K LA (8),,@SEAW 42-7 ,10,,2,2,2/2,4,5,4/5,,60%
Justin Tucker K BAL (10),,@CLEW 27-10 ,10,,2,2,2/2,3,3,3/3,,88%
Jake Elliott K PHI (10),,@NYGW 34-29 ,10,,2,2,2/2,4,4,4/4,,58%
Matt Bryant K ATL (5),,@TBW 24-21 ,9,,1,2,1/2,3,3,3/3,,83%
Matt Prater K DET (7),,CHIW 20-10 ,9,,2,2,2/2,2,2,2/2,,82%
Dan Bailey K DAL (6),,@OAKW 20-17 ,9,,2,2,2/2,2,2,2/2,,47%
Chris Boswell K PIT (9),,NEL 24-27 ,9,,1,1,1/1,3,3,3/3,,70%
Josh Lambo K JAC (8),,HOUW 45-7 ,9,,1,1,1/1,6,6,6/6,,18%
Adam Vinatieri K IND (11),,DENL 13-25 ,8,,2,2,2/2,1,1,1/1,,57%
Stephen Gostkowski K NE (9),,@PITW 27-24 ,8,,2,2,2/2,1,2,1/2,,96%
Dustin Hopkins K WAS (5),,ARIW 20-15 ,8,,2,2,2/2,2,2,2/2,,26%
Graham Gano K CAR (11),,GBW 31-24 ,7,,1,1,1/1,4,4,4/4,,35%
Chandler Catanzaro K NYJ (11),,@NOL 19-31 ,7,,2,2,2/2,1,1,1/1,,18%
Wil Lutz K NO (5),,NYJW 31-19 ,7,,1,1,1/1,4,4,4/4,,83%
Mason Crosby K GB (8),,@CARL 24-31 ,6,,1,1,1/1,3,3,3/3,,49%
Stephen Hauschka K BUF (6),,MIAW 24-16 ,6,,1,1,1/1,3,3,3/3,,63%
Brandon McManus K DEN (5),,@INDW 25-13 ,6,,1,2,1/2,2,2,2/2,,28%
Mike Nugent K CHI (9),,@DETL 10-20 ,5,,1,1,1/1,1,1,1/1,,4%
Giorgio Tavecchio K OAK (10),,DALL 17-20 ,5,,1,2,1/2,2,2,2/2,,15%
Aldrick Rosas K NYG (8),,PHIL 29-34 ,5,,1,2,1/2,2,3,2/3,,2%
Zane Gonzalez K CLE (9),,BALL 10-27 ,5,,1,1,1/1,1,1,1/1,,2%
Patrick Murray K TB (1),,ATLL 21-24 ,3,,0,1,0/1,3,3,3/3,,3%
Randy Bullock K CIN (6),,@MINL 7-34 ,1,,0,0,0/0,1,1,1/1,,3%
Blair Walsh K SEA (6),,LAL 7-42 ,1,,0,0,0/0,1,1,1/1,,30%
Travis Coons K LAC (9),,@KCL 13-30 ,1,,0,0,0/0,1,2,1/2,,1%
Ka'imi Fairbairn K HOU (7),,@JACL 7-45 ,1,,0,0,0/0,1,1,1/1,,10%
