Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
IRDeshaun Watson QB HOU (7),,@SEAL 38-41 ,41.8,,19,30,19/30,402,4,3-1,106.9,,8,67,0,,45%
Russell Wilson QB SEA (6),,HOUW 41-38 ,41.6,,26,41,26/41,452,4,1,123.2,,4,30,0,,97%
Matthew Stafford QB DET (7),,PITL 15-20 ,25.25,,27,45,27/45,423,0,0,91.3,,1,11,0,,94%
Tom Brady QB NE (9),,LACW 21-13 ,23.85,,32,47,32/47,333,1,0,95.4,,1,2,0,,99%
OUTBen Roethlisberger QB PIT (9),,@DETW 20-15 ,22.65,,17,31,17/31,317,1,1,87.7,,3,-2,0,,95%
Case Keenum QB MIN (9),,@CLEW 33-16 ,22.4,,27,43,27/43,288,2,1,88.1,,0,0,0,,63%
IRCarson Wentz QB PHI (10),,SFW 33-10 ,21.25,,18,32,18/32,211,2,1,84.2,,2,7,0,,77%
Andy Dalton QB CIN (6),,INDW 24-23 ,21.15,,17,29,17/29,243,2,0,108.8,,3,10,0,,67%
IRJosh McCown QB NYJ (11),,ATLL 20-25 ,20.85,,26,33,26/33,257,2,0,119.3,,1,0,0,,35%
Jacoby Brissett QB IND (11),,@CINL 23-24 ,20.25,,25,39,25/39,233,2,1-1,86.8,,1,6,0,,30%
Derek Carr QB OAK (10),,@BUFL 14-34 ,18.65,,31,49,31/49,313,1,2,71.2,,0,0,0,,86%
Tyrod Taylor QB BUF (6),,OAKW 34-14 ,18.35,,20,27,20/27,165,1,0,101.6,,6,1,1,,60%
Matt Ryan QB ATL (5),,@NYJW 25-20 ,17.4,,18,29,18/29,254,2,0,113.3,,6,17,0,,95%
DeShone Kizer QB CLE (9),,MINL 16-33 ,16.75,,18,34,18/34,179,0,0,68.1,,5,18,1,,21%
Alex Smith QB KC (10),,DENW 29-19 ,15.4,,14,31,14/31,202,1,0,77.6,,4,33,0,,87%
Drew Brees QB NO (5),,CHIW 20-12 ,14.75,,23,28,23/28,299,0,0,111.2,,4,-2,0,,98%
Kirk Cousins QB WAS (5),,DALL 19-33 ,14.15,,26,39,26/39,263,1,1-1,83.6,,1,0,0,,92%
Cam Newton QB CAR (11),,@TBW 17-3 ,14.1,,18,32,18/32,154,1,1,66.4,,11,44,0,,96%
C.J. Beathard QB SF (11),,@PHIL 10-33 ,12.35,,17,36,17/36,167,1,2-1,46.9,,6,40,0,,8%
Philip Rivers QB LAC (9),,@NEL 13-21 ,11.6,,17,30,17/30,212,1,1,76,,0,0,0,,93%
Mitchell Trubisky QB CHI (9),,@NOL 12-20 ,11.5,,14,32,14/32,164,0,1,46.9,,3,53,0,,23%
Joe Flacco QB BAL (10),,MIAW 40-0 ,9.95,,10,15,10/15,101,1,0,107.9,,1,9,0,,43%
IRTrevor Siemian QB DEN (5),,@KCL 19-29 ,9.9,,19,36,19/36,198,1,3,43.5,,2,20,0,,18%
Dak Prescott QB DAL (6),,@WASW 33-19 ,8.75,,14,22,14/22,143,0,0,82.2,,3,16,0,,92%
OUTMatt Moore QB MIA (1),,@BALL 0-40 ,6.8,,25,44,25/44,176,0,2-2,47.2,,0,0,0,,3%
Jameis Winston QB TB (1),,CARL 3-17 ,5.8,,21,38,21/38,210,0,2,49.2,,3,13,0,,77%
Ryan Mallett QB BAL (10),,MIAW 40-0 ,3.7,,3,7,3/7,20,1,0,89.9,,4,-3,0,,1%
Joe Webb QB BUF (6),,OAKW 34-14 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
Nick Foles QB PHI (10),,SFW 33-10 ,-0.2,,0,0,0/0,0,0,0,0,,2,-2,0,,27%
