Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
IRDeshaun Watson QB HOU (7),,KCL 34-42 ,40.15,,16,31,16/31,261,5,0,119.8,,3,31,0,,45%
IRCarson Wentz QB PHI (10),,ARIW 34-7 ,35.3,,21,30,21/30,304,4,1,128.3,,6,11,0,,77%
Dak Prescott QB DAL (6),,GBL 31-35 ,33.25,,25,36,25/36,251,3,1-1,105.2,,4,37,1,,92%
Alex Smith QB KC (10),,@HOUW 42-34 ,33.1,,29,37,29/37,324,3,0,130.2,,5,19,0,,87%
Cam Newton QB CAR (11),,@DETW 27-24 ,31.75,,26,33,26/33,355,3,0,141.8,,7,0,0,,96%
Brian Hoyer QB SF (11),,@INDL 23-26 ,26.65,,29,46,29/46,353,2,0,101.1,,2,0,0,,8%
IRAaron Rodgers QB GB (8),,@DALW 35-31 ,26.25,,19,29,19/29,221,3,0,122.9,,4,32,0,,82%
Jameis Winston QB TB (1),,NEL 14-19 ,22.8,,26,46,26/46,334,1,0,86.7,,3,11,0,,77%
Philip Rivers QB LAC (9),,@NYGW 27-22 ,22.4,,21,44,21/44,258,3,1,79.5,,4,5,0,,93%
Jacoby Brissett QB IND (11),,SFW 26-23 ,22.1,,22,34,22/34,314,0,1,82.2,,8,14,1,,30%
Kevin Hogan QB CLE (9),,NYJL 14-17 ,20.7,,16,19,16/19,194,2,1,122.4,,4,30,0,,1%
IRCarson Palmer QB ARI (8),,@PHIL 7-34 ,20.55,,28,44,28/44,291,1,0,90.2,,0,0,0,,41%
Andy Dalton QB CIN (6),,BUFW 20-16 ,19.6,,22,36,22/36,328,1,2,77.1,,5,2,0,,67%
Tom Brady QB NE (9),,@TBW 19-14 ,18.65,,30,40,30/40,303,1,1,94.1,,2,5,0,,99%
Matthew Stafford QB DET (7),,CARL 24-27 ,16.45,,23,35,23/35,229,2,0,103.2,,0,0,0,,94%
Eli Manning QB NYG (8),,LACL 22-27 ,16.25,,21,36,21/36,225,2,1,83.7,,0,0,0,,58%
E.J. Manuel QB OAK (10),,BALL 17-30 ,15.45,,13,26,13/26,159,1,0,82.1,,2,15,0,,2%
IRJosh McCown QB NYJ (11),,@CLEW 17-14 ,15.4,,23,30,23/30,194,2,1,101.3,,3,-3,0,,35%
Russell Wilson QB SEA (6),,@LAW 16-10 ,13.5,,24,37,24/37,198,1,1,76.2,,5,16,0,,97%
Case Keenum QB MIN (9),,@CHIW 20-17 ,13.2,,17,21,17/21,140,1,0,110.3,,1,22,0,,63%
Joe Flacco QB BAL (10),,@OAKW 30-17 ,10.7,,19,26,19/26,222,0,0,98.6,,3,-4,0,,43%
Tyrod Taylor QB BUF (6),,@CINL 16-20 ,10.6,,20,37,20/37,166,1,1,63.6,,1,3,0,,60%
Jared Goff QB LA (8),,SEAL 10-16 ,10.6,,22,47,22/47,288,0,2,48.9,,1,22,0,,80%
Mitchell Trubisky QB CHI (9),,MINL 17-20 ,10.6,,12,25,12/25,128,1,1,60.1,,3,22,0,,23%
Matt Cassel QB TEN (8),,@MIAL 10-16 ,9.05,,21,32,21/32,141,1,0,85.5,,0,0,0,,1%
OUTBen Roethlisberger QB PIT (9),,JACL 9-30 ,8.7,,33,55,33/55,312,0,5-2,37.8,,1,1,0,,95%
Jay Cutler QB MIA (1),,TENW 16-10 ,7.4,,12,26,12/26,92,1,1,52.1,,2,8,0,,32%
Blake Bortles QB JAC (8),,@PITW 30-9 ,3.65,,8,14,8/14,95,0,1,48.2,,1,9,0,,63%
DeShone Kizer QB CLE (9),,NYJL 14-17 ,3.25,,8,17,8/17,87,0,1,38.1,,6,29,0,,21%
IRSam Bradford QB MIN (9),,@CHIW 20-17 ,1.8,,5,11,5/11,36,0,0,53.6,,0,0,0,,25%
Joe Webb QB BUF (6),,@CINL 16-20 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
