Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Rob Gronkowski TE NE (9),,@NOW 36-20 ,19.6,,0,0,0,,6,9,116,1,,0,1,116,,98%
Jason Witten TE DAL (6),,@DENL 17-42 ,17.7,,0,0,0,,10,13,97,1,,0,1,97,,86%
QTravis Kelce TE KC (10),,PHIW 27-20 ,16.3,,0,0,0,,8,10,103,1,,0,1,103,,97%
Delanie Walker TE TEN (8),,@JACW 37-16 ,12.2,,1,1,1,,4,4,61,0,,0,1,62,,93%
OUTEvan Engram TE NYG (8),,DETL 10-24 ,10.9,,0,0,0,,4,7,49,1,,0,1,49,,83%
Eric Ebron TE DET (7),,@NYGW 24-10 ,10.2,,0,0,0,,5,5,42,1,,0,1,42,,63%
Zach Ertz TE PHI (10),,@KCL 20-27 ,9.7,,0,0,0,,5,10,97,0,,0,0,97,,95%
Gerald Everett TE LA (8),,WASL 20-27 ,9.5,,0,0,0,,3,3,95,0,,0,0,95,,11%
IRCoby Fleener TE NO (5),,NEL 20-36 ,9.3,,0,0,0,,3,4,33,1,,0,1,33,,44%
Benjamin Watson TE BAL (10),,CLEW 24-10 ,9.1,,0,0,0,,8,8,91,0,,0,0,91,,28%
Jonnu Smith TE TEN (8),,@JACW 37-16 ,9,,0,0,0,,2,3,30,1,,0,1,30,,8%
David Njoku TE CLE (9),,@BALL 10-24 ,8.7,,0,0,0,,3,4,27,1,,0,1,27,,26%
IRHunter Henry TE LAC (9),,MIAL 17-19 ,8,,0,0,0,,7,7,80,0,,0,0,80,,76%
Jack Doyle TE IND (11),,ARIL 13-16 ,7.9,,0,0,0,,8,8,79,0,,0,0,79,,79%
Antonio Gates TE LAC (9),,MIAL 17-19 ,7.1,,0,0,0,,2,4,11,1,,0,1,11,,33%
Virgil Green TE DEN (5),,DALW 42-17 ,7.1,,0,0,0,,2,3,11,1,,0,1,11,,3%
Seth DeValve TE CLE (9),,@BALL 10-24 ,6.1,,0,0,0,,2,4,61,0,,0,0,61,,4%
IRMartellus Bennett TE GB (8),,@ATLL 23-34 ,4.7,,0,0,0,,5,11,47,0,,0,0,47,,45%
IRIfeanyi Momah TE ARI (8),,@INDW 16-13 ,4.6,,0,0,0,,1,2,46,0,,0,0,46,,0%
QKyle Rudolph TE MIN (9),,@PITL 9-26 ,4.5,,0,0,0,,4,6,45,0,,0,0,45,,91%
IRZach Miller TE CHI (9),,@TBL 7-29 ,4.2,,0,0,0,,6,9,42,0,,0,0,42,,11%
IRTyler Eifert TE CIN (6),,HOUL 9-13 ,4.2,,0,0,0,,3,4,42,0,,0,0,42,,47%
IRJordan Reed TE WAS (5),,@LAW 27-20 ,3.8,,0,0,0,,6,6,48,0,,1,0,48,,71%
Jerell Adams TE NYG (8),,DETL 10-24 ,3.8,,0,0,0,,1,1,38,0,,0,0,38,,1%
Josh Hill TE NO (5),,NEL 20-36 ,2.9,,0,0,0,,3,3,29,0,,0,0,29,,1%
Nick Boyle TE BAL (10),,CLEW 24-10 ,2.9,,0,0,0,,1,1,9,0,,0,0,9,,1%
Jesse James TE PIT (9),,MINW 26-9 ,2.7,,0,0,0,,4,5,27,0,,0,0,27,,28%
Ed Dickson TE CAR (11),,BUFW 9-3 ,2.6,,0,0,0,,2,3,26,0,,0,0,26,,15%
IRJulius Thomas TE MIA (1),,@LACW 19-17 ,2.6,,0,0,0,,3,3,26,0,,0,0,26,,45%
Jared Cook TE OAK (10),,NYJW 45-20 ,2.5,,0,0,0,,4,6,25,0,,0,0,25,,63%
Luke Willson TE SEA (6),,SFW 12-9 ,2.5,,0,0,0,,3,3,25,0,,0,0,25,,2%
Cameron Brate TE TB (1),,CHIW 29-7 ,2.4,,0,0,0,,2,3,24,0,,0,0,24,,76%
Maxx Williams TE BAL (10),,CLEW 24-10 ,2.3,,1,2,0,,4,4,21,0,,0,0,23,,3%
OUTRichard Rodgers TE GB (8),,@ATLL 23-34 ,2.2,,0,0,0,,2,4,22,0,,0,0,22,,3%
Rhett Ellison TE NYG (8),,DETL 10-24 ,2.1,,0,0,0,,2,2,21,0,,0,0,21,,0%
IRBrandon Williams TE IND (11),,ARIL 13-16 ,2,,0,0,0,,1,1,20,0,,0,0,20,,0%
Randall Telfer TE CLE (9),,@BALL 10-24 ,2,,0,0,0,,1,1,20,0,,0,0,20,,0%
IRO.J. Howard TE TB (1),,CHIW 29-7 ,1.7,,0,0,0,,1,3,17,0,,0,0,17,,38%
Troy Niklas TE ARI (8),,@INDW 16-13 ,1.6,,0,0,0,,1,1,16,0,,0,0,16,,0%
Jeff Heuerman TE DEN (5),,DALW 42-17 ,1.5,,0,0,0,,1,1,15,0,,0,0,15,,1%
Vernon Davis TE WAS (5),,@LAW 27-20 ,1.3,,0,0,0,,1,1,13,0,,0,0,13,,49%
QCharles Clay TE BUF (6),,@CARL 3-9 ,1.3,,0,0,0,,3,3,23,0,,1,0,23,,44%
George Kittle TE SF (11),,@SEAL 9-12 ,1.3,,0,0,0,,2,2,13,0,,0,0,13,,13%
Greg Olsen TE CAR (11),,BUFW 9-3 ,1,,0,0,0,,1,2,10,0,,0,0,10,,84%
Sean McGrath TE LAC (9),,MIAL 17-19 ,1,,0,0,0,,1,1,10,0,,0,0,10,,0%
Trey Burton TE PHI (10),,@KCL 20-27 ,1,,0,0,0,,1,1,10,0,,0,0,10,,11%
Lee Smith TE OAK (10),,NYJW 45-20 ,0.9,,0,0,0,,1,1,9,0,,0,0,9,,0%
Derek Carrier TE LA (8),,WASL 20-27 ,0.9,,0,0,0,,1,1,9,0,,0,0,9,,0%
Michael Hoomanawanui TE NO (5),,NEL 20-36 ,0.8,,0,0,0,,1,1,8,0,,0,0,8,,0%
Neal Sterling TE NYJ (11),,@OAKL 20-45 ,0.8,,0,0,0,,1,1,8,0,,0,0,8,,0%
IRClive Walford TE OAK (10),,NYJW 45-20 ,0.7,,0,0,0,,1,1,7,0,,0,0,7,,3%
