Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Jared Goff QB LA (8),,@NYGW 51-17 ,36.55,,14,22,14/22,311,4,0,146.8,,0,0,0,,80%
Tyrod Taylor QB BUF (6),,@NYJL 21-34 ,30.75,,29,40,29/40,285,2,0,108.9,,6,35,1,,60%
Jay Cutler QB MIA (1),,OAKL 24-27 ,30.55,,34,42,34/42,311,3,0,121.3,,1,0,0,,32%
Jacoby Brissett QB IND (11),,@HOUW 20-14 ,29.6,,20,30,20/30,308,2,0,122.6,,2,12,0,,30%
Dak Prescott QB DAL (6),,KCW 28-17 ,29.15,,21,33,21/33,249,2,0,106.8,,3,27,1,,92%
Matthew Stafford QB DET (7),,@GBW 30-17 ,29.05,,26,33,26/33,361,2,0,132.4,,1,0,0,,94%
IRCarson Wentz QB PHI (10),,DENW 51-23 ,26.75,,15,27,15/27,199,4,0,118.7,,2,8,0,,77%
Russell Wilson QB SEA (6),,WASL 14-17 ,25.55,,24,45,24/45,297,2,2,70.3,,10,77,0,,97%
Alex Smith QB KC (10),,@DALL 17-28 ,25.05,,25,34,25/34,263,2,1,102.9,,5,19,0,,87%
Matt Ryan QB ATL (5),,@CARL 17-20 ,22.55,,24,38,24/38,313,2,1,95.6,,1,-1,0,,95%
Brett Hundley QB GB (8),,DETL 17-30 ,22.45,,26,38,26/38,245,0,0,86,,4,22,1,,15%
Cam Newton QB CAR (11),,ATLW 20-17 ,21.45,,13,24,13/24,137,0,0,71,,9,86,1,,96%
Drew Brees QB NO (5),,TBW 30-10 ,20.35,,22,27,22/27,263,2,0,131.9,,4,2,0,,98%
C.J. Beathard QB SF (11),,ARIL 10-20 ,20.3,,24,51,24/51,294,0,1,57.1,,3,16,1,,8%
Blake Bortles QB JAC (8),,CINW 23-7 ,18.95,,24,38,24/38,259,1,0,91.9,,5,20,0,,63%
Joe Flacco QB BAL (10),,@TENL 20-23 ,18.75,,34,52,34/52,261,2,2,74.3,,1,7,0,,43%
IRJosh McCown QB NYJ (11),,BUFW 34-21 ,18.3,,14,20,14/20,140,1,0,106.3,,5,13,1,,35%
Derek Carr QB OAK (10),,@MIAW 27-24 ,17.7,,21,30,21/30,300,1,1,99.3,,4,-3,0,,86%
Marcus Mariota QB TEN (8),,BALW 23-20 ,17.5,,19,28,19/28,218,2,1,100,,3,6,0,,81%
QDrew Stanton QB ARI (8),,@SFW 20-10 ,16.25,,15,30,15/30,201,2,1,80,,4,2,0,,5%
Eli Manning QB NYG (8),,LAL 17-51 ,15,,20,36,20/36,220,2,1,80.8,,0,0,0,,58%
IRTom Savage QB HOU (7),,INDL 14-20 ,11.95,,19,44,19/44,219,1,0,66.4,,0,0,0,,7%
Ryan Fitzpatrick QB TB (1),,@NOL 10-30 ,10.4,,8,15,8/15,68,1,0,87.6,,3,30,0,,11%
Kirk Cousins QB WAS (5),,@SEAW 17-14 ,9.75,,21,31,21/31,247,0,0,91.7,,3,4,0,,92%
Brock Osweiler QB DEN (5),,@PHIL 23-51 ,9.4,,19,38,19/38,208,1,2,53.4,,0,0,0,,8%
Andy Dalton QB CIN (6),,@JACL 7-23 ,6.7,,10,18,10/18,136,0,0,79.9,,3,-1,0,,67%
Jameis Winston QB TB (1),,@NOL 10-30 ,4.15,,7,13,7/13,67,0,0,68.4,,2,8,0,,77%
OUTGeno Smith QB NYG (8),,LAL 17-51 ,-0.1,,0,2,0/2,0,0,0,39.6,,1,-1,0,,3%
Sean Mannion QB LA (8),,@NYGW 51-17 ,-0.1,,0,0,0/0,0,0,0,0,,1,-1,0,,1%
Nick Foles QB PHI (10),,DENW 51-23 ,-0.35,,1,1,1/1,35,0,0,118.8,,1,-1,0,,27%
