Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
IRGreg Zuerlein K LA (8),,@DALW 35-30 ,27,,7,7,7/7,2,2,2/2,,60%
Jake Elliott K PHI (10),,@LACW 26-24 ,20,,4,4,4/4,2,2,2/2,,58%
Ka'imi Fairbairn K HOU (7),,TENW 57-14 ,19,,3,3,3/3,6,7,6/7,,10%
Robbie Gould K SF (11),,@ARIL 15-18 ,18,,5,5,5/5,0,0,0/0,,38%
Stephen Hauschka K BUF (6),,@ATLW 23-17 ,17,,3,3,3/3,2,2,2/2,,63%
Phil Dawson K ARI (8),,SFW 18-15 ,16,,4,4,4/4,0,0,0/0,,12%
Stephen Gostkowski K NE (9),,CARL 30-33 ,16,,3,3,3/3,3,3,3/3,,96%
Chandler Catanzaro K NYJ (11),,JACW 23-20 ,13,,3,4,3/4,2,2,2/2,,18%
Harrison Butker K KC (10),,WASW 29-20 ,12,,3,4,3/4,2,2,2/2,,50%
Brandon McManus K DEN (5),,OAKW 16-10 ,11,,3,4,3/4,1,1,1/1,,28%
Graham Gano K CAR (11),,@NEW 33-30 ,10,,2,2,2/2,3,4,3/4,,35%
Wil Lutz K NO (5),,@MIAW 20-0 ,10,,2,3,2/3,2,2,2/2,,83%
Blair Walsh K SEA (6),,INDW 46-18 ,9,,1,2,1/2,5,5,5/5,,30%
Dustin Hopkins K WAS (5),,@KCL 20-29 ,9,,2,2,2/2,2,2,2/2,,26%
Chris Boswell K PIT (9),,@BALW 26-9 ,9,,2,3,2/3,2,2,2/2,,70%
Randy Bullock K CIN (6),,@CLEW 31-7 ,8,,1,1,1/1,4,4,4/4,,3%
Jason Myers K JAC (8),,@NYJL 20-23 ,8,,2,3,2/3,2,2,2/2,,2%
IRNick Folk K TB (1),,NYGW 25-23 ,7,,2,4,2/4,1,2,1/2,,3%
Matt Prater K DET (7),,@MINW 14-7 ,6,,2,3,2/3,0,0,0/0,,82%
Dan Bailey K DAL (6),,LAL 30-35 ,6,,1,1,1/1,3,3,3/3,,47%
Younghoe Koo K LAC (9),,PHIL 24-26 ,6,,1,1,1/1,3,3,3/3,,1%
Adam Vinatieri K IND (11),,@SEAL 18-46 ,5,,1,1,1/1,1,1,1/1,,57%
Matt Bryant K ATL (5),,BUFL 17-23 ,5,,1,1,1/1,2,2,2/2,,83%
Mason Crosby K GB (8),,CHIW 35-14 ,5,,0,0,0/0,5,5,5/5,,49%
Aldrick Rosas K NYG (8),,@TBL 23-25 ,5,,1,2,1/2,2,2,2/2,,2%
Justin Tucker K BAL (10),,PITL 9-26 ,4,,1,2,1/2,0,0,0/0,,88%
Giorgio Tavecchio K OAK (10),,@DENL 10-16 ,4,,1,1,1/1,1,1,1/1,,15%
Connor Barth K CHI (9),,@GBL 14-35 ,2,,0,1,0/1,2,2,2/2,,2%
Ryan Succop K TEN (8),,@HOUL 14-57 ,2,,0,0,0/0,2,2,2/2,,62%
Kai Forbath K MIN (9),,DETL 7-14 ,1,,0,1,0/1,1,1,1/1,,51%
Zane Gonzalez K CLE (9),,CINL 7-31 ,1,,0,1,0/1,1,1,1/1,,2%
