Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
IRGreg Zuerlein K LA (8),,NOW 26-20 ,19,,4,5,4/5,2,2,2/2,,60%
Phil Dawson K ARI (8),,JACW 27-24 ,18,,4,4,4/4,1,1,1/1,,12%
Justin Tucker K BAL (10),,HOUW 23-16 ,15,,3,3,3/3,2,2,2/2,,88%
Matt Prater K DET (7),,MINL 23-30 ,14,,3,3,3/3,2,2,2/2,,82%
Stephen Hauschka K BUF (6),,@KCW 16-10 ,14,,3,4,3/4,1,1,1/1,,63%
Randy Bullock K CIN (6),,CLEW 30-16 ,13,,3,3,3/3,3,3,3/3,,3%
Adam Vinatieri K IND (11),,TENL 16-20 ,11,,3,3,3/3,1,1,1/1,,57%
Matt Bryant K ATL (5),,TBW 34-20 ,11,,2,2,2/2,4,4,4/4,,83%
Graham Gano K CAR (11),,@NYJW 35-27 ,11,,3,3,3/3,0,1,0/1,,35%
Wil Lutz K NO (5),,@LAL 20-26 ,11,,2,2,2/2,2,2,2/2,,83%
Ka'imi Fairbairn K HOU (7),,@BALL 16-23 ,10,,3,3,3/3,1,1,1/1,,10%
Zane Gonzalez K CLE (9),,@CINL 16-30 ,10,,3,4,3/4,1,1,1/1,,2%
Ryan Succop K TEN (8),,@INDW 20-16 ,9,,2,2,2/2,2,2,2/2,,62%
Chandler Catanzaro K NYJ (11),,CARL 27-35 ,9,,2,2,2/2,3,3,3/3,,18%
Robbie Gould K SF (11),,SEAL 13-24 ,8,,2,2,2/2,1,1,1/1,,38%
Chris Boswell K PIT (9),,GBW 31-28 ,8,,1,1,1/1,2,3,2/3,,70%
Patrick Murray K TB (1),,@ATLL 20-34 ,8,,2,2,2/2,2,2,2/2,,3%
Nick Rose K WAS (5),,NYGW 20-10 ,8,,2,2,2/2,2,2,2/2,,3%
Jake Elliott K PHI (10),,CHIW 31-3 ,8,,1,1,1/1,4,4,4/4,,58%
Josh Lambo K JAC (8),,@ARIL 24-27 ,7,,1,1,1/1,3,3,3/3,,18%
Kai Forbath K MIN (9),,@DETW 30-23 ,6,,1,2,1/2,3,4,3/4,,51%
Blair Walsh K SEA (6),,@SFW 24-13 ,6,,1,2,1/2,3,3,3/3,,30%
Stephen Gostkowski K NE (9),,MIAW 35-17 ,5,,0,0,0/0,5,5,5/5,,96%
Cody Parkey K MIA (1),,@NEL 17-35 ,5,,1,1,1/1,2,2,2/2,,3%
Harrison Butker K KC (10),,BUFL 10-16 ,5,,1,1,1/1,1,1,1/1,,50%
Mason Crosby K GB (8),,@PITL 28-31 ,4,,0,1,0/1,4,4,4/4,,49%
Aldrick Rosas K NYG (8),,@WASL 10-20 ,4,,1,1,1/1,1,1,1/1,,2%
IRNick Novak K LAC (9),,@DALW 28-6 ,3,,1,2,1/2,0,1,0/1,,4%
Giorgio Tavecchio K OAK (10),,DENW 21-14 ,3,,0,1,0/1,3,3,3/3,,15%
IRCairo Santos K CHI (9),,@PHIL 3-31 ,3,,1,2,1/2,0,0,0/0,,26%
Brandon McManus K DEN (5),,@OAKL 14-21 ,2,,0,0,0/0,2,2,2/2,,28%
