Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Phil Dawson K ARI (8),,@SEAW 26-24 ,20,,4,4,4/4,2,2,2/2,,12%
Matt Bryant K ATL (5),,CARW 22-10 ,20,,5,5,5/5,1,1,1/1,,83%
Adam Vinatieri K IND (11),,HOUW 22-13 ,11,,2,2,2/2,2,2,2/2,,57%
Robbie Gould K SF (11),,@LAW 34-13 ,11,,2,2,2/2,4,4,4/4,,38%
Stephen Hauschka K BUF (6),,@MIAW 22-16 ,11,,3,3,3/3,1,1,1/1,,63%
Ka'imi Fairbairn K HOU (7),,@INDL 13-22 ,11,,2,2,2/2,1,1,1/1,,10%
Justin Tucker K BAL (10),,CINL 27-31 ,10,,2,2,2/2,3,3,3/3,,88%
Matt Prater K DET (7),,GBW 35-11 ,9,,2,2,2/2,3,3,3/3,,82%
Ryan Succop K TEN (8),,JACW 15-10 ,9,,3,3,3/3,0,1,0/1,,62%
Zane Gonzalez K CLE (9),,@PITL 24-28 ,9,,1,1,1/1,3,3,3/3,,2%
Harrison Butker K KC (10),,@DENW 27-24 ,9,,2,2,2/2,3,3,3/3,,50%
Wil Lutz K NO (5),,@TBL 24-31 ,7.4,,1,1,1/1,3,3,3/3,,83%
Mike Nugent K CHI (9),,@MINL 10-23 ,7,,1,1,1/1,1,1,1/1,,4%
Randy Bullock K CIN (6),,@BALW 31-27 ,7,,1,1,1/1,4,4,4/4,,3%
Blair Walsh K SEA (6),,ARIL 24-26 ,7,,1,2,1/2,3,3,3/3,,30%
Chandler Catanzaro K NYJ (11),,@NEL 6-26 ,7,,2,3,2/3,0,0,0/0,,18%
Sam Ficken K LA (8),,SFL 13-34 ,7,,2,2,2/2,1,1,1/1,,1%
Stephen Gostkowski K NE (9),,NYJW 26-6 ,6,,1,1,1/1,3,3,3/3,,96%
Brandon McManus K DEN (5),,KCL 24-27 ,6,,1,1,1/1,3,3,3/3,,28%
Patrick Murray K TB (1),,NOW 31-24 ,6,,1,1,1/1,2,3,2/3,,3%
Nick Rose K LAC (9),,OAKW 30-10 ,6,,1,2,1/2,3,4,3/4,,3%
Aldrick Rosas K NYG (8),,WASW 18-10 ,6,,2,2,2/2,0,1,0/1,,2%
Graham Gano K CAR (11),,@ATLL 10-22 ,5,,1,1,1/1,1,1,1/1,,35%
Giorgio Tavecchio K OAK (10),,@LACL 10-30 ,5,,1,1,1/1,1,1,1/1,,15%
Dustin Hopkins K WAS (5),,@NYGL 10-18 ,5,,1,2,1/2,1,1,1/1,,26%
Josh Lambo K JAC (8),,@TENL 10-15 ,5,,1,1,1/1,1,1,1/1,,18%
Mason Crosby K GB (8),,@DETL 11-35 ,4,,1,1,1/1,0,0,0/0,,49%
Chris Boswell K PIT (9),,CLEW 28-24 ,4,,0,0,0/0,4,4,4/4,,70%
Cody Parkey K MIA (1),,BUFL 16-22 ,4,,1,1,1/1,1,1,1/1,,3%
Kai Forbath K MIN (9),,CHIW 23-10 ,3,,0,1,0/1,3,3,3/3,,51%
Dan Bailey K DAL (6),,@PHIW 6-0 ,0,,0,1,0/1,0,1,0/1,,47%
