Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Los Angeles Chargers D/ST LAC (9),,DENW 21-0 ,36,,56,1,5,3,2,0,,0,251,,62%
Jacksonville Jaguars D/ST JAC (8),,@INDW 27-0 ,34,,48,0,10,2,0,0,,0,232,,91%
Chicago Bears D/ST CHI (9),,CARW 17-3 ,31,,55,2,5,0,1,2,,3,293,,48%
Los Angeles Rams D/ST LA (8),,ARIW 33-0 ,22,,32,2,3,1,0,0,,0,196,,87%
Dallas Cowboys D/ST DAL (6),,@SFW 40-10 ,21,,53,0,5,4,3,0,,10,290,,22%
Pittsburgh Steelers D/ST PIT (9),,CINW 29-14 ,14,,35,2,4,1,0,0,,14,179,,73%
Buffalo Bills D/ST BUF (6),,TBW 30-27 ,12,,52,1,1,3,2,0,,27,447,,33%
Minnesota Vikings D/ST MIN (9),,BALW 24-16 ,12,,46,0,5,1,0,0,,16,208,,81%
New York Jets D/ST NYJ (11),,@MIAL 28-31 ,12,,44,2,3,1,0,0,,31,357,,9%
Philadelphia Eagles D/ST PHI (10),,WASW 34-24 ,12,,46,1,4,1,0,0,,24,344,,73%
Tennessee Titans D/ST TEN (8),,@CLEW 12-9 ,10,,38,3,2,0,0,0,,9,284,,16%
Washington Redskins D/ST WAS (5),,@PHIL 24-34 ,10,,44,1,3,1,0,0,,34,371,,23%
Miami Dolphins D/ST MIA (1),,NYJW 31-28 ,9,,39,1,3,0,1,0,,28,272,,11%
Carolina Panthers D/ST CAR (11),,@CHIL 3-17 ,8,,30,0,4,0,0,0,,17,153,,73%
Indianapolis Colts D/ST IND (11),,JACL 0-27 ,8,,39,0,1,2,2,0,,27,518,,4%
New Orleans Saints D/ST NO (5),,@GBW 26-17 ,8,,38,1,1,2,0,0,,17,260,,58%
Cleveland Browns D/ST CLE (9),,TENL 9-12 ,7,,46,0,2,1,1,0,,12,269,,4%
Atlanta Falcons D/ST ATL (5),,@NEL 7-23 ,6,,56,0,2,1,0,0,,23,403,,22%
Denver Broncos D/ST DEN (5),,@LACL 0-21 ,6,,44,0,3,0,0,0,,21,242,,73%
Green Bay Packers D/ST GB (8),,NOL 17-26 ,6,,57,2,1,0,0,0,,26,485,,29%
New York Giants D/ST NYG (8),,SEAL 7-24 ,5,,61,0,1,1,1,0,,24,425,,36%
Seattle Seahawks D/ST SEA (6),,@NYGW 24-7 ,5,,40,0,1,1,1,0,,7,177,,87%
Tampa Bay Buccaneers D/ST TB (1),,@BUFL 27-30 ,5,,51,0,1,1,1,0,,30,434,,14%
Arizona Cardinals D/ST ARI (8),,@LAL 0-33 ,4,,62,1,1,0,0,0,,33,425,,56%
Baltimore Ravens D/ST BAL (10),,@MINL 16-24 ,2,,44,1,0,0,0,0,,24,357,,88%
New England Patriots D/ST NE (9),,ATLW 23-7 ,2,,48,0,1,0,0,0,,7,343,,68%
Oakland Raiders D/ST OAK (10),,KCW 31-30 ,2,,42,0,1,0,0,0,,30,425,,13%
Cincinnati Bengals D/ST CIN (6),,@PITL 14-29 ,0,,46,0,0,0,0,0,,29,420,,32%
Kansas City Chiefs D/ST KC (10),,@OAKL 30-31 ,0,,44,0,0,0,0,0,,31,505,,74%
San Francisco 49ers D/ST SF (11),,DALL 10-40 ,0,,56,0,0,0,0,0,,40,501,,6%
