Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
New Orleans Saints D/ST NO (5),,DETW 52-38 ,40,,39,3,5,2,2,3,,38,347,,58%
Houston Texans D/ST HOU (7),,CLEW 33-17 ,30,,44,3,4,1,0,1,,17,247,,73%
Los Angeles Rams D/ST LA (8),,@JACW 27-17 ,28,,50,1,5,2,0,1,,17,389,,87%
Baltimore Ravens D/ST BAL (10),,CHIL 24-27 ,26,,66,0,4,2,2,0,,27,342,,88%
New York Giants D/ST NYG (8),,@DENW 23-10 ,25,,52,2,4,2,1,1,,10,412,,36%
Chicago Bears D/ST CHI (9),,@BALW 27-24 ,23,,55,2,3,1,1,1,,24,291,,48%
Detroit Lions D/ST DET (7),,@NOL 38-52 ,21,,46,2,0,2,1,1,,52,379,,57%
Tampa Bay Buccaneers D/ST TB (1),,@ARIL 33-38 ,17,,47,1,2,2,1,1,,38,432,,14%
Minnesota Vikings D/ST MIN (9),,GBW 23-10 ,16,,35,3,4,1,0,0,,10,227,,81%
New England Patriots D/ST NE (9),,@NYJW 24-17 ,14,,53,2,4,1,0,0,,17,408,,68%
Cleveland Browns D/ST CLE (9),,@HOUL 17-33 ,12,,41,1,1,0,0,1,,33,340,,4%
Indianapolis Colts D/ST IND (11),,@TENL 22-36 ,10,,44,1,1,0,0,1,,36,473,,4%
Philadelphia Eagles D/ST PHI (10),,@CARW 28-23 ,10,,41,3,2,0,0,0,,23,305,,73%
Pittsburgh Steelers D/ST PIT (9),,@KCW 19-13 ,10,,36,0,3,0,0,0,,13,251,,73%
Carolina Panthers D/ST CAR (11),,PHIL 23-28 ,9,,28,0,3,1,1,0,,28,310,,73%
Jacksonville Jaguars D/ST JAC (8),,LAL 17-27 ,9,,42,0,3,1,1,0,,27,249,,91%
San Francisco 49ers D/ST SF (11),,@WASL 24-26 ,9,,46,1,1,2,1,0,,26,419,,6%
Arizona Cardinals D/ST ARI (8),,TBW 38-33 ,8,,43,2,2,0,0,0,,33,414,,56%
Los Angeles Chargers D/ST LAC (9),,@OAKW 17-16 ,8,,42,2,1,1,0,0,,16,274,,62%
Washington Redskins D/ST WAS (5),,SFW 26-24 ,8,,36,1,3,0,0,0,,24,335,,23%
Green Bay Packers D/ST GB (8),,@MINL 10-23 ,7,,45,1,0,2,1,0,,23,351,,29%
Denver Broncos D/ST DEN (5),,NYGL 10-23 ,6,,40,0,3,0,0,0,,23,266,,73%
Miami Dolphins D/ST MIA (1),,@ATLW 20-17 ,6,,39,1,2,0,0,0,,17,339,,11%
New York Jets D/ST NYJ (11),,NEL 17-24 ,5,,36,1,0,1,1,0,,24,375,,9%
Oakland Raiders D/ST OAK (10),,LACL 16-17 ,5,,53,0,1,1,1,0,,17,343,,13%
Tennessee Titans D/ST TEN (8),,INDW 36-22 ,5,,38,0,1,1,1,0,,22,297,,16%
Kansas City Chiefs D/ST KC (10),,PITL 13-19 ,4,,36,1,1,0,0,0,,19,439,,74%
Atlanta Falcons D/ST ATL (5),,MIAL 17-20 ,2,,36,1,0,0,0,0,,20,289,,22%
