Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Giorgio Tavecchio K OAK (10),,@TENW 26-16 ,21,,4,4,4/4,2,2,2/2,,15%
IRGreg Zuerlein K LA (8),,INDW 46-9 ,18,,3,3,3/3,5,5,5/5,,60%
Dan Bailey K DAL (6),,NYGW 19-3 ,15,,4,4,4/4,1,1,1/1,,47%
IRCaleb Sturgis K PHI (10),,@WASW 30-17 ,14,,3,3,3/3,1,2,1/2,,7%
Wil Lutz K NO (5),,@MINL 19-29 ,14,,4,4,4/4,1,1,1/1,,83%
Ryan Succop K TEN (8),,OAKL 16-26 ,13,,3,4,3/4,1,1,1/1,,62%
Matt Bryant K ATL (5),,@CHIW 23-17 ,12,,3,3,3/3,2,2,2/2,,83%
Kai Forbath K MIN (9),,NOW 29-19 ,12,,3,3,3/3,2,3,2/3,,51%
Jason Myers K JAC (8),,@HOUW 29-7 ,12,,3,4,3/4,2,3,2/3,,2%
Graham Gano K CAR (11),,@SFW 23-3 ,11,,3,3,3/3,2,2,2/2,,35%
Blair Walsh K SEA (6),,@GBL 9-17 ,10,,3,3,3/3,0,0,0/0,,30%
Chandler Catanzaro K NYJ (11),,@BUFL 12-21 ,10,,2,2,2/2,0,0,0/0,,18%
Stephen Gostkowski K NE (9),,KCL 27-42 ,9,,2,2,2/2,3,3,3/3,,96%
Matt Prater K DET (7),,ARIW 35-23 ,8,,1,1,1/1,2,2,2/2,,82%
Connor Barth K CHI (9),,ATLL 17-23 ,8,,1,1,1/1,2,2,2/2,,2%
Justin Tucker K BAL (10),,@CINW 20-0 ,8,,2,2,2/2,2,2,2/2,,88%
Mason Crosby K GB (8),,SEAW 17-9 ,6,,1,1,1/1,2,2,2/2,,49%
Brandon McManus K DEN (5),,LACW 24-21 ,6,,1,2,1/2,3,3,3/3,,28%
IRCairo Santos K KC (10),,@NEW 42-27 ,6,,0,0,0/0,6,6,6/6,,26%
Phil Dawson K ARI (8),,@DETL 23-35 ,5,,1,2,1/2,2,2,2/2,,12%
Dustin Hopkins K WAS (5),,PHIL 17-30 ,5,,1,1,1/1,2,2,2/2,,26%
Robbie Gould K SF (11),,CARL 3-23 ,4,,1,1,1/1,0,0,0/0,,38%
Zane Gonzalez K CLE (9),,PITL 18-21 ,4,,1,1,1/1,1,1,1/1,,2%
Adam Vinatieri K IND (11),,@LAL 9-46 ,3,,1,2,1/2,0,1,0/1,,57%
Stephen Hauschka K BUF (6),,NYJW 21-12 ,3,,0,1,0/1,3,3,3/3,,63%
Chris Boswell K PIT (9),,@CLEW 21-18 ,3,,0,0,0/0,3,3,3/3,,70%
Aldrick Rosas K NYG (8),,@DALL 3-19 ,3,,1,1,1/1,0,0,0/0,,2%
Younghoe Koo K LAC (9),,@DENL 21-24 ,3,,0,1,0/1,3,3,3/3,,1%
Ka'imi Fairbairn K HOU (7),,JACL 7-29 ,1,,0,0,0/0,1,1,1/1,,10%
