Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Tom Brady QB NE (9),,@NOW 36-20 ,40.25,,30,39,30/39,447,3,0,139.6,,2,9,0,,99%
IRCarson Wentz QB PHI (10),,@KCL 20-27 ,29.15,,25,46,25/46,333,2,1,83,,4,55,0,,77%
Drew Brees QB NO (5),,NEL 20-36 ,27.8,,27,45,27/45,356,2,0,99.9,,0,0,0,,98%
IRAaron Rodgers QB GB (8),,@ATLL 23-34 ,24.95,,33,50,33/50,343,2,1,90.7,,2,8,0,,82%
IRTrevor Siemian QB DEN (5),,DALW 42-17 ,24.95,,22,32,22/32,231,4,1,116,,5,14,0,,18%
Philip Rivers QB LAC (9),,MIAL 17-19 ,23.55,,31,39,31/39,331,1,0,110.6,,1,0,0,,93%
Derek Carr QB OAK (10),,NYJW 45-20 ,23.5,,23,28,23/28,230,3,0,136.6,,0,0,0,,86%
IRCarson Palmer QB ARI (8),,@INDW 16-13 ,21.2,,19,36,19/36,332,1,1,82.2,,3,6,0,,41%
IRDeshaun Watson QB HOU (7),,@CINW 13-9 ,20.95,,15,24,15/24,125,0,0,75.9,,5,67,1,,45%
Dak Prescott QB DAL (6),,@DENL 17-42 ,20.3,,30,50,30/50,238,2,2-1,68.6,,3,24,0,,92%
OUTBen Roethlisberger QB PIT (9),,MINW 26-9 ,19.95,,23,35,23/35,243,2,0,104.8,,2,-2,0,,95%
Joe Flacco QB BAL (10),,CLEW 24-10 ,18.75,,25,34,25/34,217,2,1,97.3,,1,-1,0,,43%
Alex Smith QB KC (10),,PHIW 27-20 ,18.65,,21,28,21/28,251,1,0,113.8,,4,21,0,,87%
IRJosh McCown QB NYJ (11),,@OAKL 20-45 ,17.4,,16,24,16/24,166,2,0,114.2,,4,31,0,,35%
Matt Ryan QB ATL (5),,GBW 34-23 ,17.4,,19,28,19/28,252,1,0,108,,1,8,0,,95%
Russell Wilson QB SEA (6),,SFW 12-9 ,16.3,,23,39,23/39,198,1,0,80.9,,12,34,0,,97%
Mike Glennon QB CHI (9),,@TBL 7-29 ,16.05,,31,45,31/45,301,1,2-1,76.3,,0,0,0,,5%
Jay Cutler QB MIA (1),,@LACW 19-17 ,15.4,,24,33,24/33,230,1,0,101.8,,2,-1,0,,32%
Marcus Mariota QB TEN (8),,@JACW 37-16 ,15.15,,15,27,15/27,215,1,1,78.5,,6,24,0,,81%
Jameis Winston QB TB (1),,CHIW 29-7 ,14.5,,18,30,18/30,204,1,0,91.5,,1,3,0,,77%
Matthew Stafford QB DET (7),,@NYGW 24-10 ,14.4,,15,21,15/21,122,2,0,117.6,,3,23,0,,94%
Cam Newton QB CAR (11),,BUFW 9-3 ,14.1,,20,32,20/32,228,0,0,83.9,,5,27,0,,96%
Eli Manning QB NYG (8),,DETL 10-24 ,12.95,,22,32,22/32,239,1,1,87.9,,0,0,0,,58%
Jared Goff QB LA (8),,WASL 20-27 ,12.05,,14,24,14/24,219,1,1,85.2,,3,1,0,,80%
Blake Bortles QB JAC (8),,TENL 16-37 ,12.05,,20,34,20/34,223,1,2,63.7,,4,29,0,,63%
Tyrod Taylor QB BUF (6),,@CARL 3-9 ,11.75,,17,25,17/25,125,0,0,79.6,,8,55,0,,60%
Andy Dalton QB CIN (6),,HOUL 9-13 ,11.7,,20,35,20/35,224,0,0,76.4,,2,5,0,,67%
Kirk Cousins QB WAS (5),,@LAW 27-20 ,11.65,,18,27,18/27,179,1,0,97.6,,3,7,0,,92%
Jacoby Brissett QB IND (11),,ARIL 13-16 ,10,,20,37,20/37,216,0,1,60.2,,6,22,0,,30%
Kevin Hogan QB CLE (9),,@BALL 10-24 ,8.4,,5,11,5/11,118,1,1,77.1,,1,5,0,,1%
Case Keenum QB MIN (9),,@PITL 9-26 ,8.35,,20,37,20/37,167,0,0,65.9,,0,0,0,,63%
DeShone Kizer QB CLE (9),,@BALL 10-24 ,3.7,,15,31,15/31,182,0,3,27.3,,5,26,0,,21%
Brian Hoyer QB SF (11),,@SEAL 9-12 ,2.95,,15,27,15/27,99,0,1,48.2,,0,0,0,,8%
Ryan Fitzpatrick QB TB (1),,CHIW 29-7 ,-0.2,,0,1,0/1,0,0,0,39.6,,2,-2,0,,11%
