Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Todd Gurley RB LA (8),,@SEAW 42-7 ,45,,21,152,3,,3,3,28,1,,0,4,180,,97%
Kareem Hunt RB KC (10),,LACW 30-13 ,33.6,,24,155,1,,7,9,51,1,,0,2,206,,92%
Mark Ingram RB NO (5),,NYJW 31-19 ,29.1,,12,74,2,,5,6,77,0,,0,2,151,,97%
Devonta Freeman RB ATL (5),,@TBW 24-21 ,23.4,,22,126,1,,5,7,68,0,,2,1,194,,97%
Melvin Gordon RB LAC (9),,@KCL 13-30 ,22.9,,19,78,1,,6,8,91,0,,0,1,169,,96%
OUTLe'Veon Bell RB PIT (9),,NEL 24-27 ,22.5,,24,117,1,,5,6,48,0,,0,1,165,,98%
LeSean McCoy RB BUF (6),,MIAW 24-16 ,21.6,,20,50,1,,4,5,46,1,,0,2,96,,98%
Christian McCaffrey RB CAR (11),,GBW 31-24 ,19.6,,12,63,0,,6,7,73,1,,0,1,136,,91%
C.J. Anderson RB DEN (5),,@INDW 25-13 ,18.8,,30,158,0,,0,1,0,0,,0,0,158,,88%
Kenyan Drake RB MIA (1),,@BUFL 16-24 ,17.3,,16,78,1,,6,11,35,0,,0,1,113,,67%
Latavius Murray RB MIN (9),,CINW 34-7 ,16.4,,20,76,1,,1,1,28,0,,0,1,104,,82%
Alvin Kamara RB NO (5),,NYJW 31-19 ,14.9,,12,44,0,,6,7,45,1,,0,1,89,,89%
Dion Lewis RB NE (9),,@PITW 27-24 ,14,,13,67,1,,1,2,13,0,,0,1,154,,76%
Jerick McKinnon RB MIN (9),,CINW 34-7 ,13.8,,9,24,0,,7,8,114,0,,0,0,138,,72%
Elijah McGuire RB NYJ (11),,@NOL 19-31 ,13.2,,4,24,0,,3,3,48,1,,0,1,72,,16%
Corey Grant RB JAC (8),,HOUW 45-7 ,12.9,,10,69,1,,0,0,0,0,,0,1,113,,2%
Tommy Bohanon RB JAC (8),,HOUW 45-7 ,12.2,,2,2,2,,0,0,0,0,,0,2,2,,0%
Kapri Bibbs RB WAS (5),,ARIW 20-15 ,11.3,,2,6,0,,4,4,47,1,,0,1,53,,4%
Bilal Powell RB NYJ (11),,@NOL 19-31 ,10.4,,13,44,1,,0,1,0,0,,0,1,44,,75%
Giovani Bernard RB CIN (6),,@MINL 7-34 ,10.3,,14,30,1,,3,5,13,0,,0,1,43,,58%
Duke Johnson RB CLE (9),,BALL 10-27 ,10.3,,7,23,1,,5,7,40,0,,1-1,1,63,,79%
OUTRod Smith RB DAL (6),,@OAKW 20-17 ,9.4,,7,13,1,,3,3,21,0,,0,1,34,,20%
Benny Cunningham RB CHI (9),,@DETL 10-20 ,9.3,,0,0,0,,4,5,33,1,,0,1,33,,3%
Marshawn Lynch RB OAK (10),,DALL 17-20 ,9.2,,16,76,0,,3,4,16,0,,0,0,92,,91%
OUTJay Ajayi RB PHI (10),,@NYGW 34-29 ,8.9,,12,49,0,,2,2,40,0,,0,0,89,,92%
Wayne Gallman RB NYG (8),,PHIL 29-34 ,7.9,,8,39,0,,6,7,40,0,,0,0,79,,19%
OUTRex Burkhead RB NE (9),,@PITW 27-24 ,7.7,,4,12,1,,1,1,5,0,,0,1,17,,62%
Orleans Darkwa RB NYG (8),,PHIL 29-34 ,7.6,,9,7,1,,1,3,9,0,,0,1,16,,45%
Javorius Allen RB BAL (10),,@CLEW 27-10 ,7.4,,13,70,0,,1,3,4,0,,0,0,74,,46%
Frank Gore RB IND (11),,DENL 13-25 ,6.8,,10,31,0,,3,4,37,0,,0,0,68,,87%
QSamaje Perine RB WAS (5),,ARIW 20-15 ,6.6,,14,37,0,,2,2,29,0,,0,0,66,,74%
Isaiah Crowell RB CLE (9),,BALL 10-27 ,6.5,,5,72,0,,4,5,-7,0,,0,0,65,,85%
