Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Kansas City Chiefs D/ST KC (10),,@DENW 27-24 ,23,,52,2,5,1,1,1,,24,336,,74%
Pittsburgh Steelers D/ST PIT (9),,CLEW 28-24 ,23,,45,1,6,1,1,0,,24,374,,73%
Dallas Cowboys D/ST DAL (6),,@PHIW 6-0 ,21,,44,1,3,1,1,0,,0,219,,22%
Detroit Lions D/ST DET (7),,GBW 35-11 ,16,,46,2,4,1,2,0,,11,256,,57%
New Orleans Saints D/ST NO (5),,@TBL 24-31 ,16,,54,3,2,0,0,0,,31,455,,58%
San Francisco 49ers D/ST SF (11),,@LAW 34-13 ,16,,49,0,3,4,2,0,,13,251,,6%
Jacksonville Jaguars D/ST JAC (8),,@TENL 10-15 ,15,,45,0,3,0,1,1,,15,232,,91%
Cincinnati Bengals D/ST CIN (6),,@BALW 31-27 ,14,,55,1,1,0,0,1,,27,312,,32%
New England Patriots D/ST NE (9),,NYJW 26-6 ,14,,43,0,4,1,0,0,,6,247,,68%
Tennessee Titans D/ST TEN (8),,JACW 15-10 ,14,,35,2,2,2,2,0,,10,229,,16%
Denver Broncos D/ST DEN (5),,KCL 24-27 ,13,,45,1,2,0,1,1,,27,379,,73%
Tampa Bay Buccaneers D/ST TB (1),,NOW 31-24 ,13,,52,0,2,1,1,1,,24,323,,14%
New York Giants D/ST NYG (8),,WASW 18-10 ,12,,43,3,3,0,0,0,,10,197,,36%
Seattle Seahawks D/ST SEA (6),,ARIL 24-26 ,12,,41,1,1,1,0,0,,26,259,,87%
Cleveland Browns D/ST CLE (9),,@PITL 24-28 ,11,,54,1,3,1,1,0,,28,348,,4%
Arizona Cardinals D/ST ARI (8),,@SEAW 26-24 ,10,,45,0,3,2,0,0,,24,296,,56%
Atlanta Falcons D/ST ATL (5),,CARW 22-10 ,10,,33,3,2,0,0,0,,10,248,,22%
Chicago Bears D/ST CHI (9),,@MINL 10-23 ,10,,45,0,2,0,0,0,,23,327,,48%
Indianapolis Colts D/ST IND (11),,HOUW 22-13 ,10,,32,1,2,0,0,0,,13,209,,4%
Washington Redskins D/ST WAS (5),,@NYGL 10-18 ,10,,60,1,2,2,0,0,,18,381,,23%
Los Angeles Chargers D/ST LAC (9),,OAKW 30-10 ,9,,40,1,2,1,1,0,,10,336,,62%
Miami Dolphins D/ST MIA (1),,BUFL 16-22 ,8,,47,0,4,0,0,0,,22,312,,11%
Los Angeles Rams D/ST LA (8),,SFL 13-34 ,7,,41,2,0,1,1,0,,34,463,,87%
Buffalo Bills D/ST BUF (6),,@MIAW 22-16 ,6,,45,1,1,1,0,0,,16,356,,33%
Minnesota Vikings D/ST MIN (9),,CHIW 23-10 ,6,,30,0,1,0,0,0,,10,201,,81%
Oakland Raiders D/ST OAK (10),,@LACL 10-30 ,6,,53,0,1,2,0,0,,30,495,,13%
Baltimore Ravens D/ST BAL (10),,CINL 27-31 ,5,,47,0,1,1,1,0,,31,359,,88%
Philadelphia Eagles D/ST PHI (10),,DALL 0-6 ,5,,46,0,1,1,1,0,,6,301,,73%
Carolina Panthers D/ST CAR (11),,@ATLL 10-22 ,4,,53,0,1,1,0,0,,22,371,,73%
Green Bay Packers D/ST GB (8),,@DETL 11-35 ,4,,42,0,2,0,0,0,,35,356,,29%
New York Jets D/ST NYJ (11),,@NEL 6-26 ,4,,49,0,2,0,0,0,,26,330,,9%
Houston Texans D/ST HOU (7),,@INDL 13-22 ,2,,37,0,1,0,0,0,,22,250,,73%
