Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
OUTAntonio Brown WR PIT (9),,@KCW 19-13 ,23.5,,0,0,0,,8,10,155,1,,1,1,155,,95%
Larry Fitzgerald WR ARI (8),,TBW 38-33 ,19.8,,0,0,0,,10,11,138,1,,1-1,1,138,,96%
Golden Tate WR DET (7),,@NOL 38-52 ,17.6,,0,0,0,,7,7,96,1,,0,1,96,,94%
Marvin Jones WR DET (7),,@NOL 38-52 ,15.6,,0,0,0,,6,14,96,1,,0,1,96,,91%
Mike Evans WR TB (1),,@ARIL 33-38 ,15.5,,0,0,0,,3,8,95,1,,0,1,95,,96%
Aldrick Robinson WR SF (11),,@WASL 24-26 ,14.6,,0,0,0,,2,5,66,1,,0,1,66,,2%
IRDe'Anthony Thomas WR KC (10),,PITL 13-19 ,14.1,,0,0,0,,3,4,61,1,,0,1,61,,2%
Taywan Taylor WR TEN (8),,INDW 36-22 ,14.1,,0,0,0,,2,4,61,1,,0,1,61,,9%
Cordarrelle Patterson WR OAK (10),,LACL 16-17 ,14,,3,55,1,,1,1,5,0,,0,1,99,,11%
Demaryius Thomas WR DEN (5),,NYGL 10-23 ,13.3,,0,0,0,,10,14,133,0,,1-1,0,133,,94%
Ted Ginn WR NO (5),,DETW 52-38 ,12.9,,1,3,0,,4,4,66,1,,0,1,101,,69%
John Brown WR ARI (8),,TBW 38-33 ,12.3,,0,0,0,,3,4,63,1,,0,1,63,,42%
Jarvis Landry WR MIA (1),,@ATLW 20-17 ,12.2,,0,0,0,,8,14,62,1,,0,1,62,,93%
QWill Fuller WR HOU (7),,CLEW 33-17 ,12.2,,0,0,0,,2,5,62,1,,0,1,101,,50%
Jeremy Kerley WR NYJ (11),,NEL 17-24 ,12.1,,0,0,0,,2,3,61,1,,0,1,59,,5%
OUTMarvin Hall WR ATL (5),,MIAL 17-20 ,12,,0,0,0,,1,2,40,1,,0,1,40,,0%
Kelvin Benjamin WR CAR (11),,PHIL 23-28 ,11.9,,0,0,0,,9,13,99,0,,0,0,99,,73%
Nelson Agholor WR PHI (10),,@CARW 28-23 ,11.5,,0,0,0,,4,7,55,1,,0,1,55,,74%
OUTDavante Adams WR GB (8),,@MINL 10-23 ,11.4,,0,0,0,,5,10,54,1,,0,1,54,,91%
Michael Crabtree WR OAK (10),,LACL 16-17 ,11.2,,0,0,0,,6,10,52,1,,0,1,52,,95%
QKenny Stills WR MIA (1),,@ATLW 20-17 ,10.9,,0,0,0,,4,4,49,1,,0,1,49,,66%
Adam Thielen WR MIN (9),,GBW 23-10 ,10.6,,0,0,0,,9,13,96,0,,1,0,96,,91%
Marqise Lee WR JAC (8),,LAL 17-27 ,10,,1,17,0,,5,10,83,0,,0,0,100,,50%
OUTDeSean Jackson WR TB (1),,@ARIL 33-38 ,9.8,,0,0,0,,3,6,38,1,,0,1,38,,79%
Brandin Cooks WR NE (9),,@NYJW 24-17 ,9.3,,0,0,0,,6,9,93,0,,0,0,93,,97%
Eric Decker WR TEN (8),,INDW 36-22 ,8.8,,0,0,0,,7,9,88,0,,0,0,88,,47%
Michael Campanaro WR BAL (10),,CHIL 24-27 ,8.4,,0,0,0,,3,5,24,0,,0,1,156,,1%
Jermaine Kearse WR NYJ (11),,NEL 17-24 ,7.9,,0,0,0,,4,4,79,0,,0,0,79,,49%
OUTDeAndre Hopkins WR HOU (7),,CLEW 33-17 ,7.9,,0,0,0,,2,4,19,1,,0,1,19,,97%
OUTEmmanuel Sanders WR DEN (5),,NYGL 10-23 ,7.6,,0,0,0,,5,8,76,0,,0,0,76,,79%
QRobby Anderson WR NYJ (11),,NEL 17-24 ,7.6,,0,0,0,,4,12,76,0,,0,0,76,,79%
Julio Jones WR ATL (5),,MIAL 17-20 ,7.2,,0,0,0,,6,7,72,0,,0,0,72,,98%
Alshon Jeffery WR PHI (10),,@CARW 28-23 ,7.1,,0,0,0,,4,10,71,0,,0,0,71,,96%
Laquon Treadwell WR MIN (9),,GBW 23-10 ,7.1,,0,0,0,,3,3,51,0,,0,0,51,,11%
Josh Doctson WR WAS (5),,SFW 26-24 ,7.1,,0,0,0,,1,3,11,1,,0,1,11,,50%
Rishard Matthews WR TEN (8),,INDW 36-22 ,6.9,,0,0,0,,4,4,69,0,,0,0,69,,73%
OUTDonte Moncrief WR IND (11),,@TENL 22-36 ,6.7,,0,0,0,,5,7,67,0,,0,0,67,,50%
