Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Eli Manning QB NYG (8),,PHIL 29-34 ,38.7,,37,57,37/57,434,3,1,98.1,,0,0,0,,58%
Cam Newton QB CAR (11),,GBW 31-24 ,33.9,,20,31,20/31,242,4,0,128,,14,58,0,,96%
Jameis Winston QB TB (1),,ATLL 21-24 ,31.75,,27,35,27/35,299,3,0,130.5,,3,18,0,,77%
Blake Bortles QB JAC (8),,HOUW 45-7 ,29.3,,21,29,21/29,326,3,0,143.8,,0,0,0,,63%
Brock Osweiler QB DEN (5),,@INDW 25-13 ,29.2,,12,17,12/17,194,2,0,147.7,,4,15,1,,8%
Nick Foles QB PHI (10),,@NYGW 34-29 ,26.85,,24,38,24/38,237,4,0,115.8,,2,0,0,,27%
IRAaron Rodgers QB GB (8),,@CARL 24-31 ,26.8,,26,45,26/45,290,3,3,71.5,,6,43,0,,82%
Joe Flacco QB BAL (10),,@CLEW 27-10 ,26.7,,26,42,26/42,288,1,0,90.2,,4,3,1,,43%
Jimmy Garoppolo QB SF (11),,TENW 25-23 ,25.45,,31,43,31/43,381,1,0,106.8,,0,0,0,,39%
Tyrod Taylor QB BUF (6),,MIAW 24-16 ,25.4,,17,29,17/29,224,1,0,94.6,,6,42,1,,60%
Alex Smith QB KC (10),,LACW 30-13 ,22.85,,23,30,23/30,231,2,0,120.3,,3,13,0,,87%
Drew Brees QB NO (5),,NYJW 31-19 ,21.95,,26,36,26/36,281,2,1,101.7,,1,-1,0,,98%
Case Keenum QB MIN (9),,CINW 34-7 ,21.8,,20,23,20/23,236,2,0,138.4,,1,20,0,,63%
Matthew Stafford QB DET (7),,CHIW 20-10 ,21.75,,25,33,25/33,237,2,0,115.3,,1,-1,0,,94%
Marcus Mariota QB TEN (8),,@SFL 23-25 ,20.45,,23,33,23/33,241,2,0,110.8,,2,4,0,,81%
OUTBen Roethlisberger QB PIT (9),,NEL 24-27 ,20.05,,22,30,22/30,281,2,1,110.6,,3,10,0,,95%
Derek Carr QB OAK (10),,DALL 17-20 ,19.25,,21,38,21/38,171,2,0,84.4,,4,47,0,,86%
Tom Brady QB NE (9),,@PITW 27-24 ,18.7,,22,35,22/35,298,1,1,87.6,,2,-2,0,,99%
Kirk Cousins QB WAS (5),,ARIW 20-15 ,17.8,,18,26,18/26,196,2,0,116.8,,2,0,0,,92%
Matt Ryan QB ATL (5),,@TBW 24-21 ,17.5,,17,31,17/31,212,1,0,87,,3,29,0,,95%
Mitchell Trubisky QB CHI (9),,@DETL 10-20 ,16,,31,46,31/46,314,1,3,66.8,,2,3,0,,23%
Dak Prescott QB DAL (6),,@OAKW 20-17 ,15.8,,18,27,18/27,212,0,2,59.5,,6,32,1,,92%
Jacoby Brissett QB IND (11),,DENL 13-25 ,15.7,,17,30,17/30,158,0,0,71.3,,5,18,1,,30%
Russell Wilson QB SEA (6),,LAL 7-42 ,12,,14,30,14/30,142,1,0,71.8,,5,39,0,,97%
Jared Goff QB LA (8),,@SEAW 42-7 ,11,,14,21,14/21,120,2,1,93.4,,0,0,0,,80%
Bryce Petty QB NYJ (11),,@NOL 19-31 ,10.55,,19,39,19/39,179,1,2,49,,2,16,0,,2%
Philip Rivers QB LAC (9),,@KCL 13-30 ,9.35,,20,36,20/36,227,1,3,49.2,,0,0,0,,93%
Jay Cutler QB MIA (1),,@BUFL 16-24 ,6.5,,28,49,28/49,274,0,3,47.5,,2,8,0,,32%
T.J. Yates QB HOU (7),,@JACL 7-45 ,6.4,,12,31,12/31,128,1,1,48.9,,0,0,0,,2%
Blaine Gabbert QB ARI (8),,@WASL 15-20 ,6.25,,16,41,16/41,189,0,1,43.6,,6,28,0,,10%
DeShone Kizer QB CLE (9),,BALL 10-27 ,4.8,,20,37,20/37,146,0,2,41,,7,35,0,,21%
Andy Dalton QB CIN (6),,@MINL 7-34 ,1.65,,11,22,11/22,113,0,2-1,27.3,,0,0,0,,67%
IRTrevor Siemian QB DEN (5),,@INDW 25-13 ,1.35,,5,9,5/9,67,0,1,39.8,,0,0,0,,18%
A.J. McCarron QB CIN (6),,@MINL 7-34 ,0.95,,3,6,3/6,19,0,0,56.9,,0,0,0,,5%
Taysom Hill QB NO (5),,NYJW 31-19 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
Chad Henne QB JAC (8),,HOUW 45-7 ,-0.2,,0,0,0/0,0,0,0,0,,2,-2,0,,2%
Sean Mannion QB LA (8),,@SEAW 42-7 ,-0.5,,1,2,1/2,4,0,0,56.3,,2,3,0,,1%
Teddy Bridgewater QB MIN (9),,CINW 34-7 ,-2.3,,0,2,0/2,0,0,1,0,,3,-3,0,,16%
