Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
New England Patriots D/ST NE (9),,MIAW 35-17 ,23,,48,2,7,2,1,0,,17,221,,68%
New York Giants D/ST NYG (8),,@WASL 10-20 ,22,,51,1,6,0,0,1,,20,323,,36%
Carolina Panthers D/ST CAR (11),,@NYJW 35-27 ,21,,30,0,3,1,1,1,,27,391,,73%
Los Angeles Chargers D/ST LAC (9),,@DALW 28-6 ,18,,35,2,2,0,0,1,,6,247,,62%
Tennessee Titans D/ST TEN (8),,@INDW 20-16 ,17,,35,0,8,0,1,0,,16,254,,16%
Miami Dolphins D/ST MIA (1),,@NEL 17-35 ,15,,50,1,1,2,1,1,,35,417,,11%
Arizona Cardinals D/ST ARI (8),,JACW 27-24 ,14,,44,1,3,2,2,0,,24,219,,56%
Oakland Raiders D/ST OAK (10),,DENW 21-14 ,14,,34,1,5,1,0,0,,14,216,,13%
Jacksonville Jaguars D/ST JAC (8),,@ARIL 24-27 ,13,,55,1,1,1,1,1,,27,344,,91%
New Orleans Saints D/ST NO (5),,@LAL 20-26 ,12,,52,1,4,1,0,0,,26,415,,58%
Washington Redskins D/ST WAS (5),,NYGW 20-10 ,12,,34,1,4,1,0,0,,10,170,,23%
Baltimore Ravens D/ST BAL (10),,HOUW 23-16 ,11,,41,2,2,1,1,0,,16,303,,88%
Chicago Bears D/ST CHI (9),,@PHIL 3-31 ,11,,49,0,1,3,3,0,,31,420,,48%
Minnesota Vikings D/ST MIN (9),,@DETW 30-23 ,11,,36,1,3,1,1,0,,23,289,,81%
Philadelphia Eagles D/ST PHI (10),,CHIW 31-3 ,10,,34,2,2,1,0,0,,3,140,,73%
Seattle Seahawks D/ST SEA (6),,@SFW 24-13 ,10,,48,1,3,1,0,0,,13,280,,87%
Green Bay Packers D/ST GB (8),,@PITL 28-31 ,9,,53,2,1,1,1,0,,31,462,,29%
Cincinnati Bengals D/ST CIN (6),,CLEW 30-16 ,8,,43,0,4,0,0,0,,16,405,,32%
Pittsburgh Steelers D/ST PIT (9),,GBW 31-28 ,8,,43,0,4,0,0,0,,28,307,,73%
Los Angeles Rams D/ST LA (8),,NOW 26-20 ,8,,34,0,3,1,0,0,,20,346,,87%
Denver Broncos D/ST DEN (5),,@OAKL 14-21 ,7,,42,0,2,1,1,0,,21,348,,73%
Buffalo Bills D/ST BUF (6),,@KCW 16-10 ,6,,38,1,2,0,0,0,,10,236,,33%
New York Jets D/ST NYJ (11),,CARL 27-35 ,6,,36,0,3,0,0,0,,35,299,,9%
Detroit Lions D/ST DET (7),,MINL 23-30 ,4,,56,0,2,0,0,0,,30,408,,57%
Indianapolis Colts D/ST IND (11),,TENL 16-20 ,4,,33,2,0,0,0,0,,20,276,,4%
Kansas City Chiefs D/ST KC (10),,BUFL 10-16 ,4,,56,0,2,0,0,0,,16,268,,74%
Tampa Bay Buccaneers D/ST TB (1),,@ATLL 20-34 ,3,,55,0,0,1,1,0,,34,516,,14%
Atlanta Falcons D/ST ATL (5),,TBW 34-20 ,2,,41,0,1,0,0,0,,20,373,,22%
Cleveland Browns D/ST CLE (9),,@CINL 16-30 ,2,,35,0,1,0,0,0,,30,361,,4%
Houston Texans D/ST HOU (7),,@BALL 16-23 ,2,,47,0,1,0,0,0,,23,294,,73%
San Francisco 49ers D/ST SF (11),,SEAL 13-24 ,2,,46,1,0,0,0,0,,24,318,,6%
Dallas Cowboys D/ST DAL (6),,LACL 6-28 ,0,,48,0,0,0,0,0,,28,515,,22%
