Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Mark Ingram RB NO (5),,@BUFW 47-10 ,31.1,,21,131,3,,0,0,0,0,,0,3,131,,97%
OUTDeMarco Murray RB TEN (8),,CINW 24-20 ,25.2,,14,42,2,,4,4,30,1,,0,3,72,,95%
Austin Ekeler RB LAC (9),,@JACL 17-20 ,21.9,,10,42,0,,5,5,77,2,,1-1,2,119,,29%
Alvin Kamara RB NO (5),,@BUFW 47-10 ,19.8,,12,106,1,,5,5,32,0,,0,1,138,,89%
Dion Lewis RB NE (9),,@DENW 41-16 ,17.5,,14,55,1,,0,0,0,0,,0,2,158,,76%
Kenyan Drake RB MIA (1),,@CARL 21-45 ,17.2,,7,82,1,,2,2,10,0,,0,1,92,,67%
Christian McCaffrey RB CAR (11),,MIAW 45-21 ,17,,5,23,1,,3,7,27,1,,0,2,60,,91%
Isaiah Crowell RB CLE (9),,@DETL 24-38 ,15.5,,16,90,1,,1,2,5,0,,0,1,95,,85%
Tevin Coleman RB ATL (5),,DALW 27-7 ,14.8,,20,83,1,,1,1,5,0,,0,1,88,,88%
Todd Gurley RB LA (8),,HOUW 33-7 ,13.6,,11,68,0,,6,7,68,0,,0,0,136,,97%
Corey Grant RB JAC (8),,LACW 20-17 ,13.6,,1,56,1,,0,0,0,0,,0,1,107,,2%
Latavius Murray RB MIN (9),,@WASW 38-30 ,12.8,,17,68,1,,0,0,0,0,,0,1,68,,82%
Cameron Artis-Payne RB CAR (11),,MIAW 45-21 ,12.8,,7,68,1,,0,0,0,0,,0,1,68,,3%
Trey Edmunds RB NO (5),,@BUFW 47-10 ,12.8,,9,48,1,,0,0,0,0,,0,1,48,,1%
IRTy Montgomery RB GB (8),,@CHIW 23-16 ,12.8,,6,54,1,,2,2,14,0,,0,1,68,,64%
OUTRex Burkhead RB NE (9),,@DENW 41-16 ,12.3,,10,36,0,,3,3,27,1,,0,1,63,,62%
Matt Breida RB SF (11),,NYGW 31-21 ,11.8,,9,55,1,,1,2,3,0,,0,1,58,,17%
Ameer Abdullah RB DET (7),,CLEW 38-24 ,11.5,,11,52,1,,1,2,3,0,,0,1,55,,76%
OUTLe'Veon Bell RB PIT (9),,@INDW 20-17 ,11.2,,26,80,0,,5,6,32,0,,0,0,112,,98%
Jonathan Stewart RB CAR (11),,MIAW 45-21 ,11,,17,110,0,,0,0,0,0,,0,0,110,,75%
Orleans Darkwa RB NYG (8),,@SFL 21-31 ,10.8,,14,70,0,,2,2,18,0,,0,0,88,,45%
QTheo Riddick RB DET (7),,CLEW 38-24 ,10.7,,4,35,0,,3,3,12,1,,0,1,47,,65%
Carlos Hyde RB SF (11),,NYGW 31-21 ,10.4,,17,98,0,,2,3,6,0,,0,0,104,,95%
Joe Mixon RB CIN (6),,@TENL 20-24 ,10,,9,37,1,,1,3,3,0,,0,1,40,,85%
Andre Ellington RB ARI (8),,SEAL 16-22 ,9,,2,4,1,,3,6,26,0,,0,1,30,,16%
Charles Sims RB TB (1),,NYJW 15-10 ,9,,3,20,0,,3,4,10,1,,0,1,30,,13%
Duke Johnson RB CLE (9),,@DETL 24-38 ,8.8,,10,54,0,,6,6,34,0,,0,0,88,,79%
OUTJames White RB NE (9),,@DENW 41-16 ,7.8,,2,7,0,,3,3,11,1,,0,1,18,,62%
Lamar Miller RB HOU (7),,@LAL 7-33 ,7.4,,11,60,0,,1,1,14,0,,0,0,74,,96%
Jamaal Williams RB GB (8),,@CHIW 23-16 ,7.4,,20,67,0,,1,1,7,0,,0,0,74,,74%
IRChris Thompson RB WAS (5),,MINL 30-38 ,6.7,,9,26,0,,3,7,41,0,,0,0,119,,46%
Frank Gore RB IND (11),,PITL 17-20 ,6.1,,17,54,0,,1,1,7,0,,0,0,61,,87%
QSamaje Perine RB WAS (5),,MINL 30-38 ,6,,9,35,0,,1,1,25,0,,0,0,88,,74%
Elijah McGuire RB NYJ (11),,@TBL 10-15 ,5.8,,8,22,0,,4,7,36,0,,0,0,58,,16%
C.J. Anderson RB DEN (5),,NEL 16-41 ,5.5,,10,54,0,,1,1,1,0,,0,0,55,,88%
Jordan Howard RB CHI (9),,GBL 16-23 ,5.4,,15,54,0,,0,0,0,0,,0,0,54,,95%
Alfred Morris RB DAL (6),,@ATLL 7-27 ,5.3,,11,53,0,,0,0,0,0,,0,0,53,,48%
Derrick Henry RB TEN (8),,CINW 24-20 ,5.2,,11,52,0,,0,3,0,0,,0,0,52,,79%
Doug Martin RB TB (1),,NYJW 15-10 ,5.1,,20,51,0,,0,2,0,0,,0,0,51,,76%
LeSean McCoy RB BUF (6),,NOL 10-47 ,5,,8,49,0,,3,5,11,0,,1,0,60,,98%
OUTT.J. Yeldon RB JAC (8),,LACW 20-17 ,5,,3,11,0,,6,8,39,0,,0,0,50,,20%
Giovani Bernard RB CIN (6),,@TENL 20-24 ,4.8,,2,10,0,,5,5,38,0,,0,0,48,,58%
Jerick McKinnon RB MIN (9),,@WASW 38-30 ,4.7,,10,32,0,,2,2,15,0,,0,0,47,,72%
J.D. McKissic RB SEA (6),,@ARIW 22-16 ,4.6,,5,26,0,,4,5,20,0,,0,0,46,,14%
Leonard Fournette RB JAC (8),,LACW 20-17 ,4.6,,17,33,0,,2,4,13,0,,0,0,46,,92%
Melvin Gordon RB LAC (9),,@JACL 17-20 ,4.2,,16,27,0,,5,8,15,0,,0,0,42,,96%
OUTDamien Williams RB MIA (1),,@CARL 21-45 ,3.9,,9,19,0,,2,3,20,0,,0,0,39,,17%
Thomas Rawls RB SEA (6),,@ARIW 22-16 ,3.9,,10,27,0,,2,2,12,0,,0,0,39,,39%
