Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Baltimore Ravens D/ST BAL (10),,@GBW 23-0 ,36,,55,3,6,3,2,0,,0,265,,88%
Jacksonville Jaguars D/ST JAC (8),,@CLEW 19-7 ,31,,34,2,5,4,3,1,,7,184,,91%
Los Angeles Chargers D/ST LAC (9),,BUFW 54-24 ,29,,47,5,1,1,1,2,,24,393,,62%
Philadelphia Eagles D/ST PHI (10),,@DALW 37-9 ,23,,47,3,4,1,1,1,,9,225,,73%
Tampa Bay Buccaneers D/ST TB (1),,@MIAW 30-20 ,20,,39,3,1,2,2,1,,20,448,,14%
Pittsburgh Steelers D/ST PIT (9),,TENW 40-17 ,18,,44,4,5,0,0,0,,17,316,,73%
Atlanta Falcons D/ST ATL (5),,@SEAW 34-31 ,17,,43,1,3,1,1,1,,31,360,,22%
Arizona Cardinals D/ST ARI (8),,@HOUL 21-31 ,13,,56,1,1,4,1,0,,31,357,,56%
Cincinnati Bengals D/ST CIN (6),,@DENW 20-17 ,11,,57,1,3,1,1,0,,17,341,,32%
Cleveland Browns D/ST CLE (9),,JACL 7-19 ,11,,50,0,2,3,1,0,,19,284,,4%
Chicago Bears D/ST CHI (9),,DETL 24-27 ,9,,49,0,3,1,1,0,,27,352,,48%
Detroit Lions D/ST DET (7),,@CHIW 27-24 ,9,,49,0,1,0,1,1,,24,398,,57%
Green Bay Packers D/ST GB (8),,BALL 0-23 ,8,,52,1,3,0,0,0,,23,219,,29%
Houston Texans D/ST HOU (7),,ARIW 31-21 ,8,,39,2,2,0,0,0,,21,292,,73%
New York Giants D/ST NYG (8),,KCW 12-9 ,8,,64,3,1,0,0,0,,9,363,,36%
Tennessee Titans D/ST TEN (8),,@PITL 17-40 ,8,,48,0,3,1,0,0,,40,349,,16%
Minnesota Vikings D/ST MIN (9),,LAW 24-7 ,7,,37,0,2,1,1,0,,7,254,,81%
New England Patriots D/ST NE (9),,@OAKW 33-8 ,7,,46,1,1,1,1,0,,8,344,,68%
Denver Broncos D/ST DEN (5),,CINL 17-20 ,6,,38,0,2,1,0,0,,20,190,,73%
New Orleans Saints D/ST NO (5),,WASW 34-31 ,6,,43,0,2,1,0,0,,31,456,,58%
Washington Redskins D/ST WAS (5),,@NOL 31-34 ,6,,51,1,2,0,0,0,,34,535,,23%
Seattle Seahawks D/ST SEA (6),,ATLL 31-34 ,5,,41,0,1,1,1,0,,34,279,,87%
Buffalo Bills D/ST BUF (6),,@LACL 24-54 ,4,,62,0,1,1,0,0,,54,429,,33%
Oakland Raiders D/ST OAK (10),,NEL 8-33 ,4,,50,0,1,1,0,0,,33,421,,13%
Kansas City Chiefs D/ST KC (10),,@NYGL 9-12 ,2,,54,1,0,0,0,0,,12,317,,74%
Miami Dolphins D/ST MIA (1),,TBL 20-30 ,2,,44,0,1,0,0,0,,30,321,,11%
Dallas Cowboys D/ST DAL (6),,PHIL 9-37 ,0,,35,0,0,0,0,0,,37,383,,22%
Los Angeles Rams D/ST LA (8),,@MINL 7-24 ,0,,51,0,0,0,0,0,,24,451,,87%
