Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Chris Long DL PHI (10),,WASW 34-24 ,2,,0,2,0,0,0,0,0,,5%
Steve McLendon DL NYJ (11),,@MIAL 28-31 ,2,,0,2,0,0,0,0,0,,2%
Linval Joseph DL MIN (9),,BALW 24-16 ,2,,2,2,0,0,0,0,0,,34%
Al Woods DL IND (11),,JACL 0-27 ,2,,2,2,0,0,0,0,0,,1%
IRDerek Wolfe DL DEN (5),,@LACL 0-21 ,2,,1,2,0,0,0,0,0,,11%
Dontari Poe DL ATL (5),,@NEL 7-23 ,2,,2,2,0,0,0,0,0,,4%
OUTJohnathan Hankins DL IND (11),,JACL 0-27 ,2,,1,2,0,0,0,0,0,,4%
Quinton Dial DL GB (8),,NOL 17-26 ,2,,1,2,0,0,0,0,0,,0%
William Gholston DL TB (1),,@BUFL 27-30 ,2,,0,2,0,0,0,0,0,,7%
QJay Bromley DL NYG (8),,SEAL 7-24 ,2,,0,2,0,0,0,0,0,,0%
Shelby Harris DL DEN (5),,@LACL 0-21 ,2,,0,2,0,0,0,0,0,,1%
Beau Allen DL PHI (10),,WASW 34-24 ,2,,1,2,0,0,0,0,0,,0%
OUTXavier Williams DL ARI (8),,@LAL 0-33 ,2,,0,2,0,0,0,0,0,,0%
Kenny Clark DL GB (8),,NOL 17-26 ,2,,3,2,0,0,0,0,0,,6%
Robert Nkemdiche DL ARI (8),,@LAL 0-33 ,2,,0,2,0,0,0,0,0,,4%
QChris Jones DL KC (10),,@OAKL 30-31 ,2,,0,2,0,0,0,0,0,,24%
Deatrich Wise DL NE (9),,ATLW 23-7 ,2,,0,2,0,0,0,0,0,,3%
Grover Stewart DL IND (11),,JACL 0-27 ,2,,2,2,0,0,0,0,0,,0%
Caleb Brantley DL CLE (9),,TENL 9-12 ,2,,0,2,0,0,0,0,0,,1%
Bryan Cox DL CAR (11),,@CHIL 3-17 ,2,,0,2,0,0,0,0,0,,0%
Kyle Williams DL BUF (6),,TBW 30-27 ,1,,0,1,0,0,0,0,0,,12%
OUTLeger Douzable DL SF (11),,DALL 10-40 ,1,,0,1,0,0,0,0,0,,3%
OUTBrandon Graham DL PHI (10),,WASW 34-24 ,1,,0,1,0,0,0,0,0,,58%
Jerry Hughes DL BUF (6),,TBW 30-27 ,1,,2,1,0,0,0,0,0,,32%
Gerald McCoy DL TB (1),,@BUFL 27-30 ,1,,0,1,0,0,0,0,0,,23%
Ndamukong Suh DL MIA (1),,NYJW 31-28 ,1,,2,0,0,0.5,0,0,0,,44%
Corey Peters DL ARI (8),,@LAL 0-33 ,1,,0,1,0,0,0,0,0,,0%
Geno Atkins DL CIN (6),,@PITL 14-29 ,1,,1,1,0,0,0,0,0,,42%
Ben Garland DL ATL (5),,@NEL 7-23 ,1,,0,1,0,0,0,0,0,,0%
Allen Bailey DL KC (10),,@OAKL 30-31 ,1,,2,1,0,0,0,0,0,,7%
Jurrell Casey DL TEN (8),,@CLEW 12-9 ,1,,3,1,0,0,0,0,0,,28%
Terrell McClain DL WAS (5),,@PHIL 24-34 ,1,,0,1,0,0,0,0,0,,1%
Lawrence Guy DL NE (9),,ATLW 23-7 ,1,,1,1,0,0,0,0,0,,2%
Jerel Worthy DL BUF (6),,TBW 30-27 ,1,,0,1,0,0,0,0,0,,0%
Andre Branch DL MIA (1),,NYJW 31-28 ,1,,1,1,0,0,0,0,0,,3%
Vinny Curry DL PHI (10),,WASW 34-24 ,1,,1,1,0,0,0,0,0,,6%
Derrick Shelby DL ATL (5),,@NEL 7-23 ,1,,1,1,0,0,0,0,0,,1%
Star Lotulelei DL CAR (11),,@CHIL 3-17 ,1,,0,1,0,0,0,0,0,,1%
Sheldon Richardson DL SEA (6),,@NYGW 24-7 ,1,,1,1,0,0,0,0,0,,23%
Margus Hunt DL IND (11),,JACL 0-27 ,1,,1,1,0,0,0,0,0,,1%
Abry Jones DL JAC (8),,@INDW 27-0 ,1,,0,1,0,0,0,0,0,,1%
Kareem Martin DL ARI (8),,@LAL 0-33 ,1,,0,1,0,0,0,0,0,,0%
Kony Ealy DL NYJ (11),,@MIAL 28-31 ,1,,0,1,0,0,0,0,0,,7%
OUTShamar Stephen DL MIN (9),,BALW 24-16 ,1,,2,1,0,0,0,0,0,,0%
Robert Thomas DL NYG (8),,SEAL 7-24 ,1,,2,1,0,0,0,0,0,,0%
IRJamie Meder DL CLE (9),,TENL 9-12 ,1,,0,1,0,0,0,0,0,,0%
Tenny Palepoi DL LAC (9),,DENW 21-0 ,1,,0,1,0,0,0,0,0,,0%
Mike Pennel DL NYJ (11),,@MIAL 28-31 ,1,,0,1,0,0,0,0,0,,0%
Danny Shelton DL CLE (9),,TENL 9-12 ,1,,2,1,0,0,0,0,0,,4%
Leonard Williams DL NYJ (11),,@MIAL 28-31 ,1,,1,1,0,0,0,0,0,,31%
Xavier Cooper DL SF (11),,DALL 10-40 ,1,,0,1,0,0,0,0,0,,0%
Frank Clark DL SEA (6),,@NYGW 24-7 ,1,,1,0,0,0,0,1,0,,20%
