Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Stephen Gostkowski K NE (9),,@OAKW 33-8 ,22,,4,4,4/4,3,3,3/3,,96%
Chris Boswell K PIT (9),,TENW 40-17 ,20,,4,4,4/4,4,4,4/4,,70%
IRNick Novak K LAC (9),,BUFW 54-24 ,18,,4,5,4/5,6,6,6/6,,4%
Wil Lutz K NO (5),,WASW 34-31 ,18,,4,4,4/4,2,2,2/2,,83%
Matt Prater K DET (7),,@CHIW 27-24 ,12,,2,2,2/2,3,3,3/3,,82%
Blair Walsh K SEA (6),,ATLL 31-34 ,12,,3,4,3/4,2,2,2/2,,30%
Patrick Murray K TB (1),,@MIAW 30-20 ,12,,3,4,3/4,3,3,3/3,,3%
Matt Bryant K ATL (5),,@SEAW 34-31 ,11,,2,2,2/2,4,4,4/4,,83%
Mike Nugent K DAL (6),,PHIL 9-37 ,11,,3,3,3/3,0,0,0/0,,4%
Justin Tucker K BAL (10),,@GBW 23-0 ,11,,3,3,3/3,2,2,2/2,,88%
Stephen Hauschka K BUF (6),,@LACL 24-54 ,9,,1,1,1/1,3,3,3/3,,63%
Harrison Butker K KC (10),,@NYGL 9-12 ,9,,3,3,3/3,0,0,0/0,,50%
Cody Parkey K MIA (1),,TBL 20-30 ,8,,2,2,2/2,2,2,2/2,,3%
Josh Lambo K JAC (8),,@CLEW 19-7 ,7,,2,3,2/3,1,1,1/1,,18%
Ka'imi Fairbairn K HOU (7),,ARIW 31-21 ,7,,1,1,1/1,4,4,4/4,,10%
Nick Rose K WAS (5),,@NOL 31-34 ,7,,1,1,1/1,4,4,4/4,,3%
Connor Barth K CHI (9),,DETL 24-27 ,6,,1,2,1/2,3,3,3/3,,2%
Ryan Succop K TEN (8),,@PITL 17-40 ,6,,1,2,1/2,2,2,2/2,,62%
Kai Forbath K MIN (9),,LAW 24-7 ,6,,1,3,1/3,3,3,3/3,,51%
Brandon McManus K DEN (5),,CINL 17-20 ,6,,1,2,1/2,2,2,2/2,,28%
Aldrick Rosas K NYG (8),,KCW 12-9 ,6,,2,2,2/2,0,1,0/1,,2%
Phil Dawson K ARI (8),,@HOUL 21-31 ,3,,0,0,0/0,3,3,3/3,,12%
Randy Bullock K CIN (6),,@DENW 20-17 ,2,,0,0,0/0,2,3,2/3,,3%
IRGreg Zuerlein K LA (8),,@MINL 7-24 ,1,,0,0,0/0,1,1,1/1,,60%
Jake Elliott K PHI (10),,@DALW 37-9 ,1,,0,1,0/1,1,1,1/1,,58%
Zane Gonzalez K CLE (9),,JACL 7-19 ,1,,0,0,0/0,1,1,1/1,,2%
Mason Crosby K GB (8),,BALL 0-23 ,0,,0,0,0/0,0,0,0/0,,49%
Matt Bosher K ATL (5),,@SEAW 34-31 ,0,,0,0,0/0,0,0,0/0,,0%
