Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Miami Dolphins D/ST MIA (1),,DENW 35-9 ,28,,43,3,3,1,0,1,,9,270,,11%
Dallas Cowboys D/ST DAL (6),,WASW 38-14 ,26,,42,2,4,3,2,0,,14,280,,22%
Los Angeles Rams D/ST LA (8),,@ARIW 32-16 ,26,,49,2,7,0,0,1,,16,305,,87%
Green Bay Packers D/ST GB (8),,TBW 26-20 ,25,,56,0,7,1,1,1,,20,395,,29%
Baltimore Ravens D/ST BAL (10),,DETW 44-20 ,21,,44,2,3,1,1,1,,20,372,,88%
Denver Broncos D/ST DEN (5),,@MIAL 9-35 ,19,,49,2,2,1,1,1,,35,367,,73%
Jacksonville Jaguars D/ST JAC (8),,INDW 30-10 ,14,,44,2,4,1,0,0,,10,290,,91%
Chicago Bears D/ST CHI (9),,SFL 14-15 ,12,,57,1,2,0,0,0,,15,388,,48%
Oakland Raiders D/ST OAK (10),,NYGW 24-17 ,12,,46,0,3,2,2,0,,17,265,,13%
Los Angeles Chargers D/ST LAC (9),,CLEW 19-10 ,11,,42,1,3,1,1,0,,10,291,,62%
New England Patriots D/ST NE (9),,@BUFW 23-3 ,10,,41,1,4,0,0,0,,3,268,,68%
Seattle Seahawks D/ST SEA (6),,PHIW 24-10 ,10,,49,1,3,1,0,0,,10,425,,87%
Tennessee Titans D/ST TEN (8),,HOUW 24-13 ,10,,45,1,4,0,0,0,,13,384,,16%
Houston Texans D/ST HOU (7),,@TENL 13-24 ,9,,35,0,2,2,1,0,,24,344,,73%
New Orleans Saints D/ST NO (5),,CARW 31-21 ,9,,39,0,2,2,1,0,,21,279,,58%
Buffalo Bills D/ST BUF (6),,NEL 3-23 ,8,,52,1,3,0,0,0,,23,435,,33%
Carolina Panthers D/ST CAR (11),,@NOL 21-31 ,7,,41,0,2,1,1,0,,31,400,,73%
New York Giants D/ST NYG (8),,@OAKL 17-24 ,7,,41,0,1,2,1,0,,24,401,,36%
Arizona Cardinals D/ST ARI (8),,LAL 16-32 ,6,,52,1,1,1,0,0,,32,303,,56%
Cleveland Browns D/ST CLE (9),,@LACL 10-19 ,6,,60,0,1,2,0,0,,19,429,,4%
San Francisco 49ers D/ST SF (11),,@CHIW 15-14 ,6,,35,0,2,1,0,0,,14,147,,6%
Tampa Bay Buccaneers D/ST TB (1),,@GBL 20-26 ,6,,41,1,2,0,0,0,,26,276,,14%
Atlanta Falcons D/ST ATL (5),,MINL 9-14 ,4,,41,0,2,0,0,0,,14,312,,22%
Cincinnati Bengals D/ST CIN (6),,PITL 20-23 ,4,,34,1,1,0,0,0,,23,374,,32%
Indianapolis Colts D/ST IND (11),,@JACL 10-30 ,4,,50,0,1,1,0,0,,30,426,,4%
New York Jets D/ST NYJ (11),,KCW 38-31 ,4,,29,0,2,0,0,0,,31,474,,9%
Philadelphia Eagles D/ST PHI (10),,@SEAL 10-24 ,4,,33,0,2,0,0,0,,24,310,,73%
Pittsburgh Steelers D/ST PIT (9),,@CINW 23-20 ,4,,36,0,2,0,0,0,,20,353,,73%
Detroit Lions D/ST DET (7),,@BALL 20-44 ,2,,42,0,0,1,0,0,,44,370,,57%
Washington Redskins D/ST WAS (5),,@DALL 14-38 ,2,,42,0,1,0,0,0,,38,275,,23%
Kansas City Chiefs D/ST KC (10),,@NYJL 31-38 ,0,,53,0,0,0,0,0,,38,488,,74%
Minnesota Vikings D/ST MIN (9),,@ATLW 14-9 ,0,,37,0,0,0,0,0,,9,275,,81%
