Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Matt Prater K DET (7),,ATLL 26-30 ,21,,4,4,4/4,2,2,2/2,,82%
Stephen Hauschka K BUF (6),,DENW 26-16 ,21,,4,4,4/4,2,2,2/2,,63%
Ryan Succop K TEN (8),,SEAW 33-27 ,16,,4,4,4/4,3,3,3/3,,62%
Ka'imi Fairbairn K HOU (7),,@NEL 33-36 ,16,,4,4,4/4,3,3,3/3,,10%
Jason Myers K JAC (8),,BALW 44-7 ,15,,3,3,3/3,5,5,5/5,,2%
Matt Bryant K ATL (5),,@DETW 30-26 ,14,,3,3,3/3,3,3,3/3,,83%
Wil Lutz K NO (5),,@CARW 34-13 ,13,,2,3,2/3,4,4,4/4,,83%
Jake Elliott K PHI (10),,NYGW 27-24 ,13,,2,3,2/3,3,3,3/3,,58%
IRGreg Zuerlein K LA (8),,@SFW 41-39 ,12,,2,2,2/2,5,5,5/5,,60%
Robbie Gould K SF (11),,LAL 39-41 ,10,,2,2,2/2,3,4,3/4,,38%
Kai Forbath K MIN (9),,TBW 34-17 ,10,,2,2,2/2,4,4,4/4,,51%
Brandon McManus K DEN (5),,@BUFL 16-26 ,10,,3,3,3/3,1,1,1/1,,28%
Mason Crosby K GB (8),,CINW 27-24 ,9,,2,2,2/2,3,3,3/3,,49%
Dustin Hopkins K WAS (5),,OAKW 27-10 ,9,,2,3,2/3,3,3,3/3,,26%
Chandler Catanzaro K NYJ (11),,MIAW 20-6 ,9,,2,3,2/3,2,2,2/2,,18%
Graham Gano K CAR (11),,NOL 13-34 ,8,,2,2,2/2,1,1,1/1,,35%
Adam Vinatieri K IND (11),,CLEW 31-28 ,7,,1,1,1/1,4,4,4/4,,57%
Randy Bullock K CIN (6),,@GBL 24-27 ,7,,1,2,1/2,3,3,3/3,,3%
Aldrick Rosas K NYG (8),,@PHIL 24-27 ,7,,1,1,1/1,3,3,3/3,,2%
IRNick Folk K TB (1),,@MINL 17-34 ,6,,1,1,1/1,2,2,2/2,,3%
IRCairo Santos K KC (10),,@LACW 24-10 ,6,,1,1,1/1,3,3,3/3,,26%
Phil Dawson K ARI (8),,DALL 17-28 ,5,,1,2,1/2,2,2,2/2,,12%
Connor Barth K CHI (9),,PITW 23-17 ,5,,1,2,1/2,2,2,2/2,,2%
Chris Boswell K PIT (9),,@CHIL 17-23 ,5,,1,2,1/2,2,2,2/2,,70%
Stephen Gostkowski K NE (9),,HOUW 36-33 ,4,,0,0,0/0,4,4,4/4,,96%
Dan Bailey K DAL (6),,@ARIW 28-17 ,4,,0,0,0/0,4,4,4/4,,47%
Giorgio Tavecchio K OAK (10),,@WASL 10-27 ,4,,1,1,1/1,1,1,1/1,,15%
Zane Gonzalez K CLE (9),,@INDL 28-31 ,4,,0,0,0/0,4,4,4/4,,2%
Younghoe Koo K LAC (9),,KCL 10-24 ,4,,1,1,1/1,1,1,1/1,,1%
Blair Walsh K SEA (6),,@TENL 27-33 ,3,,0,0,0/0,3,3,3/3,,30%
Justin Tucker K BAL (10),,@JACL 7-44 ,1,,0,0,0/0,1,1,1/1,,88%
Cody Parkey K MIA (1),,@NYJL 6-20 ,0,,0,0,0/0,0,1,0/1,,3%
