Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
IRGreg Zuerlein K LA (8),,@NYGW 51-17 ,17,,3,3,3/3,6,6,6/6,,60%
Brandon McManus K DEN (5),,@PHIL 23-51 ,17,,3,3,3/3,2,2,2/2,,28%
Josh Lambo K JAC (8),,CINW 23-7 ,14,,3,3,3/3,2,2,2/2,,18%
Matt Prater K DET (7),,@GBW 30-17 ,13,,3,4,3/4,3,3,3/3,,82%
Giorgio Tavecchio K OAK (10),,@MIAW 27-24 ,12,,2,2,2/2,3,3,3/3,,15%
Adam Vinatieri K IND (11),,@HOUW 20-14 ,11,,2,2,2/2,2,2,2/2,,57%
Chandler Catanzaro K NYJ (11),,BUFW 34-21 ,11,,2,2,2/2,4,4,4/4,,18%
Jake Elliott K PHI (10),,DENW 51-23 ,10,,1,1,1/1,6,7,6/7,,58%
Graham Gano K CAR (11),,ATLW 20-17 ,9,,2,2,2/2,2,2,2/2,,35%
Justin Tucker K BAL (10),,@TENL 20-23 ,9,,2,2,2/2,2,2,2/2,,88%
Phil Dawson K ARI (8),,@SFW 20-10 ,8,,2,3,2/3,2,2,2/2,,12%
Matt Bryant K ATL (5),,@CARL 17-20 ,8,,1,1,1/1,2,2,2/2,,83%
Aldrick Rosas K NYG (8),,LAL 17-51 ,8,,1,2,1/2,2,2,2/2,,2%
Patrick Murray K TB (1),,@NOL 10-30 ,7,,1,2,1/2,1,1,1/1,,3%
Wil Lutz K NO (5),,TBW 30-10 ,7,,1,2,1/2,3,4,3/4,,83%
Ryan Succop K TEN (8),,BALW 23-20 ,6,,1,1,1/1,2,3,2/3,,62%
Robbie Gould K SF (11),,ARIL 10-20 ,5,,1,1,1/1,1,1,1/1,,38%
Mason Crosby K GB (8),,DETL 17-30 ,5,,1,2,1/2,2,2,2/2,,49%
Cody Parkey K MIA (1),,OAKL 24-27 ,5,,1,1,1/1,1,2,1/2,,3%
Nick Rose K WAS (5),,@SEAW 17-14 ,5,,1,1,1/1,2,2,2/2,,3%
Harrison Butker K KC (10),,@DALL 17-28 ,5,,1,1,1/1,2,2,2/2,,50%
Mike Nugent K DAL (6),,KCW 28-17 ,4,,0,0,0/0,4,4,4/4,,4%
Stephen Hauschka K BUF (6),,@NYJL 21-34 ,3,,0,0,0/0,3,3,3/3,,63%
Ka'imi Fairbairn K HOU (7),,INDL 14-20 ,2,,0,1,0/1,2,2,2/2,,10%
Marshall Koehn K CIN (6),,@JACL 7-23 ,1,,0,0,0/0,1,1,1/1,,0%
Matt Bosher K ATL (5),,@CARL 17-20 ,0,,0,0,0/0,0,0,0/0,,0%
Blair Walsh K SEA (6),,WASL 14-17 ,0,,0,3,0/3,0,0,0/0,,30%
