Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Arizona Cardinals D/ST ARI (8),,NYGW 23-0 ,29,,45,2,2,2,1,1,,0,293,,56%
Carolina Panthers D/ST CAR (11),,TBW 22-19 ,25,,34,0,6,2,3,0,,19,392,,73%
Pittsburgh Steelers D/ST PIT (9),,@HOUW 34-6 ,23,,38,1,7,3,1,0,,6,227,,73%
Philadelphia Eagles D/ST PHI (10),,OAKW 19-10 ,21,,46,2,1,3,3,1,,10,274,,73%
Seattle Seahawks D/ST SEA (6),,@DALW 21-12 ,21,,48,2,4,1,1,1,,12,282,,87%
Minnesota Vikings D/ST MIN (9),,@GBW 16-0 ,16,,48,2,1,0,0,0,,0,239,,81%
San Francisco 49ers D/ST SF (11),,JACW 44-33 ,16,,55,3,1,0,0,1,,33,472,,6%
Washington Redskins D/ST WAS (5),,DENW 27-11 ,16,,51,1,4,2,2,0,,11,330,,23%
New Orleans Saints D/ST NO (5),,ATLW 23-13 ,15,,43,1,5,1,1,0,,13,331,,58%
New England Patriots D/ST NE (9),,BUFW 37-16 ,14,,40,0,6,1,0,0,,16,326,,68%
Los Angeles Chargers D/ST LAC (9),,@NYJW 14-7 ,14,,41,1,3,2,2,0,,7,295,,62%
Buffalo Bills D/ST BUF (6),,@NEL 16-37 ,12,,42,1,2,0,0,1,,37,411,,33%
Chicago Bears D/ST CHI (9),,CLEW 20-3 ,11,,37,2,1,2,1,0,,3,254,,48%
Tennessee Titans D/ST TEN (8),,LAL 23-27 ,11,,38,0,1,1,1,1,,27,402,,16%
Cleveland Browns D/ST CLE (9),,@CHIL 3-20 ,10,,45,0,5,0,0,0,,20,258,,4%
Detroit Lions D/ST DET (7),,@CINL 17-26 ,10,,45,1,3,1,0,0,,26,364,,57%
New York Giants D/ST NYG (8),,@ARIL 0-23 ,10,,48,2,2,1,0,0,,23,289,,36%
Oakland Raiders D/ST OAK (10),,@PHIL 10-19 ,9,,46,1,2,1,1,0,,19,216,,13%
Cincinnati Bengals D/ST CIN (6),,DETW 26-17 ,6,,35,1,2,0,0,0,,17,276,,32%
Dallas Cowboys D/ST DAL (6),,SEAL 12-21 ,6,,33,0,3,0,0,0,,21,136,,22%
Green Bay Packers D/ST GB (8),,MINL 0-16 ,6,,45,0,3,0,0,0,,16,236,,29%
Jacksonville Jaguars D/ST JAC (8),,@SFL 33-44 ,6,,51,1,1,0,0,0,,44,369,,91%
Kansas City Chiefs D/ST KC (10),,MIAW 29-13 ,6,,32,0,0,2,2,0,,13,345,,74%
Los Angeles Rams D/ST LA (8),,@TENW 27-23 ,6,,41,1,1,1,0,0,,23,366,,87%
Tampa Bay Buccaneers D/ST TB (1),,@CARL 19-22 ,6,,36,1,2,0,0,0,,22,255,,14%
Denver Broncos D/ST DEN (5),,@WASL 11-27 ,5,,42,1,0,1,1,0,,27,386,,73%
Atlanta Falcons D/ST ATL (5),,@NOL 13-23 ,4,,49,1,1,0,0,0,,23,315,,22%
Baltimore Ravens D/ST BAL (10),,INDW 23-16 ,4,,41,0,2,0,0,0,,16,296,,88%
Indianapolis Colts D/ST IND (11),,@BALL 16-23 ,4,,52,0,1,1,0,0,,23,323,,4%
Miami Dolphins D/ST MIA (1),,@KCL 13-29 ,2,,52,0,1,0,0,0,,29,404,,11%
Houston Texans D/ST HOU (7),,PITL 6-34 ,0,,39,0,0,0,0,0,,34,330,,73%
New York Jets D/ST NYJ (11),,LACL 7-14 ,0,,46,0,0,0,0,0,,14,379,,9%
