Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Chris Boswell K PIT (9),,BALW 39-38 ,20,,4,4,4/4,3,3,3/3,,70%
Robbie Gould K SF (11),,@HOUW 26-16 ,18,,4,4,4/4,2,2,2/2,,38%
Harrison Butker K KC (10),,OAKW 26-15 ,18,,4,4,4/4,2,2,2/2,,50%
Brandon McManus K DEN (5),,NYJW 23-0 ,15,,3,4,3/4,2,2,2/2,,28%
Josh Lambo K JAC (8),,SEAW 30-24 ,15,,3,3,3/3,3,3,3/3,,18%
Jake Elliott K PHI (10),,@LAW 43-35 ,14,,3,3,3/3,4,4,4/4,,58%
Phil Dawson K ARI (8),,TENW 12-7 ,13,,4,5,4/5,0,0,0/0,,12%
Travis Coons K LAC (9),,WASW 30-13 ,12,,3,3,3/3,3,3,3/3,,1%
Matt Bryant K ATL (5),,NOW 20-17 ,11,,2,2,2/2,2,2,2/2,,83%
Kai Forbath K MIN (9),,@CARL 24-31 ,10,,3,4,3/4,1,1,1/1,,51%
Cody Parkey K MIA (1),,NEW 27-20 ,10,,2,2,2/2,3,3,3/3,,3%
Mike Nugent K CHI (9),,@CINW 33-7 ,9,,2,2,2/2,3,4,3/4,,4%
Stephen Gostkowski K NE (9),,@MIAL 20-27 ,9,,2,2,2/2,2,2,2/2,,96%
Justin Tucker K BAL (10),,@PITL 38-39 ,9,,1,1,1/1,5,5,5/5,,88%
Graham Gano K CAR (11),,MINW 31-24 ,8,,1,1,1/1,4,4,4/4,,35%
Matt Prater K DET (7),,@TBW 24-21 ,7,,1,1,1/1,3,3,3/3,,82%
Ka'imi Fairbairn K HOU (7),,SFL 16-26 ,7,,1,2,1/2,1,2,1/2,,10%
Dan Bailey K DAL (6),,@NYGW 30-10 ,6,,1,3,1/3,3,4,3/4,,47%
Blair Walsh K SEA (6),,@JACL 24-30 ,6,,1,2,1/2,3,3,3/3,,30%
IRGreg Zuerlein K LA (8),,PHIL 35-43 ,5,,0,0,0/0,5,5,5/5,,60%
Wil Lutz K NO (5),,@ATLL 17-20 ,5,,1,1,1/1,2,2,2/2,,83%
Aldrick Rosas K NYG (8),,DALL 10-30 ,4,,1,1,1/1,1,1,1/1,,2%
Mason Crosby K GB (8),,@CLEW 27-21 ,3,,0,0,0/0,3,3,3/3,,49%
Patrick Murray K TB (1),,DETL 21-24 ,3,,0,0,0/0,3,3,3/3,,3%
Zane Gonzalez K CLE (9),,GBL 21-27 ,3,,0,0,0/0,3,3,3/3,,2%
Adam Vinatieri K IND (11),,@BUFL 7-13 ,1,,0,2,0/2,1,1,1/1,,57%
Stephen Hauschka K BUF (6),,INDW 13-7 ,1,,0,0,0/0,1,1,1/1,,63%
Ryan Succop K TEN (8),,@ARIL 7-12 ,1,,0,1,0/1,1,1,1/1,,62%
Randy Bullock K CIN (6),,CHIL 7-33 ,1,,0,0,0/0,1,1,1/1,,3%
Giorgio Tavecchio K OAK (10),,@KCL 15-26 ,1,,0,0,0/0,1,1,1/1,,15%
Nick Rose K WAS (5),,@LACL 13-30 ,1,,0,0,0/0,1,2,1/2,,3%
