Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Phillip Dorsett WR NE (9),,MIAW 35-17 ,3.9,,0,0,0,,1,1,39,0,,0,0,39,,8%
Corey Davis WR TEN (8),,@INDW 20-16 ,3.9,,0,0,0,,4,4,39,0,,0,0,39,,50%
Adam Humphries WR TB (1),,@ATLL 20-34 ,3.8,,0,0,0,,4,6,38,0,,0,0,38,,9%
Dez Bryant WR DAL (6),,LACL 6-28 ,3.7,,0,0,0,,3,5,37,0,,0,0,37,,97%
QChris Moore WR BAL (10),,HOUW 23-16 ,3.7,,0,0,0,,3,3,37,0,,0,0,87,,2%
IRTavarres King WR NYG (8),,@WASL 10-20 ,3.6,,0,0,0,,2,4,36,0,,0,0,36,,1%
Trent Taylor WR SF (11),,SEAL 13-24 ,3.5,,0,0,0,,2,3,35,0,,0,0,53,,10%
Chester Rogers WR IND (11),,TENL 16-20 ,3.4,,0,0,0,,3,4,34,0,,0,0,34,,4%
Brandon LaFell WR CIN (6),,CLEW 30-16 ,3.3,,0,0,0,,3,6,33,0,,0,0,33,,17%
Larry Fitzgerald WR ARI (8),,JACW 27-24 ,3.2,,0,0,0,,3,8,12,0,,0,0,12,,96%
OUTTanner McEvoy WR SEA (6),,@SFW 24-13 ,3.1,,0,0,0,,2,2,31,0,,0,0,31,,0%
Torrey Smith WR PHI (10),,CHIW 31-3 ,3,,0,0,0,,4,5,30,0,,0,0,30,,15%
Rashard Higgins WR CLE (9),,@CINL 16-30 ,3,,0,0,0,,2,3,30,0,,0,0,30,,3%
Keelan Cole WR JAC (8),,@ARIL 24-27 ,3,,0,0,0,,2,7,30,0,,0,0,30,,29%
IRBruce Ellington WR HOU (7),,@BALL 16-23 ,2.9,,0,0,0,,3,8,29,0,,0,0,50,,6%
Seth Roberts WR OAK (10),,DENW 21-14 ,2.6,,0,0,0,,2,3,26,0,,0,0,26,,7%
QRoger Lewis WR NYG (8),,@WASL 10-20 ,2.6,,0,0,0,,3,7,26,0,,0,0,26,,5%
Jarius Wright WR MIN (9),,@DETW 30-23 ,2.5,,0,0,0,,2,3,25,0,,0,0,25,,1%
Demarcus Robinson WR KC (10),,BUFL 10-16 ,2.4,,0,0,0,,2,4,24,0,,0,0,24,,3%
Eric Decker WR TEN (8),,@INDW 20-16 ,2.3,,0,0,0,,3,4,23,0,,0,0,23,,47%
Kendrick Bourne WR SF (11),,SEAL 13-24 ,2.2,,0,0,0,,2,2,22,0,,0,0,22,,1%
Eli Rogers WR PIT (9),,GBW 31-28 ,2.1,,0,0,0,,3,7,21,0,,0,0,21,,5%
Golden Tate WR DET (7),,MINL 23-30 ,2,,2,13,0,,4,8,7,0,,0,0,33,,94%
Doug Baldwin WR SEA (6),,@SFW 24-13 ,2,,1,-5,0,,2,3,25,0,,0,0,20,,96%
OUTTre McBride WR CHI (9),,@PHIL 3-31 ,2,,0,0,0,,2,6,20,0,,0,0,20,,1%
OUTCole Beasley WR DAL (6),,LACL 6-28 ,1.9,,0,0,0,,2,3,19,0,,0,0,19,,30%
Demaryius Thomas WR DEN (5),,@OAKL 14-21 ,1.8,,0,0,0,,5,8,18,0,,0,0,18,,94%
Alex Erickson WR CIN (6),,CLEW 30-16 ,1.8,,0,0,0,,1,1,18,0,,0,0,57,,2%
