Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Jack Doyle TE IND (11),,@CINL 23-24 ,20.1,,0,0,0,,12,14,121,1,,0,1,121,,79%
QTravis Kelce TE KC (10),,DENW 29-19 ,19.3,,0,0,0,,7,10,133,1,,0,1,133,,97%
Jimmy Graham TE SEA (6),,HOUW 41-38 ,15.9,,0,0,0,,4,5,39,2,,0,2,39,,96%
Rob Gronkowski TE NE (9),,LACW 21-13 ,11.7,,0,0,0,,5,9,57,1,,0,1,57,,98%
Austin Hooper TE ATL (5),,@NYJW 25-20 ,10.7,,0,0,0,,4,6,47,1,,0,1,47,,68%
Zach Ertz TE PHI (10),,SFW 33-10 ,9.4,,0,0,0,,4,6,34,1,,0,1,34,,95%
QKyle Rudolph TE MIN (9),,@CLEW 33-16 ,8.7,,0,0,0,,6,7,27,1,,0,1,27,,91%
A.J. Derby TE DEN (5),,@KCL 19-29 ,8.1,,0,0,0,,2,4,21,1,,0,1,21,,4%
Eric Tomlinson TE NYJ (11),,ATLL 20-25 ,8,,0,0,0,,1,1,20,1,,0,1,20,,0%
Benjamin Watson TE BAL (10),,MIAW 40-0 ,6.6,,0,0,0,,2,4,6,1,,0,1,6,,28%
Cameron Brate TE TB (1),,CARL 3-17 ,6.4,,0,0,0,,4,5,64,0,,0,0,64,,76%
Eric Ebron TE DET (7),,PITL 15-20 ,5.8,,0,0,0,,2,6,58,0,,0,0,58,,63%
Jared Cook TE OAK (10),,@BUFL 14-34 ,5.7,,0,0,0,,4,5,57,0,,0,0,57,,63%
Tyler Kroft TE CIN (6),,INDW 24-23 ,4.6,,0,0,0,,5,6,46,0,,0,0,46,,39%
Jesse James TE PIT (9),,@DETW 20-15 ,4.2,,0,0,0,,2,3,42,0,,0,0,42,,28%
Jason Witten TE DAL (6),,@WASW 33-19 ,3.1,,0,0,0,,3,5,31,0,,0,0,31,,86%
Josh Hill TE NO (5),,CHIW 20-12 ,2.9,,0,0,0,,3,4,29,0,,0,0,29,,1%
Nick Boyle TE BAL (10),,MIAW 40-0 ,2.9,,0,0,0,,4,4,29,0,,0,0,29,,1%
OUTAustin Seferian-Jenkins TE NYJ (11),,ATLL 20-25 ,2.8,,0,0,0,,5,5,28,0,,0,0,28,,40%
David Morgan TE MIN (9),,@CLEW 33-16 ,2.8,,0,0,0,,3,3,28,0,,0,0,28,,0%
Antonio Gates TE LAC (9),,@NEL 13-21 ,2.5,,0,0,0,,2,2,25,0,,0,0,25,,33%
Ed Dickson TE CAR (11),,@TBW 17-3 ,2.4,,0,0,0,,4,5,24,0,,0,0,24,,15%
Garrett Celek TE SF (11),,@PHIL 10-33 ,2.4,,0,0,0,,1,2,24,0,,0,0,24,,5%
George Kittle TE SF (11),,@PHIL 10-33 ,2.2,,0,0,0,,2,4,22,0,,0,0,22,,13%
Lee Smith TE OAK (10),,@BUFL 14-34 ,2.1,,0,0,0,,1,3,21,0,,0,0,21,,0%
Trey Burton TE PHI (10),,SFW 33-10 ,2.1,,0,0,0,,2,2,21,0,,0,0,21,,11%
Vernon Davis TE WAS (5),,DALL 19-33 ,2,,0,0,0,,2,4,20,0,,0,0,20,,49%
Levine Toilolo TE ATL (5),,@NYJW 25-20 ,2,,0,0,0,,2,3,20,0,,0,0,20,,1%
David Njoku TE CLE (9),,MINL 16-33 ,1.9,,0,0,0,,2,7,19,0,,0,0,19,,26%
Geoff Swaim TE DAL (6),,@WASW 33-19 ,1.8,,0,0,0,,1,1,18,0,,0,0,18,,0%
Virgil Green TE DEN (5),,@KCL 19-29 ,1.6,,0,0,0,,1,2,16,0,,0,0,16,,3%
IRO.J. Howard TE TB (1),,CARL 3-17 ,1.6,,0,0,0,,2,2,16,0,,0,0,16,,38%
Dion Sims TE CHI (9),,@NOL 12-20 ,1.5,,0,0,0,,3,5,15,0,,0,0,15,,2%
Brent Celek TE PHI (10),,SFW 33-10 ,1.4,,0,0,0,,1,2,14,0,,0,0,14,,2%
Jacob Hollister TE NE (9),,LACW 21-13 ,1.3,,0,0,0,,1,1,13,0,,0,0,13,,0%
Darren Fells TE DET (7),,PITL 15-20 ,1.2,,0,0,0,,1,3,12,0,,0,0,12,,4%
Anthony Fasano TE MIA (1),,@BALL 0-40 ,1.1,,0,0,0,,2,2,11,0,,0,0,11,,1%
Jeff Heuerman TE DEN (5),,@KCL 19-29 ,1.1,,0,0,0,,1,2,11,0,,0,0,11,,1%
IRHunter Henry TE LAC (9),,@NEL 13-21 ,1.1,,0,0,0,,2,2,11,0,,0,0,11,,76%
Stephen Anderson TE HOU (7),,@SEAL 38-41 ,1.1,,0,0,0,,1,2,11,0,,0,0,11,,10%
IRRyan Griffin TE HOU (7),,@SEAL 38-41 ,1,,0,0,0,,1,2,10,0,,0,0,10,,4%
IRCole Hikutini TE SF (11),,@PHIL 10-33 ,1,,0,0,0,,1,1,10,0,,0,0,10,,0%
Daniel Brown TE CHI (9),,@NOL 12-20 ,0.9,,0,0,0,,1,1,9,0,,0,0,9,,0%
OUTNick Vannett TE SEA (6),,HOUW 41-38 ,0.8,,0,0,0,,1,1,8,0,,0,0,8,,1%
Logan Thomas TE BUF (6),,OAKW 34-14 ,0.7,,0,0,0,,1,1,7,0,,0,0,7,,0%
IRJordan Reed TE WAS (5),,DALL 19-33 ,0.5,,0,0,0,,1,1,5,0,,0,0,5,,71%
Nick O'Leary TE BUF (6),,OAKW 34-14 ,0.5,,0,0,0,,1,3,5,0,,0,0,5,,2%
IRJulius Thomas TE MIA (1),,@BALL 0-40 ,0.2,,0,0,0,,2,3,2,0,,0,0,2,,45%
IRZach Miller TE CHI (9),,@NOL 12-20 ,0,,0,0,0,,0,2,0,0,,0,0,0,,11%
Luke Willson TE SEA (6),,HOUW 41-38 ,0,,0,0,0,,0,1,0,0,,0,0,0,,2%
Demetrius Harris TE KC (10),,DENW 29-19 ,0,,0,0,0,,0,2,0,0,,0,0,0,,1%
Ross Travis TE KC (10),,DENW 29-19 ,0,,0,0,0,,0,2,0,0,,0,0,0,,0%
Seth DeValve TE CLE (9),,MINL 16-33 ,0,,0,0,0,,1,3,0,0,,0,0,0,,4%
OUTAdam Shaheen TE CHI (9),,@NOL 12-20 ,0,,0,0,0,,0,1,0,0,,0,0,0,,10%
OUTMichael Roberts TE DET (7),,PITL 15-20 ,0,,0,0,0,,0,2,0,0,,0,0,0,,1%
IRCoby Fleener TE NO (5),,CHIW 20-12 ,-0.1,,0,0,0,,1,1,-1,0,,0,0,-1,,44%
