Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Kareem Hunt RB KC (10),,@NEW 42-27 ,42.6,,17,148,1,,5,5,98,2,,1-1,3,246,,92%
OUTMike Gillislee RB NE (9),,KCL 27-42 ,22.5,,15,45,3,,0,0,0,0,,0,3,45,,52%
Leonard Fournette RB JAC (8),,@HOUW 29-7 ,17.4,,26,100,1,,3,3,24,0,,1,1,124,,92%
Tarik Cohen RB CHI (9),,ATLL 17-23 ,17.3,,5,66,0,,8,12,47,1,,0,1,158,,51%
LeSean McCoy RB BUF (6),,NYJW 21-12 ,15.9,,22,110,0,,5,6,49,0,,0,0,159,,98%
IRTy Montgomery RB GB (8),,SEAW 17-9 ,15.3,,19,54,1,,4,4,39,0,,0,1,93,,64%
Todd Gurley RB LA (8),,INDW 46-9 ,14.6,,19,40,1,,5,6,56,0,,1,1,96,,97%
Jonathan Stewart RB CAR (11),,@SFW 23-3 ,14.2,,18,65,0,,2,2,17,1,,0,1,82,,75%
OUTTerrance West RB BAL (10),,@CINW 20-0 ,14,,19,80,1,,0,1,0,0,,0,1,80,,38%
Ezekiel Elliott RB DAL (6),,NYGW 19-3 ,14,,24,104,0,,5,5,36,0,,0,0,140,,95%
Melvin Gordon RB LAC (9),,@DENL 21-24 ,13.9,,18,54,0,,5,6,25,1,,0,1,79,,96%
IRDalvin Cook RB MIN (9),,NOW 29-19 ,13.7,,22,127,0,,3,5,10,0,,0,0,137,,57%
Jordan Howard RB CHI (9),,ATLL 17-23 ,12.6,,13,52,1,,3,5,14,0,,0,1,66,,95%
IRChris Thompson RB WAS (5),,PHIL 17-30 ,11.6,,3,4,0,,4,5,52,1,,0,1,74,,46%
Mike Tolbert RB BUF (6),,NYJW 21-12 ,11.4,,12,42,1,,1,1,12,0,,0,1,54,,6%
LeGarrette Blount RB PHI (10),,@WASW 30-17 ,10.7,,14,46,0,,1,1,1,1,,0,1,47,,76%
Devonta Freeman RB ATL (5),,@CHIW 23-17 ,9.9,,12,37,1,,2,2,2,0,,0,1,39,,97%
Lamar Miller RB HOU (7),,JACL 7-29 ,9.6,,17,65,0,,2,2,31,0,,0,0,96,,96%
Marlon Mack RB IND (11),,@LAL 9-46 ,9.5,,10,24,1,,1,1,21,0,,1,1,45,,34%
Marshawn Lynch RB OAK (10),,@TENW 26-16 ,9.2,,18,76,0,,1,2,16,0,,0,0,92,,91%
C.J. Anderson RB DEN (5),,LACW 24-21 ,8.8,,20,81,0,,1,3,7,0,,0,0,88,,88%
QTheo Riddick RB DET (7),,ARIW 35-23 ,8.6,,1,-1,0,,6,7,27,1,,0,1,26,,65%
Isaiah Crowell RB CLE (9),,PITL 18-21 ,8.6,,17,33,0,,2,2,33,0,,0,0,66,,85%
Charcandrick West RB KC (10),,@NEW 42-27 ,8.5,,1,21,1,,1,1,4,0,,0,1,25,,15%
Giovani Bernard RB CIN (6),,BALL 0-20 ,7.9,,7,40,0,,1,2,39,0,,0,0,79,,58%
Carlos Hyde RB SF (11),,CARL 3-23 ,7.7,,9,45,0,,6,6,32,0,,0,0,77,,95%
Malcolm Brown RB LA (8),,INDW 46-9 ,7.6,,7,16,1,,0,0,0,0,,0,1,16,,5%
Kerwynn Williams RB ARI (8),,@DETL 23-35 ,7.2,,5,10,1,,1,1,2,0,,0,1,58,,17%
Mark Ingram RB NO (5),,@MINL 19-29 ,7.1,,6,17,0,,5,5,54,0,,0,0,71,,97%
Shane Vereen RB NYG (8),,@DALL 3-19 ,7.1,,0,0,0,,9,10,51,0,,0,0,51,,15%
Javorius Allen RB BAL (10),,@CINW 20-0 ,7.1,,21,71,0,,0,1,0,0,,0,0,71,,46%
OUTJames White RB NE (9),,KCL 27-42 ,6.8,,10,38,0,,3,5,30,0,,0,0,68,,62%
Christian McCaffrey RB CAR (11),,@SFW 23-3 ,6.5,,13,47,0,,5,7,38,0,,1-1,0,92,,91%
Tommy Bohanon RB JAC (8),,@HOUW 29-7 ,6.1,,1,0,0,,1,1,1,1,,0,1,1,,0%
OUTDeMarco Murray RB TEN (8),,OAKL 16-26 ,6,,12,44,0,,2,2,16,0,,0,0,60,,95%
IRDavid Johnson RB ARI (8),,@DETL 23-35 ,6,,11,23,0,,6,9,67,0,,2-1,0,90,,77%
Tevin Coleman RB ATL (5),,@CHIW 23-17 ,5.8,,8,16,0,,4,6,42,0,,0,0,58,,88%
Chris Ivory RB JAC (8),,@HOUW 29-7 ,5.3,,9,42,0,,1,2,11,0,,0,0,53,,28%
Frank Gore RB IND (11),,@LAL 9-46 ,5.2,,10,42,0,,1,1,10,0,,0,0,52,,87%
IRChris Carson RB SEA (6),,@GBL 9-17 ,4.9,,6,39,0,,1,1,10,0,,0,0,49,,23%
OUTLe'Veon Bell RB PIT (9),,@CLEW 21-18 ,4.7,,10,32,0,,3,6,15,0,,0,0,47,,98%
IRDarren Sproles RB PHI (10),,@WASW 30-17 ,4.5,,2,2,0,,5,8,43,0,,0,0,45,,31%
Ameer Abdullah RB DET (7),,ARIW 35-23 ,4.1,,15,30,0,,3,4,11,0,,0,0,41,,76%
Bilal Powell RB NYJ (11),,@BUFL 12-21 ,3.9,,7,22,0,,5,6,17,0,,0,0,39,,75%
Alvin Kamara RB NO (5),,@MINL 19-29 ,3.8,,7,18,0,,4,6,20,0,,0,0,64,,89%
Danny Woodhead RB BAL (10),,@CINW 20-0 ,3.7,,1,4,0,,3,3,33,0,,0,0,37,,52%
Jerick McKinnon RB MIN (9),,NOW 29-19 ,3.7,,3,5,0,,3,3,32,0,,0,0,145,,72%
IRMatt Forte RB NYJ (11),,@BUFL 12-21 ,3.6,,6,16,0,,3,5,20,0,,0,0,36,,64%
Andre Ellington RB ARI (8),,@DETL 23-35 ,3.5,,0,0,0,,2,3,35,0,,0,0,35,,16%
IRRob Kelley RB WAS (5),,PHIL 17-30 ,3,,10,30,0,,0,1,0,0,,0,0,30,,44%
IRTyler Ervin RB HOU (7),,JACL 7-29 ,2.6,,3,8,0,,4,5,18,0,,0,0,71,,2%
Derrick Henry RB TEN (8),,OAKL 16-26 ,2.5,,6,25,0,,0,0,0,0,,0,0,25,,79%
Paul Perkins RB NYG (8),,@DALL 3-19 ,2.5,,7,16,0,,2,3,9,0,,0,0,25,,34%
Joe Mixon RB CIN (6),,BALL 0-20 ,2.4,,8,9,0,,3,3,15,0,,0,0,24,,85%
IRJeremy Hill RB CIN (6),,BALL 0-20 ,2.4,,6,26,0,,1,1,-2,0,,0,0,24,,35%
OUTRex Burkhead RB NE (9),,KCL 27-42 ,2.3,,3,15,0,,1,3,8,0,,0,0,23,,62%
DeAndre Washington RB OAK (10),,@TENW 26-16 ,2.2,,3,4,0,,2,2,18,0,,0,0,22,,18%
OUTDwayne Washington RB DET (7),,ARIW 35-23 ,2.2,,6,22,0,,0,0,0,0,,0,0,53,,3%
OUTJamaal Charles RB DEN (5),,LACW 24-21 ,2,,10,40,0,,0,1,0,0,,1-1,0,40,,41%
Duke Johnson RB CLE (9),,PITL 18-21 ,2,,0,0,0,,2,5,20,0,,0,0,20,,79%
Jalen Richard RB OAK (10),,@TENW 26-16 ,1.8,,5,22,0,,1,1,6,0,,1,0,33,,21%
IRAdrian Peterson RB NO (5),,@MINL 19-29 ,1.8,,6,18,0,,0,1,0,0,,0,0,18,,73%
Austin Ekeler RB LAC (9),,@DENL 21-24 ,1.8,,0,0,0,,2,2,18,0,,0,0,18,,29%
Kyle Juszczyk RB SF (11),,CARL 3-23 ,1.7,,1,0,0,,2,4,17,0,,0,0,17,,3%
Matthew Dayes RB CLE (9),,PITL 18-21 ,1.6,,3,7,0,,2,2,9,0,,0,0,16,,2%
