Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Jacksonville Jaguars D/ST JAC (8),,@HOUW 29-7 ,39,,43,1,10,3,3,1,,7,203,,91%
Los Angeles Rams D/ST LA (8),,INDW 46-9 ,33,,41,2,4,2,1,2,,9,225,,87%
Baltimore Ravens D/ST BAL (10),,@CINW 20-0 ,31,,41,4,5,1,1,0,,0,221,,88%
Philadelphia Eagles D/ST PHI (10),,@WASW 30-17 ,23,,45,1,4,2,3,1,,17,264,,73%
Pittsburgh Steelers D/ST PIT (9),,@CLEW 21-18 ,22,,45,1,7,0,0,1,,18,237,,73%
Detroit Lions D/ST DET (7),,ARIW 35-23 ,19,,41,3,1,2,1,1,,23,308,,57%
Arizona Cardinals D/ST ARI (8),,@DETL 23-35 ,14,,54,1,1,0,0,1,,35,367,,56%
Carolina Panthers D/ST CAR (11),,@SFW 23-3 ,13,,43,1,4,1,1,0,,3,217,,73%
Los Angeles Chargers D/ST LAC (9),,@DENL 21-24 ,13,,45,1,4,1,1,0,,24,321,,62%
Washington Redskins D/ST WAS (5),,PHIL 17-30 ,13,,43,1,2,0,1,1,,30,356,,23%
Atlanta Falcons D/ST ATL (5),,@CHIW 23-17 ,10,,49,0,4,1,0,0,,17,301,,22%
Dallas Cowboys D/ST DAL (6),,NYGW 19-3 ,10,,39,1,3,1,0,0,,3,233,,22%
Seattle Seahawks D/ST SEA (6),,@GBL 9-17 ,10,,53,1,4,0,0,0,,17,370,,87%
Green Bay Packers D/ST GB (8),,SEAW 17-9 ,9,,38,0,3,1,1,0,,9,225,,29%
New England Patriots D/ST NE (9),,KCL 27-42 ,9,,50,0,3,1,1,0,,42,537,,68%
Kansas City Chiefs D/ST KC (10),,@NEW 42-27 ,8,,48,0,3,1,0,0,,27,371,,74%
Tennessee Titans D/ST TEN (8),,OAKL 16-26 ,8,,42,0,2,2,0,0,,26,359,,16%
Buffalo Bills D/ST BUF (6),,NYJW 21-12 ,6,,42,2,1,0,0,0,,12,214,,33%
Cleveland Browns D/ST CLE (9),,PITL 18-21 ,6,,31,1,1,1,0,0,,21,290,,4%
New York Jets D/ST NYJ (11),,@BUFL 12-21 ,6,,56,1,2,0,0,0,,21,408,,9%
Indianapolis Colts D/ST IND (11),,@LAL 9-46 ,5,,51,0,1,1,1,0,,46,373,,4%
San Francisco 49ers D/ST SF (11),,CARL 3-23 ,5,,47,1,0,1,1,0,,23,287,,6%
Chicago Bears D/ST CHI (9),,ATLL 17-23 ,4,,38,0,2,0,0,0,,23,372,,48%
Cincinnati Bengals D/ST CIN (6),,BALL 0-20 ,4,,42,1,1,0,0,0,,20,268,,32%
Denver Broncos D/ST DEN (5),,LACW 24-21 ,4,,37,1,1,0,0,0,,21,249,,73%
New Orleans Saints D/ST NO (5),,@MINL 19-29 ,4,,50,0,1,1,0,0,,29,470,,58%
Houston Texans D/ST HOU (7),,JACL 7-29 ,2,,37,0,0,1,0,0,,29,280,,73%
Minnesota Vikings D/ST MIN (9),,NOW 29-19 ,2,,38,0,1,0,0,0,,19,344,,81%
New York Giants D/ST NYG (8),,@DALL 3-19 ,2,,41,0,1,0,0,0,,19,392,,36%
Oakland Raiders D/ST OAK (10),,@TENW 26-16 ,2,,39,0,1,0,0,0,,16,350,,13%
