Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Harrison Butker K KC (10),,DENW 29-19 ,22,,5,5,5/5,2,2,2/2,,50%
Matt Prater K DET (7),,PITL 15-20 ,19,,5,5,5/5,0,0,0/0,,82%
Kai Forbath K MIN (9),,@CLEW 33-16 ,17,,4,4,4/4,1,2,1/2,,51%
Mike Nugent K DAL (6),,@WASW 33-19 ,16,,4,5,4/5,3,3,3/3,,4%
Matt Bryant K ATL (5),,@NYJW 25-20 ,14,,4,4,4/4,1,1,1/1,,83%
Stephen Gostkowski K NE (9),,LACW 21-13 ,14,,4,6,4/6,1,1,1/1,,96%
Justin Tucker K BAL (10),,MIAW 40-0 ,14,,2,3,2/3,4,4,4/4,,88%
Stephen Hauschka K BUF (6),,OAKW 34-14 ,13,,2,2,2/2,4,4,4/4,,63%
Adam Vinatieri K IND (11),,@CINL 23-24 ,11,,3,3,3/3,2,2,2/2,,57%
Blair Walsh K SEA (6),,HOUW 41-38 ,11,,2,2,2/2,5,5,5/5,,30%
Jake Elliott K PHI (10),,SFW 33-10 ,11,,2,2,2/2,1,3,1/3,,58%
Chandler Catanzaro K NYJ (11),,ATLL 20-25 ,10,,2,4,2/4,2,2,2/2,,18%
Wil Lutz K NO (5),,CHIW 20-12 ,10,,2,2,2/2,2,2,2/2,,83%
Chris Boswell K PIT (9),,@DETW 20-15 ,8,,2,2,2/2,2,2,2/2,,70%
Ka'imi Fairbairn K HOU (7),,@SEAL 38-41 ,8,,1,1,1/1,5,5,5/5,,10%
Nick Rose K WAS (5),,DALL 19-33 ,8,,2,3,2/3,1,2,1/2,,3%
Robbie Gould K SF (11),,@PHIL 10-33 ,7,,1,2,1/2,1,1,1/1,,38%
Connor Barth K CHI (9),,@NOL 12-20 ,7,,2,3,2/3,0,0,0/0,,2%
Brandon McManus K DEN (5),,@KCL 19-29 ,7,,2,2,2/2,1,1,1/1,,28%
Randy Bullock K CIN (6),,INDW 24-23 ,6,,1,2,1/2,3,3,3/3,,3%
Graham Gano K CAR (11),,@TBW 17-3 ,5,,1,1,1/1,2,2,2/2,,35%
Patrick Murray K TB (1),,CARL 3-17 ,4,,1,1,1/1,0,0,0/0,,3%
Zane Gonzalez K CLE (9),,MINL 16-33 ,4,,1,2,1/2,1,2,1/2,,2%
Giorgio Tavecchio K OAK (10),,@BUFL 14-34 ,2,,0,0,0/0,2,2,2/2,,15%
IRNick Novak K LAC (9),,@NEL 13-21 ,1,,0,1,0/1,1,1,1/1,,4%
Cody Parkey K MIA (1),,@BALL 0-40 ,0,,0,1,0/1,0,0,0/0,,3%
Rigoberto Sanchez K IND (11),,@CINL 23-24 ,0,,0,0,0/0,0,0,0/0,,0%
