Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Tom Brady QB NE (9),,HOUW 36-33 ,44.5,,25,35,25/35,378,5,0,146.2,,1,6,0,,99%
Russell Wilson QB SEA (6),,@TENL 27-33 ,38.25,,29,49,29/49,373,4,0,110.3,,7,26,0,,97%
Case Keenum QB MIN (9),,TBW 34-17 ,37.25,,25,33,25/33,369,3,0,142.1,,6,18,0,,63%
Kirk Cousins QB WAS (5),,OAKW 27-10 ,35.45,,25,30,25/30,365,3,0,150.7,,1,2,0,,92%
Jacoby Brissett QB IND (11),,CLEW 31-28 ,32.35,,17,24,17/24,259,1,0,120,,5,14,2,,30%
Eli Manning QB NYG (8),,@PHIL 24-27 ,31.3,,35,47,35/47,366,3,2,100.1,,0,0,0,,58%
IRAaron Rodgers QB GB (8),,CINW 27-24 ,30.95,,28,42,28/42,313,3,1-1,102.6,,4,23,0,,82%
Brian Hoyer QB SF (11),,LAL 39-41 ,30.5,,23,37,23/37,332,2,1,98,,1,9,1,,8%
Blake Bortles QB JAC (8),,BALW 44-7 ,30,,20,31,20/31,244,4,0,128.2,,3,18,0,,63%
IRCarson Palmer QB ARI (8),,DALL 17-28 ,27.95,,29,48,29/48,325,2,0,94.5,,3,7,0,,41%
Jared Goff QB LA (8),,@SFW 41-39 ,26.5,,22,28,22/28,292,3,0,145.8,,1,-1,0,,80%
Drew Brees QB NO (5),,@CARW 34-13 ,25,,22,29,22/29,220,3,0,131.4,,0,0,0,,98%
Dak Prescott QB DAL (6),,@ARIW 28-17 ,24.75,,13,18,13/18,183,2,0,141.7,,3,16,1,,92%
Marcus Mariota QB TEN (8),,SEAW 33-27 ,23.95,,20,32,20/32,225,2,0,104.3,,7,27,0,,81%
DeShone Kizer QB CLE (9),,@INDL 28-31 ,23.5,,22,47,22/47,242,2,3,50.1,,7,44,1,,21%
IRDeshaun Watson QB HOU (7),,@NEL 33-36 ,22.15,,22,33,22/33,301,2,2,90.6,,8,41,0,,45%
Matthew Stafford QB DET (7),,ATLL 26-30 ,21.1,,25,45,25/45,264,1,0,80.2,,2,19,0,,94%
Tyrod Taylor QB BUF (6),,DENW 26-16 ,19.95,,20,26,20/26,213,2,0,126,,8,13,0,,60%
Jameis Winston QB TB (1),,@MINL 17-34 ,19.8,,28,40,28/40,328,2,3,80,,1,4,0,,77%
Matt Ryan QB ATL (5),,@DETW 30-26 ,18.6,,24,35,24/35,294,2,3-1,77.6,,1,-1,0,,95%
Andy Dalton QB CIN (6),,@GBL 24-27 ,18.4,,21,27,21/27,212,2,0,124.1,,2,-2,0,,67%
IRJosh McCown QB NYJ (11),,MIAW 20-6 ,17.15,,18,23,18/23,249,1,0,126.3,,4,7,0,,35%
Alex Smith QB KC (10),,@LACW 24-10 ,16.65,,16,21,16/21,155,2,0,128.1,,2,9,0,,87%
Jay Cutler QB MIA (1),,@NYJL 6-20 ,15.9,,26,44,26/44,220,1,1,70.3,,1,9,0,,32%
IRCarson Wentz QB PHI (10),,NYGW 27-24 ,15,,21,31,21/31,176,1,0,92.9,,6,22,0,,77%
OUTBen Roethlisberger QB PIT (9),,@CHIL 17-23 ,14.35,,22,39,22/39,235,1,0,82.7,,1,6,0,,95%
IRTrevor Siemian QB DEN (5),,@BUFL 16-26 ,9.15,,24,40,24/40,259,0,2,58.2,,3,12,0,,18%
Cam Newton QB CAR (11),,NOL 13-34 ,7.95,,17,26,17/26,167,0,3,43.8,,3,16,1,,96%
Mike Glennon QB CHI (9),,PITW 23-17 ,6.45,,15,22,15/22,101,1,1,74.2,,3,4,0,,5%
Derek Carr QB OAK (10),,@WASL 10-27 ,6.4,,19,31,19/31,118,1,2,52.9,,2,5,0,,86%
Philip Rivers QB LAC (9),,KCL 10-24 ,5.85,,20,40,20/40,237,0,3,37.2,,0,0,0,,93%
Ryan Mallett QB BAL (10),,@JACL 7-44 ,5.8,,6,9,6/9,36,1,0,111.3,,0,0,0,,1%
QDerek Anderson QB CAR (11),,NOL 13-34 ,0.85,,2,7,2/7,17,0,0,39.6,,0,0,0,,1%
Joe Webb QB BUF (6),,DENW 26-16 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
Chad Henne QB JAC (8),,BALW 44-7 ,-0.3,,0,2,0/2,0,0,0,39.6,,3,-3,0,,2%
Joe Flacco QB BAL (10),,@JACL 7-44 ,-2.6,,8,18,8/18,28,0,2,12,,0,0,0,,43%
