Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Bobby Wagner LB SEA (6),,WASL 14-17 ,16,,2,10,0,1,0,0,0,,93%
Brandon Marshall LB DEN (5),,@PHIL 23-51 ,14,,1,5,0,1,0,1,1,,52%
QReuben Foster LB SF (11),,ARIL 10-20 ,13,,1,13,0,0,0,0,0,,45%
Von Miller LB DEN (5),,@PHIL 23-51 ,12,,0,8,0,1,1,0,0,,75%
Jabaal Sheard LB IND (11),,@HOUW 20-14 ,11,,1,3,0,2,2,0,0,,9%
OUTZach Brown LB WAS (5),,@SEAW 17-14 ,10,,3,8,0,1,0,0,0,,77%
IRWill Compton LB WAS (5),,@SEAW 17-14 ,10,,1,8,1,0,0,0,0,,6%
Blake Martinez LB GB (8),,DETL 17-30 ,10,,2,8,0,0,1,0,0,,77%
Karlos Dansby LB ARI (8),,@SFW 20-10 ,9,,2,5,1,1,0,0,0,,28%
Wesley Woodyard LB TEN (8),,BALW 23-20 ,9,,5,9,0,0,0,0,0,,65%
Demario Davis LB NYJ (11),,BUFW 34-21 ,9,,2,6,0,1,0,1,0,,75%
Sean Lee LB DAL (6),,KCW 28-17 ,8,,4,8,0,0,0,0,0,,68%
Lavonte David LB TB (1),,@NOL 10-30 ,8,,1,6,0,0,1,0,0,,76%
Jordan Jenkins LB NYJ (11),,BUFW 34-21 ,8,,0,2,0,2,1,0,0,,1%
Lamarr Houston LB HOU (7),,INDL 14-20 ,7,,0,0,0,0,0,1,1,,2%
Tahir Whitehead LB DET (7),,@GBW 30-17 ,7,,0,5,0,1,0,0,0,,47%
Mark Barron LB LA (8),,@NYGW 51-17 ,7,,1,7,0,0,0,0,0,,77%
OUTVontaze Burfict LB CIN (6),,@JACL 7-23 ,7,,0,7,0,0,0,0,0,,55%
Alec Ogletree LB LA (8),,@NYGW 51-17 ,7,,3,5,0,0,1,0,0,,81%
Deone Bucannon LB ARI (8),,@SFW 20-10 ,7,,2,7,0,0,0,0,0,,34%
C.J. Mosley LB BAL (10),,@TENL 20-23 ,7,,2,6,0,0.5,0,0,0,,91%
Kevin Pierre-Louis LB KC (10),,@DALL 17-28 ,7,,1,7,0,0,0,0,0,,1%
OUTBrock Coyle LB SF (11),,ARIL 10-20 ,7,,1,7,0,0,0,0,0,,1%
Darron Lee LB NYJ (11),,BUFW 34-21 ,7,,3,5,0,1,0,0,0,,41%
Jarrad Davis LB DET (7),,@GBW 30-17 ,7,,1,7,0,0,0,0,0,,40%
Connor Barwin LB LA (8),,@NYGW 51-17 ,6,,1,3,0,1,0,1,0,,6%
Barkevious Mingo LB IND (11),,@HOUW 20-14 ,6,,2,5,0,0,0,1,0,,2%
QKiko Alonso LB MIA (1),,OAKL 24-27 ,6,,1,4,0,0,1,0,0,,51%
Vic Beasley LB ATL (5),,@CARL 17-20 ,6,,1,4,0,1,0,0,0,,32%
IRNick Vigil LB CIN (6),,@JACL 7-23 ,6,,3,6,0,0,0,0,0,,22%
Lorenzo Alexander LB BUF (6),,@NYJL 21-34 ,5,,0,5,0,0,0,0,0,,36%
Ramon Humber LB BUF (6),,@NYJL 21-34 ,5,,2,5,0,0,0,0,0,,23%
Navorro Bowman LB OAK (10),,@MIAW 27-24 ,5,,5,5,0,0,0,0,0,,60%
OUTNigel Bradham LB PHI (10),,DENW 51-23 ,5,,1,3,0,1,0,0,0,,23%
Bruce Irvin LB OAK (10),,@MIAW 27-24 ,5,,2,2,0,0.5,1,0,0,,12%
IRJon Bostic LB IND (11),,@HOUW 20-14 ,5,,1,5,0,0,0,0,0,,20%
Preston Brown LB BUF (6),,@NYJL 21-34 ,5,,3,5,0,0,0,0,0,,38%
Jake Ryan LB GB (8),,DETL 17-30 ,5,,0,3,0,0,1,0,0,,7%
Jayon Brown LB TEN (8),,BALW 23-20 ,5,,1,5,0,0,0,0,0,,2%
Calvin Munson LB NYG (8),,LAL 17-51 ,5,,3,3,0,0,1,0,0,,2%
Frank Zombo LB KC (10),,@DALL 17-28 ,4,,3,2,0,1,0,0,0,,1%
K.J. Wright LB SEA (6),,WASL 14-17 ,4,,3,4,0,0,0,0,0,,49%
IRNick Perry LB GB (8),,DETL 17-30 ,4,,1,3,0,0.5,0,0,0,,9%
Chandler Jones LB ARI (8),,@SFW 20-10 ,4,,0,2,0,1,0,0,0,,55%
IRAlex Okafor LB NO (5),,TBW 30-10 ,4,,3,3,0,0.5,0,0,0,,8%
IRA.J. Klein LB NO (5),,TBW 30-10 ,4,,0,4,0,0,0,0,0,,8%
IRHau'oli Kikaha LB NO (5),,TBW 30-10 ,4,,1,2,0,1,0,0,0,,1%
Kwon Alexander LB TB (1),,@NOL 10-30 ,4,,3,4,0,0,0,0,0,,69%
Zaire Anderson LB DEN (5),,@PHIL 23-51 ,4,,1,4,0,0,0,0,0,,0%
IRCurtis Grant LB NYG (8),,LAL 17-51 ,4,,2,4,0,0,0,0,0,,0%
Deion Jones LB ATL (5),,@CARL 17-20 ,4,,7,4,0,0,0,0,0,,77%
IRBrennan Scarlett LB HOU (7),,INDL 14-20 ,4,,0,4,0,0,0,0,0,,1%
Terrell Suggs LB BAL (10),,@TENL 20-23 ,3,,0,1,0,1,0,0,0,,25%
Thomas Davis LB CAR (11),,ATLW 20-17 ,3,,2,3,0,0,0,0,0,,32%
Derrick Morgan LB TEN (8),,BALW 23-20 ,3,,1,2,0,0.5,0,0,0,,5%
Luke Kuechly LB CAR (11),,ATLW 20-17 ,3,,8,3,0,0,0,0,0,,94%
Shaq Thompson LB CAR (11),,ATLW 20-17 ,3,,0,1,0,0,1,0,0,,14%
Bryce Hager LB LA (8),,@NYGW 51-17 ,3,,0,3,0,0,0,0,0,,0%
