Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
IRDeshaun Watson QB HOU (7),,TENW 57-14 ,38.55,,25,34,25/34,283,4,1,125,,4,24,1,,45%
Cam Newton QB CAR (11),,@NEW 33-30 ,37.2,,22,29,22/29,316,3,1,130.8,,8,44,1,,96%
Andy Dalton QB CIN (6),,@CLEW 31-7 ,35.2,,25,30,25/30,286,4,0,146,,4,29,0,,67%
Eli Manning QB NYG (8),,@TBL 23-25 ,32.6,,30,49,30/49,288,2,0,91.2,,3,22,1,,58%
Alex Smith QB KC (10),,WASW 29-20 ,32.25,,27,37,27/37,293,1,0,104.9,,7,56,1,,87%
Jameis Winston QB TB (1),,NYGW 25-23 ,31.8,,22,38,22/38,332,3,0,113,,4,12,0,,77%
Russell Wilson QB SEA (6),,INDW 46-18 ,30.55,,21,26,21/26,295,2,2,107.5,,4,38,1,,97%
Tom Brady QB NE (9),,CARL 30-33 ,26.55,,32,45,32/45,307,2,0,104.6,,1,2,0,,99%
Philip Rivers QB LAC (9),,PHIL 24-26 ,26.35,,22,38,22/38,347,2,0,105.9,,0,0,0,,93%
Dak Prescott QB DAL (6),,LAL 30-35 ,25.1,,20,36,20/36,252,3,1,93.8,,3,25,0,,92%
IRAaron Rodgers QB GB (8),,CHIW 35-14 ,24.85,,18,26,18/26,179,4,0,128,,1,-1,0,,82%
Kirk Cousins QB WAS (5),,@KCL 20-29 ,23.8,,14,24,14/24,220,2,0,116.7,,7,38,0,,92%
IRCarson Palmer QB ARI (8),,SFW 18-15 ,22.95,,33,51,33/51,357,1,1,83.5,,2,1,0,,41%
Drew Brees QB NO (5),,@MIAW 20-0 ,22.7,,29,41,29/41,268,2,0,104.5,,4,3,0,,98%
Jared Goff QB LA (8),,@DALW 35-30 ,21.65,,21,36,21/36,255,2,0,98.7,,1,-1,0,,80%
Marcus Mariota QB TEN (8),,@HOUL 14-57 ,16.7,,6,10,6/10,96,0,2,52.5,,4,39,2,,81%
IRCarson Wentz QB PHI (10),,@LACW 26-24 ,16.5,,17,31,17/31,242,1,0,91.1,,6,14,0,,77%
Tyrod Taylor QB BUF (6),,@ATLW 23-17 ,14.3,,12,20,12/20,182,1,0,106.7,,7,12,0,,60%
Derek Carr QB OAK (10),,@DENL 10-16 ,13.15,,10,18,10/18,143,1,0,100,,0,0,0,,86%
IRTrevor Siemian QB DEN (5),,OAKW 16-10 ,13.05,,16,26,16/26,179,1,0,94.9,,4,1,0,,18%
Blake Bortles QB JAC (8),,@NYJL 20-23 ,12.8,,15,35,15/35,140,1,1,52.1,,4,38,0,,63%
Joe Flacco QB BAL (10),,PITL 9-26 ,12.75,,31,49,31/49,235,1,2,64.6,,0,0,0,,43%
OUTBen Roethlisberger QB PIT (9),,@BALW 26-9 ,12.7,,18,30,18/30,216,1,1,79.3,,1,-1,0,,95%
Matthew Stafford QB DET (7),,@MINW 14-7 ,11.15,,19,31,19/31,209,0,0,81.3,,3,-3,0,,94%
Case Keenum QB MIN (9),,DETL 7-14 ,10.95,,16,30,16/30,219,0,0,76.9,,0,0,0,,63%
Matt Ryan QB ATL (5),,BUFL 17-23 ,10.9,,24,42,24/42,242,1,2,61.8,,1,8,0,,95%
Jacoby Brissett QB IND (11),,@SEAL 18-46 ,10.15,,16,29,16/29,157,1,1-1,67.7,,3,33,0,,30%
Brian Hoyer QB SF (11),,@ARIL 15-18 ,10,,24,49,24/49,234,0,1,54.3,,1,3,0,,8%
Mike Glennon QB CHI (9),,@GBL 14-35 ,6.9,,21,33,21/33,218,1,2,67.5,,1,0,0,,5%
Jay Cutler QB MIA (1),,NOL 0-20 ,5.7,,20,28,20/28,164,0,1,71.1,,1,5,0,,32%
IRJosh McCown QB NYJ (11),,JACW 23-20 ,5.2,,22,31,22/31,224,0,1,77.9,,1,0,0,,35%
DeShone Kizer QB CLE (9),,CINL 7-31 ,4.9,,16,34,16/34,118,0,1,43.5,,5,10,0,,21%
E.J. Manuel QB OAK (10),,@DENL 10-16 ,3.3,,11,17,11/17,106,0,1,57.5,,0,0,0,,2%
Kevin Hogan QB CLE (9),,CINL 7-31 ,3.25,,5,8,5/8,65,0,0,88,,0,0,0,,1%
Joe Webb QB BUF (6),,@ATLW 23-17 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
IRTom Savage QB HOU (7),,TENW 57-14 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,7%
Brett Hundley QB GB (8),,CHIW 35-14 ,0,,1,1,1/1,0,0,0,79.2,,0,0,0,,15%
Matt Cassel QB TEN (8),,@HOUL 14-57 ,-4.95,,4,10,4/10,21,0,2-1,8.3,,0,0,0,,1%
