Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Dak Prescott QB DAL (6),,@NYGW 30-10 ,36.9,,20,30,20/30,332,3,0,137.1,,6,13,0,,92%
OUTBen Roethlisberger QB PIT (9),,BALW 39-38 ,36.8,,44,66,44/66,506,2,0,99.7,,1,5,0,,95%
Brett Hundley QB GB (8),,@CLEW 27-21 ,30.35,,35,46,35/46,265,3,0,111.2,,7,31,0,,15%
IRCarson Wentz QB PHI (10),,@LAW 43-35 ,30.15,,23,41,23/41,291,4,1,100.8,,3,16,0,,77%
Russell Wilson QB SEA (6),,@JACL 24-30 ,28.55,,17,31,17/31,271,3,3,76.9,,5,50,0,,97%
Jay Cutler QB MIA (1),,NEW 27-20 ,27.55,,25,38,25/38,263,3,0,112.1,,4,4,0,,32%
Philip Rivers QB LAC (9),,WASW 30-13 ,26.95,,18,31,18/31,319,2,0,114.9,,0,0,0,,93%
Mitchell Trubisky QB CHI (9),,@CINW 33-7 ,26.05,,25,32,25/32,271,1,0,112.4,,2,5,1,,23%
Case Keenum QB MIN (9),,@CARL 24-31 ,26,,27,44,27/44,280,2,2,75.9,,5,40,0,,63%
Blake Bortles QB JAC (8),,SEAW 30-24 ,23.2,,18,27,18/27,268,2,0,123.7,,7,-2,0,,63%
Matthew Stafford QB DET (7),,@TBW 24-21 ,22.05,,36,44,36/44,381,1,2,91.4,,0,0,0,,94%
Drew Brees QB NO (5),,@ATLL 17-20 ,21.75,,26,35,26/35,271,2,1,103.4,,1,2,0,,98%
T.J. Yates QB HOU (7),,SFL 16-26 ,19.85,,14,26,14/26,175,2,0,100.6,,3,31,0,,2%
Jimmy Garoppolo QB SF (11),,@HOUW 26-16 ,19.4,,20,33,20/33,334,1,1,92.2,,5,-3,0,,39%
DeShone Kizer QB CLE (9),,GBL 21-27 ,19.4,,20,28,20/28,214,3,2,99.4,,2,7,0,,21%
Jameis Winston QB TB (1),,DETL 21-24 ,19.25,,26,38,26/38,285,2,2,86,,2,10,0,,77%
Joe Flacco QB BAL (10),,@PITL 38-39 ,18.45,,20,35,20/35,269,2,1,88.9,,0,0,0,,43%
Jared Goff QB LA (8),,PHIL 35-43 ,16.15,,16,26,16/26,199,2,0,110.9,,2,2,0,,80%
Cam Newton QB CAR (11),,MINW 31-24 ,15.85,,13,25,13/25,137,1,1,64.9,,11,70,0,,96%
IRTrevor Siemian QB DEN (5),,NYJW 23-0 ,15.3,,19,31,19/31,200,1,0,90.8,,3,13,0,,18%
Alex Smith QB KC (10),,OAKW 26-15 ,13.8,,20,34,20/34,268,0,1,71.7,,5,24,0,,87%
Eli Manning QB NYG (8),,DALL 10-30 ,13.4,,31,46,31/46,228,1,2,68,,0,0,0,,58%
Derek Carr QB OAK (10),,@KCL 15-26 ,12.55,,24,41,24/41,211,1,2,60.1,,0,0,0,,86%
Tom Brady QB NE (9),,@MIAL 20-27 ,11.65,,24,43,24/43,233,1,2,59.5,,0,0,0,,99%
Kirk Cousins QB WAS (5),,@LACL 13-30 ,10.35,,15,27,15/27,151,1,1,68.6,,2,8,0,,92%
Blaine Gabbert QB ARI (8),,TENW 12-7 ,10.1,,17,26,17/26,178,0,0,85.1,,4,12,0,,10%
Matt Ryan QB ATL (5),,NOW 20-17 ,9.05,,15,27,15/27,221,1,3,55.2,,3,0,0,,95%
Andy Dalton QB CIN (6),,CHIL 7-33 ,9.05,,14,29,14/29,141,1,1,59.7,,0,0,0,,67%
Jacoby Brissett QB IND (11),,@BUFL 7-13 ,8.45,,11,22,11/22,69,1,0,72,,3,10,0,,30%
Nathan Peterman QB BUF (6),,INDW 13-7 ,6.85,,5,10,5/10,57,1,0,100.8,,4,10,0,,6%
Marcus Mariota QB TEN (8),,@ARIL 7-12 ,5.05,,16,31,16/31,159,0,2,39.6,,2,11,0,,81%
IRTom Savage QB HOU (7),,SFL 16-26 ,3.15,,6,12,6/12,63,0,0,65.6,,0,0,0,,7%
Joe Webb QB BUF (6),,INDW 13-7 ,2.45,,2,6,2/6,35,0,1,14.6,,5,27,0,,0%
A.J. McCarron QB CIN (6),,CHIL 7-33 ,2.35,,4,8,4/8,47,0,0,68.2,,0,0,0,,5%
Nick Foles QB PHI (10),,@LAW 43-35 ,2,,6,10,6/10,42,0,0,69.6,,1,9,0,,27%
Bryce Petty QB NYJ (11),,@DENL 0-23 ,1.4,,2,9,2/9,14,0,0,39.6,,1,7,0,,2%
IRJosh McCown QB NYJ (11),,@DENL 0-23 ,-1,,6,12,6/12,46,0,1,25,,2,7,0,,35%
Kellen Clemens QB LAC (9),,WASW 30-13 ,-1.85,,1,3,1/3,3,0,1-1,2.8,,0,0,0,,0%
