Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Atlanta Falcons D/ST ATL (5),,DALW 27-7 ,22,,46,0,8,2,2,0,,7,233,,22%
Detroit Lions D/ST DET (7),,CLEW 38-24 ,21,,52,1,4,1,1,1,,24,413,,57%
Tampa Bay Buccaneers D/ST TB (1),,NYJW 15-10 ,17,,50,1,6,1,1,0,,10,275,,14%
Los Angeles Rams D/ST LA (8),,HOUW 33-7 ,16,,38,2,3,2,2,0,,7,283,,87%
Arizona Cardinals D/ST ARI (8),,SEAL 16-22 ,12,,50,0,5,1,0,0,,22,287,,56%
Cincinnati Bengals D/ST CIN (6),,@TENL 20-24 ,12,,58,1,4,1,0,0,,24,416,,32%
Green Bay Packers D/ST GB (8),,@CHIW 23-16 ,12,,46,0,5,1,0,0,,16,323,,29%
Seattle Seahawks D/ST SEA (6),,@ARIW 22-16 ,11,,51,0,2,1,1,0,,16,290,,87%
Cleveland Browns D/ST CLE (9),,@DETL 24-38 ,10,,33,1,4,0,0,0,,38,345,,4%
Los Angeles Chargers D/ST LAC (9),,@JACL 17-20 ,10,,55,2,3,0,0,0,,20,398,,62%
New England Patriots D/ST NE (9),,@DENW 41-16 ,9,,48,1,0,0,1,0,,16,339,,68%
San Francisco 49ers D/ST SF (11),,NYGW 31-21 ,9,,53,0,3,1,1,0,,21,374,,6%
New Orleans Saints D/ST NO (5),,@BUFW 47-10 ,8,,34,1,2,1,0,0,,10,198,,58%
Pittsburgh Steelers D/ST PIT (9),,@INDW 20-17 ,8,,40,1,3,0,0,0,,17,267,,73%
Chicago Bears D/ST CHI (9),,GBL 16-23 ,6,,56,0,3,0,0,0,,23,342,,48%
Houston Texans D/ST HOU (7),,@LAL 7-33 ,6,,55,0,3,0,0,0,,33,443,,73%
Minnesota Vikings D/ST MIN (9),,@WASW 38-30 ,6,,44,1,1,1,0,0,,30,394,,81%
Tennessee Titans D/ST TEN (8),,CINW 24-20 ,6,,31,0,1,1,2,0,,20,308,,16%
Jacksonville Jaguars D/ST JAC (8),,LACW 20-17 ,5,,48,1,0,1,1,0,,17,322,,91%
New York Giants D/ST NYG (8),,@SFL 21-31 ,5,,45,1,0,1,1,0,,31,474,,36%
Dallas Cowboys D/ST DAL (6),,@ATLL 7-27 ,4,,44,1,1,0,0,0,,27,336,,22%
Indianapolis Colts D/ST IND (11),,PITL 17-20 ,4,,40,1,1,0,0,0,,20,316,,4%
New York Jets D/ST NYJ (11),,@TBL 10-15 ,4,,50,1,1,0,0,0,,15,271,,9%
Washington Redskins D/ST WAS (5),,MINL 30-38 ,4,,38,2,0,0,0,0,,38,406,,23%
Buffalo Bills D/ST BUF (6),,NOL 10-47 ,3,,56,0,0,1,1,0,,47,482,,33%
Carolina Panthers D/ST CAR (11),,MIAW 45-21 ,2,,27,1,0,0,0,0,,21,313,,73%
Denver Broncos D/ST DEN (5),,NEL 16-41 ,2,,41,0,1,0,0,0,,41,396,,73%
Miami Dolphins D/ST MIA (1),,@CARL 21-45 ,0,,35,0,0,0,0,0,,45,548,,11%
