Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Los Angeles Rams D/ST LA (8),,@SEAW 42-7 ,26,,31,0,7,3,2,0,,7,149,,87%
Baltimore Ravens D/ST BAL (10),,@CLEW 27-10 ,20,,37,2,2,2,2,1,,10,266,,88%
Minnesota Vikings D/ST MIN (9),,CINW 34-7 ,18,,30,2,3,1,0,1,,7,161,,81%
Carolina Panthers D/ST CAR (11),,GBW 31-24 ,15,,36,3,3,1,1,0,,24,384,,73%
Washington Redskins D/ST WAS (5),,ARIW 20-15 ,15,,51,1,5,1,1,0,,15,286,,23%
Buffalo Bills D/ST BUF (6),,MIAW 24-16 ,14,,53,3,3,1,0,0,,16,349,,33%
Kansas City Chiefs D/ST KC (10),,LACW 30-13 ,13,,42,3,2,1,1,0,,13,307,,74%
Jacksonville Jaguars D/ST JAC (8),,HOUW 45-7 ,12,,37,1,4,1,0,0,,7,186,,91%
Chicago Bears D/ST CHI (9),,@DETL 10-20 ,11,,47,0,4,1,1,0,,20,293,,48%
Detroit Lions D/ST DET (7),,CHIW 20-10 ,10,,45,3,2,0,0,0,,10,349,,57%
Atlanta Falcons D/ST ATL (5),,@TBW 24-21 ,9,,42,0,2,2,1,0,,21,373,,22%
Dallas Cowboys D/ST DAL (6),,@OAKW 20-17 ,8,,39,0,0,4,0,0,,17,293,,22%
Indianapolis Colts D/ST IND (11),,DENL 13-25 ,8,,41,1,2,1,0,0,,25,462,,4%
New York Jets D/ST NYJ (11),,@NOL 19-31 ,8,,48,1,0,2,2,0,,31,412,,9%
Oakland Raiders D/ST OAK (10),,DALL 17-20 ,8,,43,2,2,0,0,0,,20,330,,13%
Seattle Seahawks D/ST SEA (6),,LAL 7-42 ,8,,49,1,2,1,0,0,,42,352,,87%
Cincinnati Bengals D/ST CIN (6),,@MINL 7-34 ,6,,43,1,2,0,0,0,,34,346,,32%
New England Patriots D/ST NE (9),,@PITW 27-24 ,6,,51,1,2,0,0,0,,24,413,,68%
New Orleans Saints D/ST NO (5),,NYJW 31-19 ,6,,46,2,1,0,0,0,,19,294,,58%
Pittsburgh Steelers D/ST PIT (9),,NEL 24-27 ,6,,41,1,2,0,0,0,,27,360,,73%
Tampa Bay Buccaneers D/ST TB (1),,ATLL 21-24 ,6,,56,0,1,2,0,0,,24,410,,14%
Tennessee Titans D/ST TEN (8),,@SFL 23-25 ,6,,59,0,3,0,0,0,,25,414,,16%
Arizona Cardinals D/ST ARI (8),,@WASL 15-20 ,5,,35,0,1,1,1,0,,20,218,,56%
San Francisco 49ers D/ST SF (11),,TENW 25-23 ,5,,48,0,1,1,1,0,,23,328,,6%
Denver Broncos D/ST DEN (5),,@INDW 25-13 ,4,,31,0,1,1,0,0,,13,228,,73%
Miami Dolphins D/ST MIA (1),,@BUFL 16-24 ,4,,45,0,2,0,0,0,,24,328,,11%
New York Giants D/ST NYG (8),,PHIL 29-34 ,4,,52,0,1,1,0,0,,34,341,,36%
Philadelphia Eagles D/ST PHI (10),,@NYGW 34-29 ,4,,62,1,1,0,0,0,,29,504,,73%
Cleveland Browns D/ST CLE (9),,BALL 10-27 ,2,,44,0,1,0,0,0,,27,376,,4%
Green Bay Packers D/ST GB (8),,@CARL 24-31 ,2,,41,0,1,0,0,0,,31,387,,29%
Houston Texans D/ST HOU (7),,@JACL 7-45 ,2,,53,0,1,0,0,0,,45,464,,73%
Los Angeles Chargers D/ST LAC (9),,@KCL 13-30 ,2,,53,0,1,0,0,0,,30,397,,62%
