Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Jacksonville Jaguars D/ST JAC (8),,@NYJL 20-23 ,27,,53,1,5,2,1,1,,23,471,,91%
New Orleans Saints D/ST NO (5),,@MIAW 20-0 ,24,,44,1,4,2,0,0,,0,186,,58%
Seattle Seahawks D/ST SEA (6),,INDW 46-18 ,23,,33,1,3,1,1,2,,18,237,,87%
Buffalo Bills D/ST BUF (6),,@ATLW 23-17 ,21,,47,2,1,3,1,1,,17,389,,33%
Houston Texans D/ST HOU (7),,TENW 57-14 ,21,,29,4,2,1,1,1,,14,195,,73%
Pittsburgh Steelers D/ST PIT (9),,@BALW 26-9 ,15,,51,2,4,1,1,0,,9,288,,73%
Indianapolis Colts D/ST IND (11),,@SEAL 18-46 ,14,,35,2,3,0,0,0,,46,477,,4%
San Francisco 49ers D/ST SF (11),,@ARIL 15-18 ,14,,58,1,6,0,0,0,,18,368,,6%
Minnesota Vikings D/ST MIN (9),,DETL 7-14 ,12,,43,0,6,0,0,0,,14,251,,81%
Cleveland Browns D/ST CLE (9),,CINL 7-31 ,11,,48,0,3,2,1,0,,31,350,,4%
Detroit Lions D/ST DET (7),,@MINW 14-7 ,11,,42,0,2,2,3,0,,7,284,,57%
Arizona Cardinals D/ST ARI (8),,SFW 18-15 ,10,,59,1,3,1,0,0,,15,305,,56%
Green Bay Packers D/ST GB (8),,CHIW 35-14 ,10,,49,2,1,1,2,0,,14,308,,29%
Kansas City Chiefs D/ST KC (10),,WASW 29-20 ,9,,33,0,0,1,1,1,,20,331,,74%
New England Patriots D/ST NE (9),,CARL 30-33 ,9,,53,1,2,1,1,0,,33,444,,68%
Atlanta Falcons D/ST ATL (5),,BUFL 17-23 ,8,,40,0,3,1,0,0,,23,281,,22%
Denver Broncos D/ST DEN (5),,OAKW 16-10 ,8,,37,1,3,0,0,0,,10,254,,73%
Oakland Raiders D/ST OAK (10),,@DENL 10-16 ,8,,51,0,4,0,0,0,,16,298,,13%
Washington Redskins D/ST WAS (5),,@KCL 20-29 ,8,,54,0,4,0,0,0,,29,429,,23%
Philadelphia Eagles D/ST PHI (10),,@LACW 26-24 ,7,,36,0,2,1,1,0,,24,400,,73%
Los Angeles Rams D/ST LA (8),,@DALW 35-30 ,7,,41,1,2,0,1,0,,30,440,,87%
Baltimore Ravens D/ST BAL (10),,PITL 9-26 ,6,,56,1,1,1,0,0,,26,381,,88%
Carolina Panthers D/ST CAR (11),,@NEW 33-30 ,6,,54,0,3,0,0,0,,30,373,,73%
Cincinnati Bengals D/ST CIN (6),,@CLEW 31-7 ,6,,38,1,2,0,0,0,,7,215,,32%
Tennessee Titans D/ST TEN (8),,@HOUL 14-57 ,6,,56,1,2,0,0,0,,57,445,,16%
Chicago Bears D/ST CHI (9),,@GBL 14-35 ,4,,35,0,2,0,0,0,,35,260,,48%
Dallas Cowboys D/ST DAL (6),,LAL 30-35 ,4,,51,0,1,1,0,0,,35,412,,22%
New York Jets D/ST NYJ (11),,JACW 23-20 ,4,,41,1,1,0,0,0,,20,311,,9%
Miami Dolphins D/ST MIA (1),,NOL 0-20 ,2,,58,0,1,0,0,0,,20,347,,11%
New York Giants D/ST NYG (8),,@TBL 23-25 ,2,,41,0,1,0,0,0,,25,434,,36%
Los Angeles Chargers D/ST LAC (9),,PHIL 24-26 ,2,,59,0,1,0,0,0,,26,454,,62%
Tampa Bay Buccaneers D/ST TB (1),,NYGW 25-23 ,2,,56,0,0,1,0,0,,23,379,,14%
