Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Alvin Kamara RB NO (5),,TBW 30-10 ,25.2,,10,68,1,,6,7,84,1,,1-1,2,152,,89%
Corey Clement RB PHI (10),,DENW 51-23 ,24.6,,12,51,2,,1,1,15,1,,0,3,66,,20%
Todd Gurley RB LA (8),,@NYGW 51-17 ,22.4,,16,59,2,,2,3,45,0,,0,2,104,,97%
IRMatt Forte RB NYJ (11),,BUFW 34-21 ,21.6,,14,77,2,,4,4,19,0,,0,2,96,,64%
Marshawn Lynch RB OAK (10),,@MIAW 27-24 ,18.3,,14,57,2,,2,2,6,0,,0,2,63,,91%
IRAdrian Peterson RB ARI (8),,@SFW 20-10 ,17.7,,37,159,0,,2,4,8,0,,1-1,0,167,,73%
OUTJay Ajayi RB PHI (10),,DENW 51-23 ,15.7,,8,77,1,,0,0,0,0,,0,1,77,,92%
Christian McCaffrey RB CAR (11),,ATLW 20-17 ,15.4,,15,66,1,,5,6,28,0,,0,1,94,,91%
Ezekiel Elliott RB DAL (6),,KCW 28-17 ,15.3,,27,93,1,,0,0,0,0,,0,1,93,,95%
Carlos Hyde RB SF (11),,ARIL 10-20 ,14.5,,12,41,0,,9,11,84,0,,0,0,125,,95%
IRRob Kelley RB WAS (5),,@SEAW 17-14 ,13.8,,14,18,2,,0,0,0,0,,0,2,34,,44%
Javorius Allen RB BAL (10),,@TENL 20-23 ,12.5,,7,21,0,,7,8,44,1,,0,1,65,,46%
OUTDamien Williams RB MIA (1),,OAKL 24-27 ,12.1,,7,14,0,,6,6,47,1,,0,1,61,,17%
Joe Mixon RB CIN (6),,@JACL 7-23 ,10.6,,13,31,1,,3,4,15,0,,0,1,46,,85%
Chris Ivory RB JAC (8),,CINW 23-7 ,10.4,,20,70,0,,3,4,34,0,,0,0,104,,28%
Kenyan Drake RB MIA (1),,OAKL 24-27 ,10.4,,9,69,0,,6,6,35,0,,1-1,0,104,,67%
Derrick Henry RB TEN (8),,BALW 23-20 ,9.6,,8,26,1,,2,2,10,0,,0,1,36,,79%
Jamaal Williams RB GB (8),,DETL 17-30 ,9.2,,1,1,1,,2,2,31,0,,0,1,32,,74%
Lamar Miller RB HOU (7),,INDL 14-20 ,9.1,,10,57,0,,3,4,34,0,,0,0,91,,96%
Ameer Abdullah RB DET (7),,@GBW 30-17 ,8.7,,21,48,1,,1,1,9,0,,2-1,1,57,,76%
Tevin Coleman RB ATL (5),,@CARL 17-20 ,8.4,,5,5,0,,1,2,19,1,,0,1,24,,88%
Orleans Darkwa RB NYG (8),,LAL 17-51 ,7.9,,16,71,0,,2,2,8,0,,0,0,79,,45%
Mark Ingram RB NO (5),,TBW 30-10 ,7.9,,16,77,0,,1,1,2,0,,0,0,79,,97%
Frank Gore RB IND (11),,@HOUW 20-14 ,7.7,,17,51,0,,3,4,26,0,,0,0,77,,87%
Bilal Powell RB NYJ (11),,BUFW 34-21 ,7.4,,9,74,0,,0,0,0,0,,0,0,74,,75%
QTheo Riddick RB DET (7),,@GBW 30-17 ,7.3,,5,11,0,,4,4,62,0,,0,0,73,,65%
Thomas Rawls RB SEA (6),,WASL 14-17 ,7,,9,39,0,,2,2,31,0,,0,0,70,,39%
Devonta Freeman RB ATL (5),,@CARL 17-20 ,6.4,,11,46,0,,4,5,18,0,,0,0,64,,97%
Kareem Hunt RB KC (10),,@DALL 17-28 ,6.1,,9,37,0,,4,5,24,0,,0,0,61,,92%
