Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Telvin Smith LB JAC (8),,@PITW 30-9 ,14,,4,6,1,0,0,0,1,,89%
IRLeonard Floyd LB CHI (9),,MINL 17-20 ,14,,0,6,0,2,0,0,0,,15%
Mark Barron LB LA (8),,SEAL 10-16 ,12,,3,12,0,0,0,0,0,,77%
OUTVontaze Burfict LB CIN (6),,BUFW 20-16 ,12,,3,10,0,1,0,0,0,,55%
Kendell Beckwith LB TB (1),,NEL 14-19 ,12,,2,12,0,0,0,0,0,,26%
QKiko Alonso LB MIA (1),,TENW 16-10 ,10,,1,6,0,1,1,0,0,,51%
IRAdarius Glanton LB TB (1),,NEL 14-19 ,10,,1,6,0,1,1,0,0,,2%
Demario Davis LB NYJ (11),,@CLEW 17-14 ,8,,0,6,0,1,0,0,0,,75%
Bobby Wagner LB SEA (6),,@LAW 16-10 ,8,,0,8,0,0,0,0,0,,93%
Vince Williams LB PIT (9),,JACL 9-30 ,8,,2,6,0,1,0,0,0,,39%
Ray-Ray Armstrong LB SF (11),,@INDL 23-26 ,8,,1,6,1,0,0,0,0,,21%
James Burgess LB CLE (9),,NYJL 14-17 ,8,,1,6,0,1,0,0,0,,5%
Lorenzo Alexander LB BUF (6),,@CINL 16-20 ,7,,2,5,0,0,1,0,0,,36%
Lawrence Timmons LB MIA (1),,TENW 16-10 ,7,,0,7,0,0,0,0,0,,34%
IRRyan Shazier LB PIT (9),,JACL 9-30 ,7,,3,5,1,0,0,0,0,,68%
Hayes Pullard LB LAC (9),,@NYGW 27-22 ,7,,1,7,0,0,0,0,0,,13%
Blake Martinez LB GB (8),,@DALW 35-31 ,7,,5,7,0,0,0,0,0,,77%
IRB.J. Goodson LB NYG (8),,LACL 22-27 ,7,,3,5,0,0,1,0,0,,18%
T.J. Watt LB PIT (9),,JACL 9-30 ,7,,1,5,0,1,0,0,0,,45%
Jabaal Sheard LB IND (11),,SFW 26-23 ,6,,3,3,0,1.5,0,0,0,,9%
Kyle Van Noy LB NE (9),,@TBW 19-14 ,6,,2,5,0,0.5,0,0,0,,43%
Zach Cunningham LB HOU (7),,KCL 34-42 ,6,,5,4,0,0,1,0,0,,16%
Terrell Suggs LB BAL (10),,@OAKW 30-17 ,5,,1,3,0,1,0,0,0,,25%
Clay Matthews LB GB (8),,@DALW 35-31 ,5,,0,5,0,0,0,0,0,,19%
Navorro Bowman LB SF (11),,@INDL 23-26 ,5,,5,5,0,0,0,0,0,,60%
Frank Zombo LB KC (10),,@HOUW 42-34 ,5,,1,4,0,0.5,0,0,0,,1%
Justin Houston LB KC (10),,@HOUW 42-34 ,5,,1,2,0,1.5,0,0,0,,60%
OUTNigel Bradham LB PHI (10),,ARIW 34-7 ,5,,3,5,0,0,0,0,0,,23%
Luke Kuechly LB CAR (11),,@DETW 27-24 ,5,,3,5,0,0,0,0,0,,94%
Tahir Whitehead LB DET (7),,CARL 24-27 ,5,,0,5,0,0,0,0,0,,47%
Alec Ogletree LB LA (8),,SEAL 10-16 ,5,,1,3,0,1,0,0,0,,81%
Deone Bucannon LB ARI (8),,@PHIL 7-34 ,5,,2,5,0,0,0,0,0,,34%
Christian Jones LB CHI (9),,MINL 17-20 ,5,,4,5,0,0,0,0,0,,21%
Shaq Thompson LB CAR (11),,@DETW 27-24 ,5,,1,3,0,1,0,0,0,,14%
Jake Ryan LB GB (8),,@DALW 35-31 ,5,,2,5,0,0,0,0,0,,7%
Darron Lee LB NYJ (11),,@CLEW 17-14 ,5,,1,5,0,0,0,0,0,,41%
Myles Jack LB JAC (8),,@PITW 30-9 ,5,,4,5,0,0,0,0,0,,68%
Antonio Morrison LB IND (11),,SFW 26-23 ,5,,2,5,0,0,0,0,0,,11%
Jatavis Brown LB LAC (9),,@NYGW 27-22 ,5,,0,5,0,0,0,0,0,,38%
Patrick Onwuasor LB BAL (10),,@OAKW 30-17 ,5,,2,3,0,0,1,0,0,,8%
Marquel Lee LB OAK (10),,BALL 17-30 ,5,,1,5,0,0,0,0,0,,3%
Karlos Dansby LB ARI (8),,@PHIL 7-34 ,4,,1,4,0,0,0,0,0,,28%
Elvis Dumervil LB SF (11),,@INDL 23-26 ,4,,2,1,0,1.5,0,0,0,,3%
Wesley Woodyard LB TEN (8),,@MIAL 10-16 ,4,,1,4,0,0,0,0,0,,65%
Robert Quinn LB LA (8),,SEAL 10-16 ,4,,1,2,0,1,0,0,0,,17%
IRNick Perry LB GB (8),,@DALW 35-31 ,4,,2,1,0,1,1,1,0,,9%
Chandler Jones LB ARI (8),,@PHIL 7-34 ,4,,3,2,0,1,0,0,0,,55%
IRKevin Minter LB CIN (6),,BUFW 20-16 ,4,,1,4,0,0,0,0,0,,6%
