Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Baltimore Ravens D/ST BAL (10),,MIAW 40-0 ,36,,49,2,3,0,0,2,,0,196,,88%
Seattle Seahawks D/ST SEA (6),,HOUW 41-38 ,26,,48,3,5,1,0,1,,38,509,,87%
Kansas City Chiefs D/ST KC (10),,DENW 29-19 ,24,,49,3,3,1,2,1,,19,364,,74%
Buffalo Bills D/ST BUF (6),,OAKW 34-14 ,22,,46,2,0,4,2,1,,14,367,,33%
Dallas Cowboys D/ST DAL (6),,@WASW 33-19 ,22,,38,1,4,2,2,1,,19,285,,22%
Philadelphia Eagles D/ST PHI (10),,SFW 33-10 ,18,,42,2,4,0,0,1,,10,238,,73%
Cincinnati Bengals D/ST CIN (6),,INDW 24-23 ,16,,48,1,4,0,0,1,,23,331,,32%
Carolina Panthers D/ST CAR (11),,@TBW 17-3 ,13,,48,2,3,1,1,0,,3,279,,73%
Indianapolis Colts D/ST IND (11),,@CINL 23-24 ,12,,31,0,3,2,2,0,,24,276,,4%
Chicago Bears D/ST CHI (9),,@NOL 12-20 ,10,,48,0,2,2,2,0,,20,387,,48%
Minnesota Vikings D/ST MIN (9),,@CLEW 33-16 ,10,,45,0,3,1,2,0,,16,276,,81%
Atlanta Falcons D/ST ATL (5),,@NYJW 25-20 ,9,,45,0,3,1,1,0,,20,279,,22%
Houston Texans D/ST HOU (7),,@SEAL 38-41 ,8,,40,1,2,1,0,0,,41,479,,73%
New England Patriots D/ST NE (9),,LACW 21-13 ,8,,35,1,1,0,0,0,,15,349,,68%
San Francisco 49ers D/ST SF (11),,@PHIL 10-33 ,8,,46,1,3,0,0,0,,33,304,,6%
Denver Broncos D/ST DEN (5),,@KCL 19-29 ,7,,38,1,1,1,1,0,,29,276,,73%
Washington Redskins D/ST WAS (5),,DALL 19-33 ,7,,45,0,2,1,1,0,,33,307,,23%
Cleveland Browns D/ST CLE (9),,MINL 16-33 ,6,,61,1,1,1,0,0,,33,375,,4%
New Orleans Saints D/ST NO (5),,CHIW 20-12 ,6,,40,1,2,0,0,0,,12,307,,58%
Los Angeles Chargers D/ST LAC (9),,@NEL 13-21 ,6,,68,0,3,0,0,0,,19,414,,62%
Detroit Lions D/ST DET (7),,PITL 15-20 ,5,,34,1,0,1,1,0,,20,392,,57%
Pittsburgh Steelers D/ST PIT (9),,@DETW 20-15 ,5,,49,0,2,0,1,0,,15,482,,73%
New York Jets D/ST NYJ (11),,ATLL 20-25 ,4,,48,0,1,0,2,0,,25,386,,9%
Tampa Bay Buccaneers D/ST TB (1),,CARL 3-17 ,4,,54,1,0,1,0,0,,17,254,,14%
Miami Dolphins D/ST MIA (1),,@BALL 0-40 ,0,,40,0,0,0,0,0,,40,295,,11%
Oakland Raiders D/ST OAK (10),,@BUFL 14-34 ,0,,53,0,0,0,0,0,,34,331,,13%
