Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Zach Vigil LB WAS (5),,DENW 27-11 ,13,,2,12,0,0,0,1,0,,3%
Preston Smith LB WAS (5),,DENW 27-11 ,11,,0,5,0,2,1,0,0,,6%
Wesley Woodyard LB TEN (8),,LAL 23-27 ,10,,0,3,0,0,0,1,1,,65%
Barkevious Mingo LB IND (11),,@BALL 16-23 ,10,,0,8,0,1,0,0,0,,2%
Preston Brown LB BUF (6),,@NEL 16-37 ,10,,5,10,0,0,0,0,0,,38%
Marquis Flowers LB NE (9),,BUFW 37-16 ,10,,5,5,0,2.5,0,0,0,,0%
Jake Ryan LB GB (8),,MINL 0-16 ,10,,1,10,0,0,0,0,0,,7%
Deion Jones LB ATL (5),,@NOL 13-23 ,10,,2,8,1,0,0,0,0,,77%
Kelvin Sheppard LB NYG (8),,@ARIL 0-23 ,9,,0,9,0,0,0,0,0,,1%
Korey Toomer LB LAC (9),,@NYJW 14-7 ,9,,2,5,0,1,1,0,0,,8%
James Burgess LB CLE (9),,@CHIL 3-20 ,9,,2,7,0,1,0,0,0,,5%
Sean Spence LB PIT (9),,@HOUW 34-6 ,8,,2,6,0,1,0,0,0,,1%
QKiko Alonso LB MIA (1),,@KCL 13-29 ,8,,3,8,0,0,0,0,0,,51%
Deone Bucannon LB ARI (8),,NYGW 23-0 ,8,,4,4,0,1,1,0,0,,34%
Karlos Dansby LB ARI (8),,NYGW 23-0 ,7,,3,7,0,0,0,0,0,,28%
Ryan Kerrigan LB WAS (5),,DENW 27-11 ,7,,1,3,0,2,0,0,0,,27%
K.J. Wright LB SEA (6),,@DALW 21-12 ,7,,2,4,1,0,0,1,0,,49%
Craig Robertson LB NO (5),,ATLW 23-13 ,7,,3,7,0,0,0,0,0,,14%
Danny Trevathan LB CHI (9),,CLEW 20-3 ,7,,1,5,0,0,1,0,0,,39%
Cory Littleton LB LA (8),,@TENW 27-23 ,7,,4,3,1,1,0,0,0,,0%
Zach Cunningham LB HOU (7),,PITL 6-34 ,7,,3,7,0,0,0,0,0,,16%
Navorro Bowman LB OAK (10),,@PHIL 10-19 ,6,,1,6,0,0,0,0,0,,60%
Sean Lee LB DAL (6),,SEAL 12-21 ,6,,7,6,0,0,0,0,0,,68%
Von Miller LB DEN (5),,@WASL 11-27 ,6,,1,3,0,0,1,1,0,,75%
OUTNigel Bradham LB PHI (10),,OAKW 19-10 ,6,,2,6,0,0,0,0,0,,23%
Brandon Marshall LB DEN (5),,@WASL 11-27 ,6,,3,6,0,0,0,0,0,,52%
Vince Williams LB PIT (9),,@HOUW 34-6 ,6,,2,6,0,0,0,0,0,,39%
C.J. Mosley LB BAL (10),,INDW 23-16 ,6,,0,6,0,0,0,0,0,,91%
Christian Kirksey LB CLE (9),,@CHIL 3-20 ,6,,2,6,0,0,0,0,0,,75%
Todd Davis LB DEN (5),,@WASL 11-27 ,6,,2,6,0,0,0,0,0,,7%
Bud Dupree LB PIT (9),,@HOUW 34-6 ,6,,1,5,0,0,0,1,0,,10%
Kwon Alexander LB TB (1),,@CARL 19-22 ,6,,4,4,1,0,0,0,0,,69%
Blake Martinez LB GB (8),,MINL 0-16 ,6,,5,6,0,0,0,0,0,,77%
Patrick Onwuasor LB BAL (10),,INDW 23-16 ,6,,0,6,0,0,0,0,0,,8%
Anthony Walker LB IND (11),,@BALL 16-23 ,6,,3,6,0,0,0,0,0,,2%
Paul Posluszny LB JAC (8),,@SFL 33-44 ,5,,3,5,0,0,0,0,0,,29%
Brian Orakpo LB TEN (8),,LAL 23-27 ,5,,1,5,0,0,0,0,0,,8%
Demario Davis LB NYJ (11),,LACL 7-14 ,5,,1,5,0,0,0,0,0,,75%
Bobby Wagner LB SEA (6),,@DALW 21-12 ,5,,3,5,0,0,0,0,0,,93%
Eric Kendricks LB MIN (9),,@GBW 16-0 ,5,,3,5,0,0,0,0,0,,58%
Za'Darius Smith LB BAL (10),,INDW 23-16 ,5,,1,3,0,1,0,0,0,,0%
Hayes Pullard LB LAC (9),,@NYJW 14-7 ,5,,4,4,0,0,0,1,0,,13%
Martrell Spaight LB WAS (5),,DENW 27-11 ,5,,3,5,0,0,0,0,0,,1%
Kyler Fackrell LB GB (8),,MINL 0-16 ,5,,0,3,0,1,0,0,0,,0%
Antonio Morrison LB IND (11),,@BALL 16-23 ,5,,3,5,0,0,0,0,0,,11%
QReuben Foster LB SF (11),,JACW 44-33 ,5,,0,5,0,0,0,0,0,,45%
Jalen Reeves-Maybin LB DET (7),,@CINL 17-26 ,5,,0,3,0,0,1,0,0,,3%
Derrick Johnson LB KC (10),,MIAW 29-13 ,4,,0,2,0,0,1,0,0,,35%
Sam Acho LB CHI (9),,CLEW 20-3 ,4,,1,3,0,0.5,0,0,0,,1%
Manti Te'o LB NO (5),,ATLW 23-13 ,4,,1,3,0,0,0,1,0,,6%
Telvin Smith LB JAC (8),,@SFL 33-44 ,4,,3,4,0,0,0,0,0,,89%
Avery Williamson LB TEN (8),,LAL 23-27 ,4,,1,4,0,0,0,0,0,,20%
Shaquil Barrett LB DEN (5),,@WASL 11-27 ,4,,1,4,0,0,0,0,0,,2%
OUTBrock Coyle LB SF (11),,JACW 44-33 ,4,,4,4,0,0,0,0,0,,1%
Darron Lee LB NYJ (11),,LACL 7-14 ,4,,4,4,0,0,0,0,0,,41%
Reggie Ragland LB KC (10),,MIAW 29-13 ,4,,1,4,0,0,0,0,0,,12%
Jordan Jenkins LB NYJ (11),,LACL 7-14 ,4,,2,4,0,0,0,0,0,,1%
Joe Schobert LB CLE (9),,@CHIL 3-20 ,4,,2,3,0,0.5,0,0,0,,61%
Nick Kwiatkoski LB CHI (9),,CLEW 20-3 ,4,,4,4,0,0,0,0,0,,4%
Terrell Suggs LB BAL (10),,INDW 23-16 ,3,,0,3,0,0,0,0,0,,25%
Ramon Humber LB BUF (6),,@NEL 16-37 ,3,,3,3,0,0,0,0,0,,23%
Jabaal Sheard LB IND (11),,@BALL 16-23 ,3,,0,3,0,0,0,0,0,,9%
Courtney Upshaw LB ATL (5),,@NOL 13-23 ,3,,0,1,0,1,0,0,0,,1%
Luke Kuechly LB CAR (11),,TBW 22-19 ,3,,5,3,0,0,0,0,0,,94%
Tahir Whitehead LB DET (7),,@CINL 17-26 ,3,,5,3,0,0,0,0,0,,47%
Lavonte David LB TB (1),,@CARL 19-22 ,3,,8,3,0,0,0,0,0,,76%
OUTNate Palmer LB TEN (8),,LAL 23-27 ,3,,0,3,0,0,0,0,0,,0%
Josh Martin LB NYJ (11),,LACL 7-14 ,3,,1,3,0,0,0,0,0,,2%
Anthony Barr LB MIN (9),,@GBW 16-0 ,3,,0,3,0,0,0,0,0,,24%
Christian Jones LB CHI (9),,CLEW 20-3 ,3,,0,3,0,0,0,0,0,,21%
Myles Jack LB JAC (8),,@SFL 33-44 ,3,,0,3,0,0,0,0,0,,68%
Ben Gedeon LB MIN (9),,@GBW 16-0 ,3,,1,3,0,0,0,0,0,,2%
Jayon Brown LB TEN (8),,LAL 23-27 ,3,,2,3,0,0,0,0,0,,2%
Calvin Munson LB NYG (8),,@ARIL 0-23 ,3,,0,3,0,0,0,0,0,,2%
Nicholas Morrow LB OAK (10),,@PHIL 10-19 ,3,,0,3,0,0,0,0,0,,2%
Lorenzo Alexander LB BUF (6),,@NEL 16-37 ,2,,1,2,0,0,0,0,0,,36%
Erik Walden LB TEN (8),,LAL 23-27 ,2,,1,2,0,0,0,0,0,,1%
Connor Barwin LB LA (8),,@TENW 27-23 ,2,,2,2,0,0,0,0,0,,6%
Dannell Ellerbe LB PHI (10),,OAKW 19-10 ,2,,2,2,0,0,0,0,0,,1%
Junior Galette LB WAS (5),,DENW 27-11 ,2,,1,2,0,0,0,0,0,,1%
Vincent Rey LB CIN (6),,DETW 26-17 ,2,,2,0,1,0,0,0,0,,9%
Justin Houston LB KC (10),,MIAW 29-13 ,2,,1,2,0,0,0,0,0,,60%
Brooks Reed LB ATL (5),,@NOL 13-23 ,2,,2,2,0,0,0,0,0,,4%
Chandler Jones LB ARI (8),,NYGW 23-0 ,2,,0,2,0,0,0,0,0,,55%
Mychal Kendricks LB PHI (10),,OAKW 19-10 ,2,,1,2,0,0,0,0,0,,19%
Bruce Irvin LB OAK (10),,@PHIL 10-19 ,2,,1,2,0,0,0,0,0,,12%
OUTVontaze Burfict LB CIN (6),,DETW 26-17 ,2,,1,2,0,0,0,0,0,,55%
Ray-Ray Armstrong LB NYG (8),,@ARIL 0-23 ,2,,1,2,0,0,0,0,0,,21%
Anthony Hitchens LB DAL (6),,SEAL 12-21 ,2,,2,2,0,0,0,0,0,,15%
Jeremiah George LB IND (11),,@BALL 16-23 ,2,,0,2,0,0,0,0,0,,0%
