Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Kansas City Chiefs D/ST KC (10),,PHIW 27-20 ,21,,48,1,6,3,1,0,,20,406,,74%
Detroit Lions D/ST DET (7),,@NYGW 24-10 ,20,,49,1,5,1,0,0,,10,270,,57%
Tampa Bay Buccaneers D/ST TB (1),,CHIW 29-7 ,20,,52,2,1,2,2,1,,7,310,,14%
Baltimore Ravens D/ST BAL (10),,CLEW 24-10 ,19,,45,4,3,2,1,0,,10,386,,88%
Denver Broncos D/ST DEN (5),,DALW 42-17 ,18,,40,2,2,0,0,1,,17,268,,73%
Atlanta Falcons D/ST ATL (5),,GBW 34-23 ,17,,40,1,3,1,1,1,,23,367,,22%
Arizona Cardinals D/ST ARI (8),,@INDW 16-13 ,14,,52,1,4,2,0,0,,13,266,,56%
Tennessee Titans D/ST TEN (8),,@JACW 37-16 ,13,,43,2,2,2,1,0,,16,310,,16%
Washington Redskins D/ST WAS (5),,@LAW 27-20 ,13,,42,1,2,3,1,0,,20,332,,23%
Buffalo Bills D/ST BUF (6),,@CARL 3-9 ,12,,39,0,6,0,0,0,,9,255,,33%
Oakland Raiders D/ST OAK (10),,NYJW 45-20 ,12,,37,0,4,1,2,0,,20,271,,13%
Dallas Cowboys D/ST DAL (6),,@DENL 17-42 ,11,,53,1,2,2,1,0,,42,380,,22%
Indianapolis Colts D/ST IND (11),,ARIL 13-16 ,10,,44,1,4,0,0,0,,16,389,,4%
Cleveland Browns D/ST CLE (9),,@BALL 10-24 ,9,,56,1,2,1,1,0,,24,337,,4%
Houston Texans D/ST HOU (7),,@CINW 13-9 ,9,,38,0,3,1,1,0,,9,295,,73%
New York Giants D/ST NYG (8),,DETL 10-24 ,9,,52,0,3,1,1,0,,24,257,,36%
Carolina Panthers D/ST CAR (11),,BUFW 9-3 ,8,,36,0,3,1,0,0,,3,176,,73%
Philadelphia Eagles D/ST PHI (10),,@KCL 20-27 ,8,,40,0,4,0,0,0,,27,344,,73%
San Francisco 49ers D/ST SF (11),,@SEAL 9-12 ,8,,51,0,3,1,0,0,,12,312,,6%
Chicago Bears D/ST CHI (9),,@TBL 7-29 ,7,,53,0,2,1,1,0,,29,311,,48%
Pittsburgh Steelers D/ST PIT (9),,MINW 26-9 ,7,,34,0,2,1,1,0,,9,237,,73%
Cincinnati Bengals D/ST CIN (6),,HOUL 9-13 ,6,,41,0,3,0,0,0,,13,266,,32%
Green Bay Packers D/ST GB (8),,@ATLL 23-34 ,6,,39,0,3,0,0,0,,34,364,,29%
Seattle Seahawks D/ST SEA (6),,SFW 12-9 ,6,,32,1,2,0,0,0,,9,248,,87%
Los Angeles Rams D/ST LA (8),,WASL 20-27 ,6,,57,0,2,1,0,0,,27,385,,87%
Jacksonville Jaguars D/ST JAC (8),,TENL 16-37 ,4,,49,1,1,0,0,0,,37,390,,91%
Minnesota Vikings D/ST MIN (9),,@PITL 9-26 ,4,,53,0,2,0,0,0,,26,335,,81%
New Orleans Saints D/ST NO (5),,NEL 20-36 ,4,,53,0,2,0,0,0,,36,555,,58%
Los Angeles Chargers D/ST LAC (9),,MIAL 17-19 ,4,,60,0,2,0,0,0,,19,336,,62%
Miami Dolphins D/ST MIA (1),,@LACW 19-17 ,2,,47,0,1,0,0,0,,17,367,,11%
New England Patriots D/ST NE (9),,@NOW 36-20 ,2,,45,0,1,0,0,0,,20,429,,68%
New York Jets D/ST NYJ (11),,@OAKL 20-45 ,2,,42,0,0,1,0,0,,45,410,,9%
