Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
IRGreg Zuerlein K LA (8),,@ARIW 32-16 ,18,,4,4,4/4,2,3,2/3,,60%
Justin Tucker K BAL (10),,DETW 44-20 ,18,,3,3,3/3,5,5,5/5,,88%
Robbie Gould K SF (11),,@CHIW 15-14 ,15,,5,5,5/5,0,0,0/0,,38%
Stephen Gostkowski K NE (9),,@BUFW 23-3 ,14,,3,3,3/3,2,2,2/2,,96%
Travis Coons K LAC (9),,CLEW 19-10 ,14,,4,5,4/5,1,1,1/1,,1%
Chandler Catanzaro K NYJ (11),,KCW 38-31 ,13,,3,3,3/3,3,3,3/3,,18%
Chris Boswell K PIT (9),,@CINW 23-20 ,11,,3,3,3/3,2,2,2/2,,70%
Matt Bryant K ATL (5),,MINL 9-14 ,10,,3,4,3/4,0,0,0/0,,83%
Josh Lambo K JAC (8),,INDW 30-10 ,10,,3,3,3/3,1,1,1/1,,18%
Randy Bullock K CIN (6),,PITL 20-23 ,9,,2,2,2/2,2,2,2/2,,3%
Mason Crosby K GB (8),,TBW 26-20 ,8,,2,2,2/2,2,2,2/2,,49%
Dan Bailey K DAL (6),,WASW 38-14 ,8,,1,1,1/1,5,5,5/5,,47%
Patrick Murray K TB (1),,@GBL 20-26 ,8,,2,2,2/2,2,2,2/2,,3%
Ka'imi Fairbairn K HOU (7),,@TENL 13-24 ,8,,2,4,2/4,1,1,1/1,,10%
Aldrick Rosas K NYG (8),,@OAKL 17-24 ,8,,1,1,1/1,2,2,2/2,,2%
Phil Dawson K ARI (8),,LAL 16-32 ,7,,1,2,1/2,1,2,1/2,,12%
Ryan Succop K TEN (8),,HOUW 24-13 ,7,,1,2,1/2,3,3,3/3,,62%
Blair Walsh K SEA (6),,PHIW 24-10 ,7,,1,1,1/1,3,3,3/3,,30%
Cody Parkey K MIA (1),,DENW 35-9 ,7,,1,1,1/1,4,4,4/4,,3%
Wil Lutz K NO (5),,CARW 31-21 ,7,,1,2,1/2,4,4,4/4,,83%
Harrison Butker K KC (10),,@NYJL 31-38 ,7,,1,2,1/2,4,4,4/4,,50%
Giorgio Tavecchio K OAK (10),,NYGW 24-17 ,6,,1,1,1/1,3,3,3/3,,15%
Adam Vinatieri K IND (11),,@JACL 10-30 ,4,,1,1,1/1,1,1,1/1,,57%
Stephen Hauschka K BUF (6),,NEL 3-23 ,4,,1,1,1/1,0,0,0/0,,63%
Jake Elliott K PHI (10),,@SEAL 10-24 ,4,,1,1,1/1,1,1,1/1,,58%
Zane Gonzalez K CLE (9),,@LACL 10-19 ,4,,1,1,1/1,1,1,1/1,,2%
Graham Gano K CAR (11),,@NOL 21-31 ,3,,0,0,0/0,3,3,3/3,,35%
Brandon McManus K DEN (5),,@MIAL 9-35 ,3,,1,1,1/1,0,0,0/0,,28%
Matt Prater K DET (7),,@BALL 20-44 ,2,,0,1,0/1,2,3,2/3,,82%
Kai Forbath K MIN (9),,@ATLW 14-9 ,2,,0,0,0/0,2,2,2/2,,51%
IRCairo Santos K CHI (9),,SFL 14-15 ,2,,0,0,0/0,2,2,2/2,,26%
Nick Rose K WAS (5),,@DALL 14-38 ,2,,0,0,0/0,2,2,2/2,,3%
Michael Palardy K CAR (11),,@NOL 21-31 ,-1,,0,0,0/0,0,0,0/0,,0%
