Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
Calais Campbell DL JAC (8),,@ARIL 24-27 ,10,,0,3,0,0,0,1,1,,89%
Everson Griffen DL MIN (9),,@DETW 30-23 ,10,,0,4,0,2,1,0,0,,78%
OUTBrandon Graham DL PHI (10),,CHIW 31-3 ,9,,0,5,0,1,1,0,0,,58%
Trey Flowers DL NE (9),,MIAW 35-17 ,9,,1,3,0,2,1,0,0,,44%
Cameron Jordan DL NO (5),,@LAL 20-26 ,8,,0,4,0,2,0,0,0,,85%
Mike Daniels DL GB (8),,@PITL 28-31 ,8,,2,6,0,1,0,0,0,,16%
Jason Pierre-Paul DL NYG (8),,@WASL 10-20 ,7,,2,3,0,2,0,0,0,,79%
OUTCameron Heyward DL PIT (9),,GBW 31-28 ,7,,3,3,0,2,0,0,0,,50%
IRDaQuan Jones DL TEN (8),,@INDW 20-16 ,7,,1,3,0,2,0,0,0,,1%
Olivier Vernon DL NYG (8),,@WASL 10-20 ,6,,2,3,0,1.5,0,0,0,,46%
Denico Autry DL OAK (10),,DENW 21-14 ,6,,1,2,0,2,0,0,0,,1%
Yannick Ngakoue DL JAC (8),,@ARIL 24-27 ,6,,0,2,0,1,1,0,0,,48%
Frostee Rucker DL ARI (8),,JACW 27-24 ,5,,0,5,0,0,0,0,0,,1%
Michael Bennett DL SEA (6),,@SFW 24-13 ,5,,1,3,0,1,0,0,0,,43%
Cameron Wake DL MIA (1),,@NEL 17-35 ,5,,0,3,0,1,0,0,0,,43%
Wes Horton DL CAR (11),,@NYJW 35-27 ,5,,3,1,0,1,1,0,0,,0%
Aaron Donald DL LA (8),,NOW 26-20 ,5,,2,3,0,1,0,0,0,,73%
OUTZach Kerr DL DEN (5),,@OAKL 14-21 ,5,,0,5,0,0,0,0,0,,0%
Danielle Hunter DL MIN (9),,@DETW 30-23 ,5,,0,2,0,1,0,1,0,,50%
A'Shawn Robinson DL DET (7),,MINL 23-30 ,5,,1,5,0,0,0,0,0,,12%
Carlos Dunlap DL CIN (6),,CLEW 30-16 ,4,,2,3,0,0.5,0,0,0,,58%
Geno Atkins DL CIN (6),,CLEW 30-16 ,4,,4,2,0,1,0,0,0,,42%
Ezekiel Ansah DL DET (7),,MINL 23-30 ,4,,0,2,0,1,0,0,0,,43%
Sheldon Richardson DL SEA (6),,@SFW 24-13 ,4,,2,4,0,0,0,0,0,,23%
Bennie Logan DL KC (10),,BUFL 10-16 ,4,,2,4,0,0,0,0,0,,10%
Stacy McGee DL WAS (5),,NYGW 20-10 ,4,,2,4,0,0,0,0,0,,1%
QJadeveon Clowney DL HOU (7),,@BALL 16-23 ,4,,0,2,0,1,0,0,0,,80%
Khalil Mack DL OAK (10),,DENW 21-14 ,4,,0,2,0,1,0,0,0,,92%
Eddie Goldman DL CHI (9),,@PHIL 3-31 ,4,,1,3,0,0,0,1,0,,5%
OUTRakeem Nunez-Roches DL KC (10),,BUFL 10-16 ,4,,0,4,0,0,0,0,0,,0%
Joey Bosa DL LAC (9),,@DALW 28-6 ,4,,0,4,0,0,0,0,0,,88%
Ronald Blair DL SF (11),,SEAL 13-24 ,4,,1,4,0,0,0,0,0,,1%
IRD.J. Reader DL HOU (7),,@BALL 16-23 ,4,,1,4,0,0,0,0,0,,3%
Anthony Lanier DL WAS (5),,NYGW 20-10 ,4,,0,2,0,1,0,0,0,,2%
Myles Garrett DL CLE (9),,@CINL 16-30 ,4,,0,2,0,1,0,0,0,,52%
Dawuane Smoot DL JAC (8),,@ARIL 24-27 ,4,,0,4,0,0,0,0,0,,1%
Carl Lawson DL CIN (6),,CLEW 30-16 ,4,,1,1,0,1.5,0,0,0,,6%
Julius Peppers DL CAR (11),,@NYJW 35-27 ,3,,2,1,0,1,0,0,0,,38%
Chris Baker DL TB (1),,@ATLL 20-34 ,3,,0,3,0,0,0,0,0,,4%
Steve McLendon DL NYJ (11),,CARL 27-35 ,3,,0,1,0,1,0,0,0,,2%
OUTCorey Liuget DL LAC (9),,@DALW 28-6 ,3,,1,1,0,1,0,0,0,,7%
Cedric Thornton DL BUF (6),,@KCW 16-10 ,3,,0,1,0,1,0,0,0,,1%
Mario Addison DL CAR (11),,@NYJW 35-27 ,3,,1,1,0,1,0,0,0,,33%
Akiem Hicks DL CHI (9),,@PHIL 3-31 ,3,,0,3,0,0,0,0,0,,52%
Fletcher Cox DL PHI (10),,CHIW 31-3 ,3,,0,1,0,1,0,0,0,,43%
Damon Harrison DL NYG (8),,@WASL 10-20 ,3,,1,2,0,0.5,0,0,0,,36%
Derrick Shelby DL ATL (5),,TBW 34-20 ,3,,1,3,0,0,0,0,0,,1%
William Gholston DL TB (1),,@ATLL 20-34 ,3,,0,3,0,0,0,0,0,,7%
QJay Bromley DL NYG (8),,@WASL 10-20 ,3,,1,3,0,0,0,0,0,,0%
Tenny Palepoi DL LAC (9),,@DALW 28-6 ,3,,1,1,0,1,0,0,0,,0%
Leterrius Walton DL PIT (9),,GBW 31-28 ,3,,0,1,0,1,0,0,0,,0%
Olsen Pierre DL ARI (8),,JACW 27-24 ,3,,1,1,0,1,0,0,0,,1%
Jonathan Bullard DL CHI (9),,@PHIL 3-31 ,3,,2,1,0,1,0,0,0,,1%
Willie Henry DL BAL (10),,HOUW 23-16 ,3,,1,2,0,0,0,1,0,,2%
Takkarist McKinley DL ATL (5),,TBW 34-20 ,3,,1,1,0,1,0,0,0,,10%
Dalvin Tomlinson DL NYG (8),,@WASL 10-20 ,3,,1,1,0,1,0,0,0,,2%
Samson Ebukam DL LA (8),,NOW 26-20 ,3,,1,1,0,1,0,0,0,,1%
Domata Peko DL DEN (5),,@OAKL 14-21 ,2,,4,2,0,0,0,0,0,,2%
OUTEvander Hood DL WAS (5),,NYGW 20-10 ,2,,2,2,0,0,0,0,0,,0%
Michael Johnson DL CIN (6),,CLEW 30-16 ,2,,2,2,0,0,0,0,0,,10%
Jerry Hughes DL BUF (6),,@KCW 16-10 ,2,,2,2,0,0,0,0,0,,32%
Gerald McCoy DL TB (1),,@ATLL 20-34 ,2,,0,2,0,0,0,0,0,,23%
Linval Joseph DL MIN (9),,@DETW 30-23 ,2,,1,2,0,0,0,0,0,,34%
IRMitch Unrein DL CHI (9),,@PHIL 3-31 ,2,,1,2,0,0,0,0,0,,0%
OUTMuhammad Wilkerson DL NYJ (11),,CARL 27-35 ,2,,2,2,0,0,0,0,0,,39%
Malik Jackson DL JAC (8),,@ARIL 24-27 ,2,,0,2,0,0,0,0,0,,22%
