Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
QJadeveon Clowney DL HOU (7),,@NEL 33-36 ,17,,0,6,0,2,0,1,1,,80%
Melvin Ingram DL LAC (9),,KCL 10-24 ,12,,0,6,0,3,0,0,0,,81%
Demarcus Lawrence DL DAL (6),,@ARIW 28-17 ,11,,0,5,0,3,0,0,0,,82%
Cassius Marsh DL NE (9),,HOUW 36-33 ,8,,1,4,0,1,1,0,0,,2%
Maliek Collins DL DAL (6),,@ARIW 28-17 ,8,,1,4,0,2,0,0,0,,2%
Carl Lawson DL CIN (6),,@GBL 24-27 ,8,,1,3,0,2.5,0,0,0,,6%
Khalil Mack DL OAK (10),,@WASL 10-27 ,7,,4,5,0,1,0,0,0,,92%
IRChristian Covington DL HOU (7),,@NEL 33-36 ,7,,0,3,0,1,1,0,0,,0%
QDeForest Buckner DL SF (11),,LAL 39-41 ,7,,0,5,0,0,1,0,0,,55%
Kyle Williams DL BUF (6),,DENW 26-16 ,6,,0,4,0,1,0,0,0,,12%
Olivier Vernon DL NYG (8),,@PHIL 24-27 ,6,,1,4,0,1,0,0,0,,46%
QMichael Brockers DL LA (8),,@SFW 41-39 ,6,,0,6,0,0,0,0,0,,30%
Joey Bosa DL LAC (9),,KCL 10-24 ,6,,2,4,0,1,0,0,0,,88%
Calais Campbell DL JAC (8),,BALW 44-7 ,5,,1,2,0,0.5,1,0,0,,89%
Michael Johnson DL CIN (6),,@GBL 24-27 ,5,,0,3,0,1,0,0,0,,10%
Cameron Wake DL MIA (1),,@NYJL 6-20 ,5,,1,3,0,1,0,0,0,,43%
Ndamukong Suh DL MIA (1),,@NYJL 6-20 ,5,,1,3,0,0,1,0,0,,44%
Carlos Dunlap DL CIN (6),,@GBL 24-27 ,5,,0,3,0,1,0,0,0,,58%
Cameron Jordan DL NO (5),,@CARW 34-13 ,5,,4,3,0,1,0,0,0,,85%
IRJ.J. Watt DL HOU (7),,@NEL 33-36 ,5,,1,5,0,0,0,0,0,,68%
David Bass DL NYJ (11),,MIAW 20-6 ,5,,0,3,0,1,0,0,0,,1%
Malcom Brown DL NE (9),,HOUW 36-33 ,5,,0,5,0,0,0,0,0,,5%
Trey Flowers DL NE (9),,HOUW 36-33 ,5,,3,3,0,1,0,0,0,,44%
QTrey Hendrickson DL NO (5),,@CARW 34-13 ,5,,1,1,0,1,1,0,0,,1%
Adrian Clayborn DL ATL (5),,@DETW 30-26 ,4,,0,2,0,1,0,0,0,,23%
OUTCorey Liuget DL LAC (9),,KCL 10-24 ,4,,0,2,0,0,1,0,0,,7%
Allen Bailey DL KC (10),,@LACW 24-10 ,4,,2,2,0,1,0,0,0,,7%
Jurrell Casey DL TEN (8),,SEAW 33-27 ,4,,1,4,0,0,0,0,0,,28%
Mario Addison DL CAR (11),,NOL 13-34 ,4,,4,2,0,1,0,0,0,,33%
Tyrone Crawford DL DAL (6),,@ARIW 28-17 ,4,,1,2,0,1,0,0,0,,6%
Andre Branch DL MIA (1),,@NYJL 6-20 ,4,,1,2,0,1,0,0,0,,3%
Aaron Donald DL LA (8),,@SFW 41-39 ,4,,1,2,0,1,0,0,0,,73%
Dante Fowler DL JAC (8),,BALW 44-7 ,4,,0,2,0,1,0,0,0,,52%
Grady Jarrett DL ATL (5),,@DETW 30-26 ,4,,0,4,0,0,0,0,0,,10%
IRMatt Longacre DL LA (8),,@SFW 41-39 ,4,,1,2,0,1,0,0,0,,3%
Kenny Clark DL GB (8),,CINW 27-24 ,4,,1,4,0,0,0,0,0,,6%
Javon Hargrave DL PIT (9),,@CHIL 17-23 ,4,,0,2,0,1,0,0,0,,3%
IREmmanuel Ogbah DL CLE (9),,@INDL 28-31 ,4,,4,2,0,1,0,0,0,,20%
Willie Henry DL BAL (10),,@JACL 7-44 ,4,,1,4,0,0,0,0,0,,2%
James Cowser DL OAK (10),,@WASL 10-27 ,4,,1,2,0,0,0,2,0,,0%
Takkarist McKinley DL ATL (5),,@DETW 30-26 ,4,,0,2,0,1,0,0,0,,10%
IRHaloti Ngata DL DET (7),,ATLL 26-30 ,3,,0,3,0,0,0,0,0,,2%
Michael Bennett DL SEA (6),,@TENL 27-33 ,3,,0,3,0,0,0,0,0,,43%
Earl Mitchell DL SF (11),,LAL 39-41 ,3,,1,3,0,0,0,0,0,,1%
Corey Peters DL ARI (8),,DALL 17-28 ,3,,1,3,0,0,0,0,0,,0%
Everson Griffen DL MIN (9),,TBW 34-17 ,3,,0,1,0,1,0,0,0,,78%
OUTCameron Heyward DL PIT (9),,@CHIL 17-23 ,3,,0,3,0,0,0,0,0,,50%
Akiem Hicks DL CHI (9),,PITW 23-17 ,3,,2,2,0,0,0,1,0,,52%
Tyrunn Walker DL LA (8),,@SFW 41-39 ,3,,1,1,0,0,1,0,0,,1%
William Gholston DL TB (1),,@MINL 17-34 ,3,,5,3,0,0,0,0,0,,7%
QJay Bromley DL NYG (8),,@PHIL 24-27 ,3,,1,1,0,1,0,0,0,,0%
Chris Smith DL CIN (6),,@GBL 24-27 ,3,,1,2,0,0.5,0,0,0,,1%
Shelby Harris DL DEN (5),,@BUFL 16-26 ,3,,1,1,0,1,0,0,0,,1%
OUTShamar Stephen DL MIN (9),,TBW 34-17 ,3,,2,1,0,1,0,0,0,,0%
IRJamie Meder DL CLE (9),,@INDL 28-31 ,3,,0,3,0,0,0,0,0,,0%
Danny Shelton DL CLE (9),,@INDL 28-31 ,3,,4,3,0,0,0,0,0,,4%
Carl Davis DL BAL (10),,@JACL 7-44 ,3,,0,3,0,0,0,0,0,,0%
Nate Orchard DL CLE (9),,@INDL 28-31 ,3,,2,1,0,1,0,0,0,,0%
Leterrius Walton DL PIT (9),,@CHIL 17-23 ,3,,0,3,0,0,0,0,0,,0%
IRShaq Lawson DL BUF (6),,DENW 26-16 ,3,,0,1,0,1,0,0,0,,11%
Anthony Zettel DL DET (7),,ATLL 26-30 ,3,,0,1,0,1,0,0,0,,30%
