Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Kai Forbath K MIN (9),,BALW 24-16 ,26,,6,6,6/6,0,1,0/1,,51%
Chris Boswell K PIT (9),,CINW 29-14 ,19,,5,5,5/5,2,2,2/2,,70%
IRGreg Zuerlein K LA (8),,ARIW 33-0 ,18,,4,4,4/4,3,3,3/3,,60%
Stephen Hauschka K BUF (6),,TBW 30-27 ,15,,3,4,3/4,3,3,3/3,,63%
Ryan Succop K TEN (8),,@CLEW 12-9 ,15,,4,5,4/5,0,0,0/0,,62%
Justin Tucker K BAL (10),,@MINL 16-24 ,15,,3,3,3/3,1,1,1/1,,88%
Harrison Butker K KC (10),,@OAKL 30-31 ,15,,3,3,3/3,3,3,3/3,,50%
Jake Elliott K PHI (10),,WASW 34-24 ,14,,2,3,2/3,4,4,4/4,,58%
Zane Gonzalez K CLE (9),,TENL 9-12 ,13,,3,3,3/3,0,0,0/0,,2%
Patrick Murray K TB (1),,@BUFL 27-30 ,12,,2,2,2/2,3,3,3/3,,3%
Stephen Gostkowski K NE (9),,ATLW 23-7 ,11,,3,3,3/3,2,2,2/2,,96%
Josh Lambo K JAC (8),,@INDW 27-0 ,10,,2,2,2/2,3,3,3/3,,18%
Wil Lutz K NO (5),,@GBW 26-17 ,9,,2,2,2/2,2,3,2/3,,83%
Giorgio Tavecchio K OAK (10),,KCW 31-30 ,7,,1,3,1/3,4,4,4/4,,15%
Cody Parkey K MIA (1),,NYJW 31-28 ,7,,1,1,1/1,4,4,4/4,,3%
Mason Crosby K GB (8),,NOL 17-26 ,6,,1,2,1/2,2,2,2/2,,49%
Blair Walsh K SEA (6),,@NYGW 24-7 ,6,,1,1,1/1,3,3,3/3,,30%
Nick Rose K WAS (5),,@PHIL 24-34 ,6,,1,1,1/1,3,3,3/3,,3%
Robbie Gould K SF (11),,DALL 10-40 ,5,,1,1,1/1,1,1,1/1,,38%
Connor Barth K CHI (9),,CARW 17-3 ,5,,1,2,1/2,2,2,2/2,,2%
Chandler Catanzaro K NYJ (11),,@MIAL 28-31 ,4,,0,0,0/0,4,4,4/4,,18%
IRNick Novak K LAC (9),,DENW 21-0 ,3,,0,0,0/0,3,3,3/3,,4%
Graham Gano K CAR (11),,@CHIL 3-17 ,3,,1,1,1/1,0,0,0/0,,35%
Dan Bailey K DAL (6),,@SFW 40-10 ,2,,0,0,0/0,2,2,2/2,,47%
Randy Bullock K CIN (6),,@PITL 14-29 ,2,,0,0,0/0,2,2,2/2,,3%
Matt Bryant K ATL (5),,@NEL 7-23 ,1,,0,2,0/2,1,1,1/1,,83%
Aldrick Rosas K NYG (8),,SEAL 7-24 ,1,,0,1,0/1,1,1,1/1,,2%
Phil Dawson K ARI (8),,@LAL 0-33 ,0,,0,1,0/1,0,0,0/0,,12%
