Name,,Opp,FPts,,Ast,Solo,INT,Sack,FF,FR,TD,,% Own
IRKam Chancellor DB SEA (6),,@ARIW 22-16 ,15,,1,9,0,0,1,0,0,,37%
OUTNevin Lawson DB DET (7),,CLEW 38-24 ,14,,0,3,0,0,1,1,1,,1%
QDavon House DB GB (8),,@CHIW 23-16 ,10,,0,8,0,1,0,0,0,,2%
Darryl Roberts DB NYJ (11),,@TBL 10-15 ,10,,0,8,1,0,0,0,0,,0%
IRTavon Wilson DB DET (7),,CLEW 38-24 ,8,,1,6,0,1,0,0,0,,18%
Eric Reid DB SF (11),,NYGW 31-21 ,8,,1,7,0,0,0,1,0,,21%
Tre Boston DB LAC (9),,@JACL 17-20 ,8,,2,4,2,0,0,0,0,,9%
IRPierre Desir DB IND (11),,PITL 17-20 ,8,,2,6,1,0,0,0,0,,0%
Adrian Amos DB CHI (9),,GBL 16-23 ,8,,0,8,0,0,0,0,0,,45%
IRJustin Simmons DB DEN (5),,NEL 16-41 ,8,,4,6,0,1,0,0,0,,18%
Budda Baker DB ARI (8),,SEAL 16-22 ,8,,1,8,0,0,0,0,0,,31%
IRAntoine Bethea DB ARI (8),,SEAL 16-22 ,7,,0,5,0,1,0,0,0,,35%
Josh Norman DB WAS (5),,MINL 30-38 ,7,,2,7,0,0,0,0,0,,17%
Dre Kirkpatrick DB CIN (6),,@TENL 20-24 ,7,,1,5,0,0,1,0,0,,4%
Darius Slay DB DET (7),,CLEW 38-24 ,7,,0,5,1,0,0,0,0,,22%
T.J. McDonald DB MIA (1),,@CARL 21-45 ,7,,2,7,0,0,0,0,0,,11%
Micah Hyde DB BUF (6),,NOL 10-47 ,7,,1,7,0,0,0,0,0,,46%
Jordan Poyer DB BUF (6),,NOL 10-47 ,7,,3,7,0,0,0,0,0,,58%
Byron Jones DB DAL (6),,@ATLL 7-27 ,7,,2,7,0,0,0,0,0,,26%
Josh Shaw DB CIN (6),,@TENL 20-24 ,7,,0,7,0,0,0,0,0,,0%
Sean Davis DB PIT (9),,@INDW 20-17 ,7,,1,7,0,0,0,0,0,,42%
Desmond King DB LAC (9),,@JACL 17-20 ,7,,0,5,0,1,0,0,0,,39%
Patrick Chung DB NE (9),,@DENW 41-16 ,6,,0,4,1,0,0,0,0,,26%
Harrison Smith DB MIN (9),,@WASW 38-30 ,6,,2,6,0,0,0,0,0,,80%
Tashaun Gipson DB JAC (8),,LACW 20-17 ,6,,0,5,0,0,0,1,0,,15%
D.J. Swearinger DB WAS (5),,MINL 30-38 ,6,,2,3,2,0,0,0,0,,13%
Jeff Heath DB DAL (6),,@ATLL 7-27 ,6,,0,6,0,0,0,0,0,,11%
Jahleel Addae DB LAC (9),,@JACL 17-20 ,6,,2,6,0,0,0,0,0,,38%
Darqueze Dennard DB CIN (6),,@TENL 20-24 ,6,,0,4,1,0,0,0,0,,19%
Darian Thompson DB NYG (8),,@SFL 21-31 ,6,,0,6,0,0,0,0,0,,5%
IRJustin Evans DB TB (1),,NYJW 15-10 ,6,,1,6,0,0,0,0,0,,14%
Brent Grimes DB TB (1),,NYJW 15-10 ,5,,0,3,1,0,0,0,0,,7%
OUTShareece Wright DB BUF (6),,NOL 10-47 ,5,,1,5,0,0,0,0,0,,2%
Buster Skrine DB NYJ (11),,@TBL 10-15 ,5,,0,5,0,0,0,0,0,,8%
Chris Harris DB DEN (5),,NEL 16-41 ,5,,0,5,0,0,0,0,0,,7%
Trumaine Johnson DB LA (8),,HOUW 33-7 ,5,,0,5,0,0,0,0,0,,33%
Tyrann Mathieu DB ARI (8),,SEAL 16-22 ,5,,1,5,0,0,0,0,0,,62%
IRKayvon Webster DB LA (8),,HOUW 33-7 ,5,,0,5,0,0,0,0,0,,0%
A.J. Bouye DB JAC (8),,LACW 20-17 ,5,,1,3,1,0,0,0,0,,17%
IRRashaan Melvin DB IND (11),,PITL 17-20 ,5,,0,5,0,0,0,0,0,,8%
Kyle Fuller DB CHI (9),,GBL 16-23 ,5,,0,5,0,0,0,0,0,,10%
Dontae Johnson DB SF (11),,NYGW 31-21 ,5,,0,5,0,0,0,0,0,,6%
Keanu Neal DB ATL (5),,DALW 27-7 ,5,,1,5,0,0,0,0,0,,84%
Mackensie Alexander DB MIN (9),,@WASW 38-30 ,5,,0,3,1,0,0,0,0,,0%
Vonn Bell DB NO (5),,@BUFW 47-10 ,5,,1,5,0,0,0,0,0,,31%
Marshon Lattimore DB NO (5),,@BUFW 47-10 ,5,,0,5,0,0,0,0,0,,27%
Jamal Adams DB NYJ (11),,@TBL 10-15 ,5,,0,5,0,0,0,0,0,,44%
Adoree' Jackson DB TEN (8),,CINW 24-20 ,5,,0,2,0,0,0,0,0,,39%
Cordrea Tankersley DB MIA (1),,@CARL 21-45 ,5,,1,5,0,0,0,0,0,,1%
Eddie Jackson DB CHI (9),,GBL 16-23 ,5,,0,5,0,0,0,0,0,,29%
Johnathan Joseph DB HOU (7),,@LAL 7-33 ,4,,1,4,0,0,0,0,0,,5%
IROrlando Scandrick DB DAL (6),,@ATLL 7-27 ,4,,0,4,0,0,0,0,0,,2%
Kareem Jackson DB HOU (7),,@LAL 7-33 ,4,,1,4,0,0,0,0,0,,6%
Devin McCourty DB NE (9),,@DENW 41-16 ,4,,0,4,0,0,0,0,0,,74%
Reshad Jones DB MIA (1),,@CARL 21-45 ,4,,3,4,0,0,0,0,0,,91%
Andre Hal DB HOU (7),,@LAL 7-33 ,4,,0,4,0,0,0,0,0,,3%
K'Waun Williams DB SF (11),,NYGW 31-21 ,4,,0,4,0,0,0,0,0,,1%
William Jackson DB CIN (6),,@TENL 20-24 ,4,,0,2,0,1,0,0,0,,1%
Kevin Byard DB TEN (8),,CINW 24-20 ,4,,2,4,0,0,0,0,0,,54%
James Bradberry DB CAR (11),,MIAW 45-21 ,4,,0,4,0,0,0,0,0,,12%
IRDerrick Kindred DB CLE (9),,@DETL 24-38 ,4,,0,4,0,0,0,0,0,,3%
Ryan Smith DB TB (1),,NYJW 15-10 ,4,,0,4,0,0,0,0,0,,1%
