Name,,Opp,FPts,,Cmp,Att,%,Yd,TD,INT,Rat,,Att,Yd,TD,,% Own
Philip Rivers QB LAC (9),,OAKW 30-10 ,37.85,,28,37,28/37,387,3,0,135.8,,1,5,0,,93%
Matthew Stafford QB DET (7),,GBW 35-11 ,35.35,,20,29,20/29,323,3,0,140.4,,2,2,0,,94%
DeShone Kizer QB CLE (9),,@PITL 24-28 ,30.8,,16,30,16/30,314,2,1,98.5,,6,61,0,,21%
Jameis Winston QB TB (1),,NOW 31-24 ,30.35,,28,51,28/51,363,1,3,59.5,,5,32,1,,77%
Andy Dalton QB CIN (6),,@BALW 31-27 ,24.9,,23,44,23/44,222,3,0,89.4,,2,-2,0,,67%
Matt Ryan QB ATL (5),,CARW 22-10 ,24.25,,28,45,28/45,317,1,0,90.7,,3,14,0,,95%
David Fales QB MIA (1),,BUFL 16-22 ,24.05,,29,42,29/42,265,1,1,83.9,,4,8,1,,0%
Russell Wilson QB SEA (6),,ARIL 24-26 ,20.65,,18,29,18/29,221,2,0,108.5,,5,36,0,,97%
Jimmy Garoppolo QB SF (11),,@LAW 34-13 ,18.5,,20,33,20/33,292,2,2,84.4,,2,-1,0,,39%
Joe Flacco QB BAL (10),,CINL 27-31 ,18.15,,25,47,25/47,203,2,1-1,69.7,,0,0,0,,43%
Tyrod Taylor QB BUF (6),,@MIAW 22-16 ,17.7,,19,27,19/27,204,1,0,104.6,,6,35,0,,60%
Tom Brady QB NE (9),,NYJW 26-6 ,17.5,,18,37,18/37,190,2,0,82,,0,0,0,,99%
Marcus Mariota QB TEN (8),,JACW 15-10 ,16.7,,12,21,12/21,134,1,0,92.2,,10,60,0,,81%
Drew Brees QB NO (5),,@TBL 24-31 ,16.45,,22,30,22/30,245,1,0,108.3,,1,2,0,,98%
Derek Carr QB OAK (10),,@LACL 10-30 ,16.25,,19,28,19/28,243,1,1,91.8,,2,1,0,,86%
Paxton Lynch QB DEN (5),,KCL 24-27 ,16,,21,31,21/31,254,2,2,87.3,,3,13,0,,9%
Dak Prescott QB DAL (6),,@PHIW 6-0 ,14.55,,17,30,17/30,179,1,0,85.3,,2,16,0,,92%
Case Keenum QB MIN (9),,CHIW 23-10 ,13.45,,21,29,21/29,189,1,0,101.1,,3,0,0,,63%
Patrick Mahomes QB KC (10),,@DENW 27-24 ,13.2,,22,35,22/35,284,0,1,76.4,,7,10,0,,17%
Jacoby Brissett QB IND (11),,HOUW 22-13 ,11.5,,15,25,15/25,114,1,0,84.4,,5,18,0,,30%
Landry Jones QB PIT (9),,CLEW 28-24 ,11.35,,23,27,23/27,239,1,1,100.5,,3,-6,0,,1%
Brett Hundley QB GB (8),,@DETL 11-35 ,11.1,,14,24,14/24,172,1,2,59.7,,3,15,0,,15%
Cam Newton QB CAR (11),,@ATLL 10-22 ,10.9,,14,34,14/34,180,1,3,31.5,,11,59,0,,96%
Bryce Petty QB NYJ (11),,@NEL 6-26 ,10.5,,19,36,19/36,232,0,0,72.9,,1,-1,0,,2%
Kirk Cousins QB WAS (5),,@NYGL 10-18 ,9.1,,20,37,20/37,158,0,3,31.1,,1,12,1,,92%
Mitchell Trubisky QB CHI (9),,@MINL 10-23 ,9.1,,20,36,20/36,178,0,0,69,,1,2,0,,23%
Nate Sudfeld QB PHI (10),,DALL 0-6 ,8.9,,19,23,19/23,134,0,0,90.9,,1,22,0,,0%
QDrew Stanton QB ARI (8),,@SEAW 26-24 ,8.15,,15,34,15/34,145,1,1,54.2,,1,-1,0,,5%
Eli Manning QB NYG (8),,WASW 18-10 ,7.2,,10,28,10/28,132,1,1,48.5,,3,-4,0,,58%
Sean Mannion QB LA (8),,SFL 13-34 ,6.85,,20,34,20/34,169,0,0,71.8,,2,4,0,,1%
T.J. Yates QB HOU (7),,@INDL 13-22 ,5.75,,14,24,14/24,137,0,1,57.1,,1,9,0,,2%
Blake Bortles QB JAC (8),,@TENL 10-15 ,4.8,,15,34,15/34,158,0,2,33.7,,1,9,0,,63%
Joe Callahan QB GB (8),,@DETL 11-35 ,0.55,,5,7,5/7,11,0,0,74.1,,0,0,0,,0%
Jay Cutler QB MIA (1),,BUFL 16-22 ,0.3,,1,2,1/2,6,0,0,56.3,,0,0,0,,32%
Brian Hoyer QB NE (9),,NYJW 26-6 ,0.25,,1,3,1/3,5,0,0,42.4,,0,0,0,,8%
Taysom Hill QB NO (5),,@TBL 24-31 ,0,,0,0,0/0,0,0,0,0,,0,0,0,,0%
Kellen Clemens QB LAC (9),,OAKW 30-10 ,-0.2,,0,0,0/0,0,0,0,0,,2,-2,0,,0%
Nick Foles QB PHI (10),,DALL 0-6 ,-1.05,,4,11,4/11,39,0,1,9.3,,1,0,0,,27%
OUTTyler Bray QB KC (10),,@DENW 27-24 ,-2,,0,1,0/1,0,0,0,39.6,,1,0,0,,0%
