Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
Julio Jones WR ATL (5),,@LAW 26-13 ,18.7,,1,13,0,,9,10,94,1,,0,1,107,,98%
Robert Woods WR LA (8),,ATLL 13-26 ,16.2,,0,0,0,,9,14,142,0,,0,0,142,,68%
Cooper Kupp WR LA (8),,ATLL 13-26 ,12.9,,0,0,0,,8,13,69,1,,0,1,69,,61%
Demarcus Robinson WR KC (10),,TENL 21-22 ,11.7,,0,0,0,,4,4,57,1,,0,1,57,,3%
Tyreek Hill WR KC (10),,TENL 21-22 ,10.1,,1,14,0,,7,11,87,0,,0,0,126,,94%
Eric Decker WR TEN (8),,@KCW 22-21 ,8.1,,0,0,0,,2,5,21,1,,0,1,21,,47%
Mohamed Sanu WR ATL (5),,@LAW 26-13 ,7.5,,0,0,0,,4,8,75,0,,0,0,75,,57%
Corey Davis WR TEN (8),,@KCW 22-21 ,3.5,,0,0,0,,4,7,35,0,,0,0,35,,50%
Albert Wilson WR KC (10),,TENL 21-22 ,2.6,,0,0,0,,2,4,26,0,,0,0,26,,6%
Dede Westbrook WR JAC (8),,BUF0:192nd,2.5,,0,0,0,,3,5,25,0,,0,0,25,,32%
Sammy Watkins WR LA (8),,ATLL 13-26 ,2.3,,0,0,0,,1,4,23,0,,0,0,23,,85%
Zay Jones WR BUF (6),,@JAC0:192nd,2,,0,0,0,,2,2,20,0,,0,0,20,,35%
Rishard Matthews WR TEN (8),,@KCW 22-21 ,1.5,,0,0,0,,1,2,15,0,,0,0,15,,73%
Deonte Thompson WR BUF (6),,@JAC0:192nd,0.9,,0,0,0,,1,3,9,0,,0,0,9,,8%
Kelvin Benjamin WR BUF (6),,@JAC0:192nd,0.9,,0,0,0,,1,2,9,0,,0,0,9,,73%
Marqise Lee WR JAC (8),,BUF0:192nd,0.5,,1,5,0,,0,1,0,0,,0,0,5,,50%
Taywan Taylor WR TEN (8),,@KCW 22-21 ,0.4,,0,0,0,,1,1,4,0,,0,0,4,,9%
Justin Hardy WR ATL (5),,@LAW 26-13 ,0.3,,0,0,0,,1,1,3,0,,0,0,3,,2%
Brandon Tate WR BUF (6),,@JAC0:192nd,0,,0,0,0,,0,0,0,0,,0,0,3,,1%
Andre Roberts WR ATL (5),,@LAW 26-13 ,0,,0,0,0,,0,0,0,0,,0,0,36,,1%
Allen Hurns WR JAC (8),,BUF0:192nd,0,,0,0,0,,0,1,0,0,,0,0,0,,32%
Jehu Chesson WR KC (10),,TENL 21-22 ,0,,0,0,0,,0,0,0,0,,0,0,0,,1%
Josh Reynolds WR LA (8),,ATLL 13-26 ,0,,0,0,0,,0,0,0,0,,0,0,0,,6%
Keelan Cole WR JAC (8),,BUF0:192nd,0,,0,0,0,,0,1,0,0,,0,0,0,,29%
Marcus Kemp WR KC (10),,TENL 21-22 ,0,,0,0,0,,0,0,0,0,,0,0,0,,0%
Jaydon Mickens WR JAC (8),,BUF0:192nd,-1,,0,0,0,,0,0,0,0,,1,0,0,,2%
Pharoh Cooper WR LA (8),,ATLL 13-26 ,-2,,0,0,0,,0,0,0,0,,1-1,0,127,,4%
