Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
JuJu Smith-Schuster WR PIT (9),,CLEW 28-24 ,28.3,,0,0,0,,9,10,143,1,,0,2,265,,78%
Keenan Allen WR LAC (9),,OAKW 30-10 ,27.3,,0,0,0,,9,12,133,1,,0,2,133,,95%
Amari Cooper WR OAK (10),,@LACL 10-30 ,21.5,,0,0,0,,3,6,115,1,,0,1,115,,89%
Doug Baldwin WR SEA (6),,ARIL 24-26 ,21,,0,0,0,,4,5,90,2,,0,2,90,,96%
Rashard Higgins WR CLE (9),,@PITL 24-28 ,20.8,,0,0,0,,3,4,68,2,,0,2,68,,3%
Golden Tate WR DET (7),,GBW 35-11 ,20.4,,0,0,0,,7,7,104,1,,0,1,105,,94%
Travis Benjamin WR LAC (9),,OAKW 30-10 ,18,,2,4,0,,4,5,96,1,,0,1,100,,28%
Jarvis Landry WR MIA (1),,BUFL 16-22 ,17.2,,0,0,0,,9,10,92,1,,0,1,92,,93%
Tyler Boyd WR CIN (6),,@BALW 31-27 ,17.1,,0,0,0,,5,7,91,1,,0,1,91,,8%
Chris Godwin WR TB (1),,NOW 31-24 ,17.1,,0,0,0,,7,12,111,1,,0,1,111,,11%
Albert Wilson WR KC (10),,@DENW 27-24 ,16.7,,0,0,0,,10,11,147,0,,0,0,165,,6%
Kenny Golladay WR DET (7),,GBW 35-11 ,16,,0,0,0,,2,3,80,1,,0,1,80,,27%
Brandin Cooks WR NE (9),,NYJW 26-6 ,14.7,,3,8,0,,5,11,79,1,,0,1,87,,97%
Tyrell Williams WR LAC (9),,OAKW 30-10 ,14.7,,0,0,0,,3,4,67,1,,0,1,67,,54%
Marvin Jones WR DET (7),,GBW 35-11 ,14.1,,0,0,0,,4,5,81,1,,0,1,81,,91%
Randall Cobb WR GB (8),,@DETL 11-35 ,13.4,,1,4,0,,4,6,45,1,,0,1,49,,68%
Demaryius Thomas WR DEN (5),,KCL 24-27 ,11.7,,0,0,0,,6,8,57,1,,0,1,57,,94%
Stefon Diggs WR MIN (9),,CHIW 23-10 ,11.7,,1,-8,0,,6,6,65,1,,0,1,57,,92%
Josh Gordon WR CLE (9),,@PITL 24-28 ,11.5,,0,0,0,,4,7,115,0,,0,0,115,,65%
Brice Butler WR DAL (6),,@PHIW 6-0 ,11,,0,0,0,,2,2,50,1,,0,1,50,,5%
QDevin Funchess WR CAR (11),,@ATLL 10-22 ,10.8,,0,0,0,,2,6,48,1,,0,1,48,,82%
Adam Humphries WR TB (1),,NOW 31-24 ,10.2,,0,0,0,,7,11,102,0,,0,0,102,,9%
Mike Wallace WR BAL (10),,CINL 27-31 ,10,,0,0,0,,5,13,40,1,,0,1,40,,60%
QMarquise Goodwin WR SF (11),,@LAW 34-13 ,9.8,,1,10,0,,2,4,28,1,,0,1,38,,52%
Dontrelle Inman WR CHI (9),,@MINL 10-23 ,9.4,,0,0,0,,5,10,94,0,,0,0,94,,12%
Michael Thomas WR NO (5),,@TBL 24-31 ,9.4,,0,0,0,,6,8,94,0,,0,0,94,,95%
Darrius Heyward-Bey WR PIT (9),,CLEW 28-24 ,8.9,,1,29,1,,0,0,0,0,,0,1,29,,1%
Hunter Sharp WR NYG (8),,WASW 18-10 ,8.9,,0,0,0,,3,6,29,1,,0,1,29,,0%
