Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Matt Bryant K ATL (5),,GBW 34-23 ,16,,2,2,2/2,4,4,4/4,,83%
Chris Boswell K PIT (9),,MINW 26-9 ,16,,4,4,4/4,2,2,2/2,,70%
Cody Parkey K MIA (1),,@LACW 19-17 ,16,,4,4,4/4,1,1,1/1,,3%
IRNick Folk K TB (1),,CHIW 29-7 ,15,,3,3,3/3,2,3,2/3,,3%
Ryan Succop K TEN (8),,@JACW 37-16 ,15,,3,3,3/3,4,4,4/4,,62%
Stephen Gostkowski K NE (9),,@NOW 36-20 ,12,,3,3,3/3,3,4,3/4,,96%
Phil Dawson K ARI (8),,@INDW 16-13 ,11,,3,4,3/4,1,1,1/1,,12%
Robbie Gould K SF (11),,@SEAL 9-12 ,10,,3,3,3/3,0,0,0/0,,38%
Dustin Hopkins K WAS (5),,@LAW 27-20 ,10,,2,3,2/3,3,3,3/3,,26%
Chandler Catanzaro K NYJ (11),,@OAKL 20-45 ,10,,2,2,2/2,2,2,2/2,,18%
Matt Prater K DET (7),,@NYGW 24-10 ,9,,1,1,1/1,3,3,3/3,,82%
Graham Gano K CAR (11),,BUFW 9-3 ,9,,3,3,3/3,0,0,0/0,,35%
Randy Bullock K CIN (6),,HOUL 9-13 ,9,,3,3,3/3,0,0,0/0,,3%
IRGreg Zuerlein K LA (8),,WASL 20-27 ,9,,2,2,2/2,2,2,2/2,,60%
Giorgio Tavecchio K OAK (10),,NYJW 45-20 ,9,,1,1,1/1,6,6,6/6,,15%
IRCairo Santos K KC (10),,PHIW 27-20 ,9,,2,2,2/2,3,3,3/3,,26%
Wil Lutz K NO (5),,NEL 20-36 ,9,,2,3,2/3,2,2,2/2,,83%
Jake Elliott K PHI (10),,@KCL 20-27 ,9,,2,3,2/3,2,2,2/2,,58%
Adam Vinatieri K IND (11),,ARIL 13-16 ,8,,2,2,2/2,1,1,1/1,,57%
Dan Bailey K DAL (6),,@DENL 17-42 ,8,,1,1,1/1,2,2,2/2,,47%
Ka'imi Fairbairn K HOU (7),,@CINW 13-9 ,8,,2,2,2/2,1,1,1/1,,10%
Blair Walsh K SEA (6),,SFW 12-9 ,6,,2,2,2/2,0,1,0/1,,30%
Justin Tucker K BAL (10),,CLEW 24-10 ,6,,1,2,1/2,3,3,3/3,,88%
Brandon McManus K DEN (5),,DALW 42-17 ,6,,0,1,0/1,6,6,6/6,,28%
Younghoe Koo K LAC (9),,MIAL 17-19 ,6,,1,3,1/3,2,2,2/2,,1%
Mason Crosby K GB (8),,@ATLL 23-34 ,5,,1,1,1/1,2,2,2/2,,49%
Jason Myers K JAC (8),,TENL 16-37 ,5,,1,1,1/1,1,1,1/1,,2%
Stephen Hauschka K BUF (6),,@CARL 3-9 ,4,,1,1,1/1,0,0,0/0,,63%
Kai Forbath K MIN (9),,@PITL 9-26 ,4,,1,1,1/1,0,1,0/1,,51%
Aldrick Rosas K NYG (8),,DETL 10-24 ,4,,1,1,1/1,1,1,1/1,,2%
Zane Gonzalez K CLE (9),,@BALL 10-24 ,4,,1,1,1/1,1,1,1/1,,2%
Connor Barth K CHI (9),,@TBL 7-29 ,1,,0,0,0/0,1,1,1/1,,2%
