Name,,Opp,FPts,,Solo,INT,Sack,FF,FR,TD,,Pts,Yd,,% Own
Houston Texans D/ST HOU (7),,@NEL 33-36 ,25,,49,0,5,4,1,1,,36,396,,73%
Cincinnati Bengals D/ST CIN (6),,@GBL 24-27 ,22,,46,1,6,0,0,1,,27,344,,32%
New Orleans Saints D/ST NO (5),,@CARW 34-13 ,18,,35,3,4,2,0,0,,13,288,,58%
Detroit Lions D/ST DET (7),,ATLL 26-30 ,16,,49,3,2,0,0,1,,30,428,,57%
Washington Redskins D/ST WAS (5),,OAKW 27-10 ,15,,29,2,4,1,1,0,,10,128,,23%
Pittsburgh Steelers D/ST PIT (9),,@CHIL 17-23 ,13,,55,1,2,3,1,0,,23,306,,73%
Los Angeles Rams D/ST LA (8),,@SFW 41-39 ,13,,55,1,4,1,1,0,,39,421,,87%
Buffalo Bills D/ST BUF (6),,DENW 26-16 ,12,,51,2,3,1,0,0,,16,366,,33%
Dallas Cowboys D/ST DAL (6),,@ARIW 28-17 ,12,,53,0,6,0,0,0,,17,332,,22%
Los Angeles Chargers D/ST LAC (9),,KCL 10-24 ,12,,50,0,5,1,0,0,,24,311,,62%
Jacksonville Jaguars D/ST JAC (8),,BALW 44-7 ,11,,39,2,2,1,1,0,,7,186,,91%
Chicago Bears D/ST CHI (9),,PITW 23-17 ,10,,38,0,3,1,2,0,,17,282,,48%
Kansas City Chiefs D/ST KC (10),,@LACW 24-10 ,10,,48,3,2,0,0,0,,10,330,,74%
Minnesota Vikings D/ST MIN (9),,TBW 34-17 ,10,,30,3,2,0,0,0,,17,342,,81%
New England Patriots D/ST NE (9),,HOUW 36-33 ,10,,60,2,2,1,0,0,,33,417,,68%
New York Jets D/ST NYJ (11),,MIAW 20-6 ,10,,41,2,3,0,0,0,,6,225,,9%
Cleveland Browns D/ST CLE (9),,@INDL 28-31 ,9,,41,0,3,1,1,0,,31,335,,4%
Miami Dolphins D/ST MIA (1),,@NYJL 6-20 ,9,,47,0,2,2,1,0,,20,336,,11%
New York Giants D/ST NYG (8),,@PHIL 24-27 ,9,,53,0,3,1,1,0,,27,354,,36%
Denver Broncos D/ST DEN (5),,@BUFL 16-26 ,8,,56,0,4,0,0,0,,26,272,,73%
Indianapolis Colts D/ST IND (11),,CLEW 31-28 ,8,,32,3,1,0,0,0,,28,346,,4%
Green Bay Packers D/ST GB (8),,CINW 27-24 ,7,,48,0,3,0,1,0,,24,301,,29%
Oakland Raiders D/ST OAK (10),,@WASL 10-27 ,6,,51,0,1,1,2,0,,27,472,,13%
San Francisco 49ers D/ST SF (11),,LAL 39-41 ,6,,52,0,0,2,2,0,,41,418,,6%
Atlanta Falcons D/ST ATL (5),,@DETW 30-26 ,4,,44,0,2,0,0,0,,26,324,,22%
Philadelphia Eagles D/ST PHI (10),,NYGW 27-24 ,4,,41,2,0,0,0,0,,24,415,,73%
Arizona Cardinals D/ST ARI (8),,DALL 17-28 ,2,,38,0,1,0,0,0,,28,273,,56%
Carolina Panthers D/ST CAR (11),,NOL 13-34 ,2,,35,0,1,0,0,0,,34,362,,73%
Tennessee Titans D/ST TEN (8),,SEAW 33-27 ,2,,40,0,1,0,0,0,,27,433,,16%
Baltimore Ravens D/ST BAL (10),,@JACL 7-44 ,0,,51,0,0,0,0,0,,44,410,,88%
Seattle Seahawks D/ST SEA (6),,@TENL 27-33 ,0,,48,0,0,0,0,0,,33,420,,87%
Tampa Bay Buccaneers D/ST TB (1),,@MINL 17-34 ,0,,44,0,0,0,0,0,,34,494,,14%
