Name,,Opp,FPts,,FG,Att,%,XP,Att,%,,% Own
Dan Bailey K DAL (6),,SEAL 12-21 ,18,,4,6,4/6,0,0,0/0,,47%
Harrison Butker K KC (10),,MIAW 29-13 ,18,,5,6,5/6,2,2,2/2,,50%
Randy Bullock K CIN (6),,DETW 26-17 ,17,,4,4,4/4,2,2,2/2,,3%
Stephen Gostkowski K NE (9),,BUFW 37-16 ,14,,3,3,3/3,4,4,4/4,,96%
Patrick Murray K TB (1),,@CARL 19-22 ,14,,4,5,4/5,1,1,1/1,,3%
Wil Lutz K NO (5),,ATLW 23-13 ,13,,3,3,3/3,2,2,2/2,,83%
Adam Vinatieri K IND (11),,@BALL 16-23 ,11,,3,5,3/5,1,1,1/1,,57%
Stephen Hauschka K BUF (6),,@NEL 16-37 ,11,,3,4,3/4,1,1,1/1,,63%
Ryan Succop K TEN (8),,LAL 23-27 ,11,,3,4,3/4,2,2,2/2,,62%
Kai Forbath K MIN (9),,@GBW 16-0 ,11,,3,3,3/3,1,1,1/1,,51%
Justin Tucker K BAL (10),,INDW 23-16 ,11,,3,3,3/3,2,2,2/2,,88%
Graham Gano K CAR (11),,TBW 22-19 ,10,,3,3,3/3,1,2,1/2,,35%
Chris Boswell K PIT (9),,@HOUW 34-6 ,10,,2,2,2/2,4,4,4/4,,70%
Dustin Hopkins K WAS (5),,DENW 27-11 ,9,,2,2,2/2,3,3,3/3,,26%
Matt Bryant K ATL (5),,@NOL 13-23 ,8,,2,2,2/2,1,1,1/1,,83%
Robbie Gould K SF (11),,JACW 44-33 ,8,,1,1,1/1,5,6,5/6,,38%
Cody Parkey K MIA (1),,@KCL 13-29 ,8,,2,3,2/3,1,1,1/1,,3%
Jake Elliott K PHI (10),,OAKW 19-10 ,8,,2,3,2/3,1,1,1/1,,58%
Josh Lambo K JAC (8),,@SFL 33-44 ,6,,1,1,1/1,2,3,2/3,,18%
Phil Dawson K ARI (8),,NYGW 23-0 ,5,,1,1,1/1,2,3,2/3,,12%
Matt Prater K DET (7),,@CINL 17-26 ,5,,1,2,1/2,2,2,2/2,,82%
Giorgio Tavecchio K OAK (10),,@PHIL 10-19 ,4,,1,2,1/2,1,1,1/1,,15%
Zane Gonzalez K CLE (9),,@CHIL 3-20 ,4,,1,1,1/1,0,0,0/0,,2%
Blair Walsh K SEA (6),,@DALW 21-12 ,3,,0,0,0/0,3,3,3/3,,30%
Brandon McManus K DEN (5),,@WASL 11-27 ,3,,1,1,1/1,0,0,0/0,,28%
Sam Ficken K LA (8),,@TENW 27-23 ,3,,0,1,0/1,3,4,3/4,,1%
Mike Nugent K CHI (9),,CLEW 20-3 ,2,,0,0,0/0,2,3,2/3,,4%
Nick Rose K LAC (9),,@NYJW 14-7 ,2,,0,1,0/1,2,2,2/2,,3%
Chandler Catanzaro K NYJ (11),,LACL 7-14 ,1,,0,0,0/0,1,1,1/1,,18%
Aldrick Rosas K NYG (8),,@ARIL 0-23 ,0,,0,1,0/1,0,0,0/0,,2%
